CIA - The World Factbook --  GDP - composition, by sector of origin   

| Rank | country | (%) | Date of Information |
| 262 | Botswana | 35.70 | 2013 est. |
| 263 | Venezuela | 35.50 | 2013 est. |
| 264 | Saudi Arabia | 35.50 | 2013 est. |
| 265 | Chile | 35.40 | 2013 est. |
| 266 | Niger | 35.20 | 2013 est. |
| 267 | Ecuador | 35.10 | 2013 est. |
| 268 | Cambodia | 34.80 | 2013 est. |
| 269 | Oman | 34.60 | 2013 est. |
| 270 | Lesotho | 34.50 | 2013 est. |
| 271 | Kyrgyzstan | 34.40 | 2013 est. |
| 272 | Burundi | 34.40 | 2013 est. |
| 273 | Romania | 34.20 | 2013 est. |
| 274 | Congo, Democratic Republic of the | 34.00 | 2013 est. |
| 275 | Zambia | 33.80 | 2013 est. |
| 276 | Togo | 33.70 | 2013 est. |
| 277 | Sudan | 33.60 | 2013 est. |
| 278 | Burkina Faso | 33.60 | 2013 est. |
| 279 | Sierra Leone | 33.50 | 2013 est. |
| 280 | Somalia | 33.50 | 2012 est. |
| 281 | Papua New Guinea | 33.30 | 2013 est. |
| 282 | Poland | 33.30 | 2013 est. |
| 283 | Aruba | 33.30 | 2002 est. |
| 284 | Nauru | 33.00 | 2009 est. |
| 285 | Mongolia | 32.60 | 2013 est. |
| 286 | Gabon | 32.50 | 2013 est. |
| 287 | Sri Lanka | 32.40 | 2013 est. |
| 288 | Uzbekistan | 32.20 | 2013 est. |
| 289 | Iraq | 32.10 | 2013 est. |
| 290 | Laos | 32.00 | 2013 est. |
| 291 | Rwanda | 31.90 | 2013 est. |
| 292 | Serbia | 31.80 | 2013 est. |
| 293 | Morocco | 31.70 | 2012 est. |
| 294 | Philippines | 31.60 | 2013 est. |
| 295 | Benin | 31.60 | 2013 est. |
| 296 | Sweden | 31.30 | 2013 est. |
| 297 | Israel | 31.20 | 2013 est. |
| 298 | Yemen | 30.90 | 2013 est. |
| 299 | Nigeria | 30.90 | 2012 est. |
| 300 | Slovakia | 30.80 | 2013 est. |
| 301 | Azerbaijan | 30.80 | 2013 est. |
| 302 | Guinea | 30.50 | 2013 est. |
| 303 | Tunisia | 30.40 | 2013 est. |
| 304 | Bulgaria | 30.30 | 2013 est. |
| 305 | Germany | 30.10 | 2013 est. |
| 306 | New Caledonia | 30.00 | 2013 est. |
| 307 | Estonia | 30.00 | 2013 est. |
| 308 | Jordan | 29.90 | 2013 est. |
| 309 | Argentina | 29.70 | 2013 est. |
| 310 | Namibia | 29.60 | 2013 est. |
| 311 | Ukraine | 29.60 | 2013 est. |
| 312 | El Salvador | 29.50 | 2013 est. |
| 313 | Malawi | 29.40 | 2013 est. |
| 314 | Singapore | 29.40 | 2013 est. |
| 315 | Taiwan | 29.40 | 2013 est. |
| 316 | Jamaica | 29.40 | 2013 est. |
| 317 | Korea, North | 29.40 | 2012 est. |
| 318 | Kenya | 29.30 | 2013 est. |
| 319 | Dominican Republic | 29.10 | 2013 est. |
