CIA - The World Factbook --  GDP - composition by sector   

This entry gives the percentage contribution of agriculture, industry, and services to total GDP. Agriculture includes farming, fishing, and forestry. Industry includes mining, manufacturing, energy production, and construction. Services cover government activities, communications, transportation, finance, and all other private economic activities that do not produce material goods. The distribution will total less than 100 percent if the data are incomplete.

| Rank | country | (%) | Date of Information |
| 200 | China | 46.90 | 2010 est. |
| 201 | Togo | 46.10 | 2010 est. |
| 202 | Belarus | 45.80 | 2010 est. |
| 203 | Botswana | 45.80 | 2009 est. |
| 204 | Armenia | 45.60 | 2010 est. |
| 205 | Sudan | 45.30 | 2010 est. |
| 206 | Mongolia | 45.20 | 2010 est. |
| 207 | Cambodia | 45.20 | 2009 est. |
| 208 | Puerto Rico | 45.00 | 2005 est. |
| 209 | Bhutan | 45.00 | 2010 est. |
| 210 | Mozambique | 44.80 | 2010 est. |
| 211 | Belarus | 44.80 | 2010 est. |
| 212 | Thailand | 44.70 | 2010 est. |
| 213 | Sudan | 44.60 | 2010 est. |
| 214 | Zambia | 44.10 | 2010 est. |
| 215 | Mauritania | 43.70 | 2010 est. |
| 216 | United Arab Emirates | 43.60 | 2010 est. |
| 217 | Swaziland | 43.20 | 2010 est. |
| 218 | Burma | 43.10 | 2010 est. |
| 219 | Thailand | 43.00 | 2010 est. |
| 220 | China | 43.00 | 2010 est. |
| 221 | Burkina Faso | 42.90 | 2010 est. |
| 222 | Kazakhstan | 42.80 | 2010 est. |
| 223 | Afghanistan | 42.10 | 2008 est. |
| 224 | Comoros | 41.80 | 2010 est. |
| 225 | Chile | 41.80 | 2010 est. |
| 226 | Bahrain | 41.50 | 2010 est. |
| 227 | Malaysia | 41.40 | 2010 est. |
| 228 | Iran | 41.20 | 2010 est. |
| 229 | Chad | 41.10 | 2010 est. |
| 230 | Vietnam | 41.10 | 2010 est. |
| 231 | Gabon | 41.10 | 2010 est. |
| 232 | Trinidad and Tobago | 40.80 | 2010 est. |
| 233 | Western Sahara | 40.00 | 2007 est. |
| 234 | Mali | 39.60 | 2010 est. |
| 235 | Norway | 39.30 | 2010 est. |
| 236 | Korea, South | 39.30 | 2010 est. |
| 237 | Uzbekistan | 39.30 | 2010 est. |
| 238 | San Marino | 39.20 | 2009 |
| 239 | Ethiopia | 39.00 | 2010 est. |
| 240 | Mali | 38.90 | 2010 est. |
| 241 | Congo, Democratic Republic of the | 38.70 | 2010 est. |
| 242 | Yemen | 38.50 | 2010 est. |
| 243 | Uzbekistan | 38.40 | 2010 est. |
| 244 | Laos | 38.30 | 2010 est. |
| 245 | Vietnam | 38.30 | 2010 est. |
| 246 | Bolivia | 38.00 | 2010 est. |
| 247 | Nigeria | 38.00 | 2010 est. |
| 248 | Romania | 37.60 | 2010 est. |
| 249 | Czech Republic | 37.60 | 2010 est. |
| 250 | Colombia | 37.60 | 2010 est. |
| 251 | Bhutan | 37.60 | 2010 est. |
| 252 | Indonesia | 37.60 | 2010 est. |
| 253 | Egypt | 37.50 | 2010 est. |
| 254 | Armenia | 37.00 | 2010 est. |
| 255 | Niger | 37.00 | 2010 est. |
| 256 | Hungary | 36.90 | 2010 est. |
| 257 | Burma | 36.90 | 2010 est. |
| 258 | Russia | 36.80 | 2010 est. |
| 259 | Mauritania | 36.30 | 2010 est. |
| 260 | Venezuela | 36.10 | 2010 est. |
| 261 | Liechtenstein | 36.00 | 2008 |
| 262 | Ecuador | 35.90 | 2010 est. |
| 263 | Benin | 35.80 | 2010 est. |
| 264 | Saudi Arabia | 35.60 | 2010 est. |
| 265 | Papua New Guinea | 35.50 | 2010 est. |
| 266 | Mongolia | 35.10 | 2010 est. |
| 267 | Peru | 35.00 | 2010 est. |
| 268 | Slovakia | 34.80 | 2010 est. |
| 269 | Tunisia | 34.60 | 2010 est. |
| 270 | Congo, Democratic Republic of the | 34.60 | 2010 est. |
| 271 | Zambia | 34.50 | 2010 est. |
| 272 | Namibia | 34.30 | 2010 est. |
| 273 | Burkina Faso | 34.10 | 2010 est. |
| 274 | Togo | 34.10 | 2010 est. |
| 275 | Lesotho | 33.90 | 2010 est. |
| 276 | Rwanda | 33.60 | 2010 est. |
| 277 | Ukraine | 33.60 | 2010 est. |
| 278 | Cambodia | 33.40 | 2009 est. |
| 279 | Aruba | 33.30 | 2002 est. |
| 280 | Antigua and Barbuda | 33.20 | 2010 est. |
| 281 | Poland | 33.00 | 2010 est. |
| 282 | Nepal | 32.80 | 2010 est. |
| 283 | Philippines | 32.60 | 2010 est. |
| 284 | Papua New Guinea | 32.60 | 2010 est. |
| 285 | Mexico | 32.60 | 2010 est. |
| 286 | Israel | 32.60 | 2010 est. |
