CIA - The World Factbook --  Oil - proved reserves   

This entry is the stock of proved reserves of crude oil in barrels (bbl). Proved reserves are those quantities of petroleum which, by analysis of geological and engineering data, can be estimated with a high degree of confidence to be commercially recoverable from a given date forward, from known reservoirs and under current economic conditions.

| Rank | country | (bbl) | Date of Information |
| 62 | Papua New Guinea | 170,000,000 | 1 January 2010 est. |
| 63 | Chile | 150,000,000 | 1 January 2010 est. |
| 64 | Spain | 150,000,000 | 1 January 2010 est. |
| 65 | Philippines | 138,500,000 | 1 January 2010 est. |
| 66 | Bahrain | 124,600,000 | 1 January 2010 est. |
| 67 | France | 101,200,000 | 1 January 2010 est. |
| 68 | Mauritania | 100,000,000 | 1 January 2010 est. |
| 69 | Netherlands | 100,000,000 | 1 January 2010 est. |
| 70 | Morocco | 100,000,000 | 1 January 2010 est. |
| 71 | Poland | 96,380,000 | 1 January 2010 est. |
| 72 | Guatemala | 83,070,000 | 1 January 2010 est. |
| 73 | Suriname | 79,600,000 | 1 January 2010 est. |
| 74 | Serbia | 77,500,000 | 1 January 2010 est. |
| 75 | Croatia | 73,350,000 | 1 January 2010 est. |
| 76 | New Zealand | 60,000,000 | 1 January 2010 est. |
| 77 | Austria | 50,000,000 | 1 January 2010 est. |
| 78 | Burma | 50,000,000 | 1 January 2010 est. |
| 79 | Japan | 44,120,000 | 1 January 2010 est. |
| 80 | Kyrgyzstan | 40,000,000 | 1 January 2010 est. |
| 81 | Georgia | 35,000,000 | 1 January 2010 est. |
| 82 | Bangladesh | 28,000,000 | 1 January 2010 est. |
| 83 | Hungary | 26,570,000 | 1 January 2010 est. |
| 84 | Bulgaria | 15,000,000 | 1 January 2010 est. |
| 85 | South Africa | 15,000,000 | 1 January 2010 est. |
| 86 | Czech Republic | 15,000,000 | 1 January 2010 est. |
| 87 | Ghana | 15,000,000 | 1 January 2010 est. |
| 88 | Lithuania | 12,000,000 | 1 January 2010 est. |
| 89 | Tajikistan | 12,000,000 | 1 January 2010 est. |
| 90 | Greece | 10,000,000 | 1 January 2010 est. |
| 91 | Slovakia | 9,000,000 | 1 January 2010 est. |
| 92 | Benin | 8,000,000 | 1 January 2010 est. |
| 93 | Belize | 6,700,000 | 1 January 2010 est. |
| 94 | Taiwan | 2,800,000 | 1 January 2010 est. |
| 95 | Israel | 1,940,000 | 1 January 2010 est. |
| 96 | Barbados | 1,790,000 | 1 January 2010 est. |
| 97 | Jordan | 1,000,000 | 1 January 2010 est. |
| 98 | Ethiopia | 430,000 | 1 January 2010 est. |
| 99 | Afghanistan | 0 | 1 January 2010 est. |
| 100 | Aruba | 0 | 1 January 2010 est. |
| 101 | Bermuda | 0 | 1 January 2010 est. |
| 102 | Bosnia and Herzegovina | 0 | 1 January 2010 est. |
| 103 | British Virgin Islands | 0 | 1 January 2010 est. |
| 104 | Zimbabwe | 0 | 1 January 2010 est. |
| 105 | Zambia | 0 | 1 January 2010 est. |
| 106 | Western Sahara | 0 | 1 January 2010 est. |
| 107 | Virgin Islands | 0 | 1 January 2010 est. |
| 108 | Vanuatu | 0 | 1 January 2010 est. |
| 109 | Uruguay | 0 | 1 January 2010 est. |
| 110 | Uganda | 0 | 1 January 2010 est. |
| 111 | Turks and Caicos Islands | 0 | 1 January 2010 est. |
| 112 | Tonga | 0 | 1 January 2010 est. |
| 113 | Togo | 0 | 1 January 2010 est. |
| 114 | Tanzania | 0 | 1 January 2010 est. |
| 115 | Switzerland | 0 | 1 January 2010 est. |
| 116 | Sweden | 0 | 1 January 2010 est. |
| 117 | Swaziland | 0 | 1 January 2010 est. |
| 118 | Sri Lanka | 0 | 1 January 2010 est. |
| 119 | Somalia | 0 | 1 January 2010 est. |
| 120 | Solomon Islands | 0 | 1 January 2010 est. |
| 121 | Slovenia | 0 | 1 January 2010 est. |
| 122 | Singapore | 0 | 1 January 2010 est. |
| 123 | Sierra Leone | 0 | 1 January 2010 est. |
| 124 | Seychelles | 0 | 1 January 2010 est. |
| 125 | Senegal | 0 | 1 January 2010 est. |
| 126 | Sao Tome and Principe | 0 | 1 January 2010 est. |
| 127 | Samoa | 0 | 1 January 2010 est. |
| 128 | Saint Vincent and the Grenadines | 0 | 1 January 2010 est. |
| 129 | Saint Pierre and Miquelon | 0 | 1 January 2010 est. |
| 130 | Saint Lucia | 0 | 1 January 2010 est. |
| 131 | Saint Kitts and Nevis | 0 | 1 January 2010 est. |
| 132 | Saint Helena, Ascension, and Tristan da Cunha | 0 | 1 January 2010 est. |
| 133 | Rwanda | 0 | 1 January 2010 est. |
| 134 | Puerto Rico | 0 | 1 January 2010 est. |
| 135 | Portugal | 0 | 1 January 2010 est. |
| 136 | Paraguay | 0 | 1 January 2010 est. |
| 137 | Mauritius | 0 | 1 January 2010 est. |
| 138 | Malta | 0 | 1 January 2010 est. |
| 139 | Mali | 0 | 1 January 2010 est. |
| 140 | Maldives | 0 | 1 January 2010 est. |
| 141 | Malawi | 0 | 1 January 2010 est. |
| 142 | Madagascar | 0 | 1 January 2010 est. |
| 143 | Macedonia | 0 | 1 January 2010 est. |
| 144 | Macau | 0 | 1 January 2010 est. |
| 145 | Luxembourg | 0 | 1 January 2010 est. |
| 146 | Panama | 0 | 1 January 2010 est. |
| 147 | Niue | 0 | 1 January 2010 est. |
| 148 | Niger | 0 | 1 January 2010 est. |
| 149 | Nicaragua | 0 | 1 January 2010 est. |
| 150 | New Caledonia | 0 | 1 January 2010 est. |
| 151 | Nepal | 0 | 1 January 2010 est. |
| 152 | Nauru | 0 | 1 January 2010 est. |
| 153 | Namibia | 0 | 1 January 2010 est. |
| 154 | Mozambique | 0 | 1 January 2010 est. |
| 155 | Montserrat | 0 | 1 January 2010 est. |
| 156 | Montenegro | 0 | 1 January 2010 est. |
| 157 | Moldova | 0 | 1 January 2010 est. |
| 158 | Liberia | 0 | 1 January 2010 est. |
| 159 | Lesotho | 0 | 1 January 2010 est. |
| 160 | Lebanon | 0 | 1 January 2010 est. |
| 161 | Latvia | 0 | 1 January 2010 est. |
| 162 | Korea, South | 0 | 1 January 2010 est. |
| 163 | Korea, North | 0 | 1 January 2010 est. |
| 164 | Kiribati | 0 | 1 January 2010 est. |
| 165 | Kenya | 0 | 1 January 2010 est. |
| 166 | Jamaica | 0 | 1 January 2010 est. |
| 167 | Ireland | 0 | 1 January 2010 est. |
| 168 | Iceland | 0 | 1 January 2010 est. |
| 169 | Hong Kong | 0 | 1 January 2010 est. |
| 170 | Honduras | 0 | 1 January 2010 est. |
| 171 | Haiti | 0 | 1 January 2010 est. |
| 172 | Guyana | 0 | 1 January 2010 est. |
| 173 | Guinea-Bissau | 0 | 1 January 2010 est. |
| 174 | Guinea | 0 | 1 January 2010 est. |
| 175 | Grenada | 0 | 1 January 2010 est. |
| 176 | Gibraltar | 0 | 1 January 2010 est. |
| 177 | Gambia, The | 0 | 1 January 2010 est. |
| 178 | French Polynesia | 0 | 1 January 2010 est. |
| 179 | Fiji | 0 | 1 January 2010 est. |
| 180 | Faroe Islands | 0 | 1 January 2010 est. |
| 181 | Falkland Islands (Islas Malvinas) | 0 | 1 January 2010 est. |
| 182 | Estonia | 0 | 1 January 2010 est. |
| 183 | Eritrea | 0 | 1 January 2010 est. |
| 184 | El Salvador | 0 | 1 January 2010 est. |
| 185 | Dominican Republic | 0 | 1 January 2010 est. |
| 186 | Dominica | 0 | 1 January 2010 est. |
| 187 | Djibouti | 0 | 1 January 2010 est. |
| 188 | Cyprus | 0 | 1 January 2010 est. |
| 189 | Costa Rica | 0 | 1 January 2010 est. |
| 190 | Cook Islands | 0 | 1 January 2010 est. |
| 191 | Comoros | 0 | 1 January 2010 est. |
| 192 | Central African Republic | 0 | 1 January 2010 est. |
| 193 | Cayman Islands | 0 | 1 January 2010 est. |
| 194 | Cape Verde | 0 | 1 January 2010 est. |
| 195 | Cambodia | 0 | 1 January 2010 est. |
| 196 | Burundi | 0 | 1 January 2010 est. |
| 197 | Burkina Faso | 0 | 1 January 2010 est. |
| 198 | Botswana | 0 | 1 January 2010 est. |
| 199 | Bhutan | 0 | 1 January 2010 est. |
| 200 | American Samoa | 0 | 1 January 2010 est. |
| 201 | Belgium | 0 | 1 January 2010 est. |
| 202 | Bahamas, The | 0 | 1 January 2010 est. |
| 203 | Armenia | 0 | 1 January 2010 est. |
| 204 | Antigua and Barbuda | 0 | 1 January 2010 est. |
