Field Listing :: Military and security forces :: The World Factbook - Central Intelligence Agency

This entry lists the military and security forces subordinate to defense ministries or the equivalent (typically ground, naval, air, and marine forces), as well as those belonging to interior ministries or the equivalent (typically gendarmeries, border/coast guards, paramilitary police, and other internal security forces).

| Country | Military and security forces |
| **Nepal** | Nepal Army (includes Air Wing); Nepal Armed Police Force (under the Ministry of Home Affairs; paramilitary force responsible for border and internal security, including counter-insurgency, and assisting the Army in the event of an external invasion) (2019) |
| **Netherlands** | Royal Netherlands Army, Royal Netherlands Navy (includes Naval Air Service and Marine Corps), Royal Netherlands Air Force (Koninklijke Luchtmacht, KLu), Royal Marechaussee (Military Police) (2019) |
| **New Caledonia** | no regular military forces; France bases land, air, and naval forces on New Caledonia (Forces ArmÃ©es de la Nouvelle-CalÃ©donie, FANC) (2019) |
| **New Zealand** | *New Zealand Defence Force (NZDF):* New Zealand Army, Royal New Zealand Navy, Royal New Zealand Air Force (2019) |
| **Nicaragua** | Army of Nicaragua (Ejercito de Nicaragua, EN; includes Navy, Air Force) (2019) |
| **Niger** | Nigerien Armed Forces (Forces Armees Nigeriennes, FAN): Army, Nigerien Air Force (Force Aerienne du Niger), Niger Gendarmerie (GN); Ministry of Interior: Niger National Guard (GNN) (2019) |
| **Nigeria** | *Nigerian Armed Forces:* Army, Navy (includes Coast Guard), Air Force; Ministry of Interior: Nigeria Security and Civil Defence Corps (NSCDC, a paramilitary agency commissioned to assist the military in the management of threats to internal security, including attacks and natural disasters) (2019) |
| **Niue** | no regular indigenous military forces; Police Force (2019) |
| **North Macedonia** | Army of the Republic of North Macedonia (ARSM; includes General Staff and subordinate Joint Operational Command, Logistic Support Command, Training and Doctrine Command, Special Ops Regiment, Electronic Surveillance Center, and Air Surveillance Center) (2019) |
| | *Note:*Â  The Joint Operations Command includes air, ground, support, and reserve forces. |
| **Norway** | *Norwegian Armed Forces:*Â  Norwegian Army (Haeren), Royal Norwegian Navy (Kongelige Norske Sjoeforsvaret; includes Coastal Rangers and Coast Guard (Kystvakt)), Royal Norwegian Air Force (Kongelige Norske Luftforsvaret), Home Guard (Heimevernet, HV) (2019) |
| **Oman** | *Sultan's Armed Forces (SAF):* Royal Army of Oman (RAO), Royal Navy of Oman (RNO), Royal Air Force of Oman (RAFO), Royal Guard of Oman (RGO) (2019) |
| | The Royal Oman Police Coast Guard is separate from the SAF. |
| **Pakistan** | Pakistan Army (includes National Guard), Pakistan Navy (includes marines, Maritime Security Agency), Pakistan Air Force (Pakistan Fizaia); Ministry of Interior paramilitary forces:Â  Frontier Corps, Pakistan Rangers (2019) |
| **Palau** | no regular military forces; the Ministry of Justice includes divisions/bureaus for public security, police functions, and maritime law enforcement. (2019) |
| **Panama** | no regular military forces; Panamanian Public Security Forces (subordinate to the Ministry of Public Security), comprising the National Police (PNP), National Air-Naval Service (SENAN), National Border Service (SENAFRONT) (2019) |
| **Papua New Guinea** | Papua New Guinea Defense Force (PNGDF, includes land, maritime, and air elements) (2019) |
| **Paraguay** | *Armed Forces Command (Commando de las Fuerzas Militares):* Army, National Navy (Armada Nacional, includes marines), Paraguayan Air Force (Fuerza Aerea Paraguay, FAP) (2019) |
| **Peru** | Peruvian Army (Ejercito del Peru), Peruvian Navy (Marina de Guerra del Peru, MGP, includes naval air, naval infantry, and Coast Guard), Air Force of Peru (Fuerza Aerea del Peru, FAP) (2019) |
| **Philippines** | *Armed Forces of the Philippines (AFP):* Army, Navy (includes Marine Corps), Air Force (2019) |
| | the Philippine Coast Guard is an armed and uniformed service under the Department of Transportation; it would be attached to the AFP in wartime; the Philippine National Police Force (PNP) falls under the Ministry of Interior and Local Government |
| **Poland** | *Polish Armed Forces:* Land Forces (Wojska Ladowe), Navy (Marynarka Wojenna), Air Force (Sily Powietrzne), Special Forces (Wojska Specjalne), Territorial Defense Force (Wojska Obrony Terytorialnej) (2019) |
| | *note:* Territorial Defense Force only began recruitment in winter 2016 |
| **Portugal** | *Portuguese Armed Forces:*Â  Portuguese Army (Exercito Portuguesa), Portuguese Navy (Marinha Portuguesa; includes Marine Corps), Portuguese Air Force (Forca Aerea Portuguesa, FAP); Portuguese National Republican Guard (Guarda Nacional Republicana, GNR) (2019) |
| | *Note:*Â  the GNR is a national gendarmerie force comprised of military personnel with law enforcement, internal security, civil defense, disaster response, and coast guard duties; it is responsible to the Minister of Internal Administration and to the Minister of National Defense; in the event of war or crisis, it may be placed under the Chief of the General Staff of the Armed Forces |
| **Puerto Rico** | no regular indigenous military forces; National Guard, State Guard, Police Force |
| **Qatar** | Qatari Amiri Land Force (QALF, includes Emiri Guard), Qatari Amiri Navy (QAN, includes Coast Guard), Qatari Amiri Air Force (QAAF) (2019) |
| **Romania** | *Romanian Armed Forces:*Â  Land Forces, Naval Forces, Air Force (2019) |
| **Russia** | *Armed Forces of the Russian Federation:*Â  Ground Troops (Sukhoputnyye Voyskia, SV), Navy (Voyenno-Morskoy Flot, VMF), Aerospace Forces (Vozdushno-Kosmicheskiye Sily, VKS); Airborne Troops (Vozdushno-Desantnyye Voyska, VDV) and Missile Troops of Strategic Purpose (Raketnyye Voyska Strategicheskogo Naznacheniya, RVSN) referred to commonly as Strategic Rocket Forces, are independent "combat arms," not subordinate to any of the three branches |
| | *Federal National Guard Troops Service of the Russian Federation (National Guard, Russian Guard, or Rosgvardiya):* created in 2016 as an independent agency for internal/regime security, combating terrorism and narcotics trafficking, protecting important state facilities and government personnel, and supporting border security; forces include Interior Troops that formerly belong to the Interior Ministry, special police units, rapid response units, and other air, ground, maritime, and police forces |
| | *Federal Security Service (FSB) Border Guard Service:* Coast Guard (2019) |
| **Rwanda** | *Rwanda Defense Force (RDF):* Rwanda Army (Rwanda Land Force), Rwanda Air Force (Force Aerienne Rwandaise, FAR), Rwanda Reserve Force (2019) |
| **Saint Kitts and Nevis** | *Ministry of Foreign Affairs, National Security, Labour, Immigration, and Social Security:* Royal Saint Kitts and Nevis Defense Force (includes Coast Guard), Royal Saint Kitts and Nevis Police Force (2013) |
| **Saint Lucia** | no regular military forces; Royal Saint Lucia Police Force (includes Special Service Unit, Marine Unit) (2018) |
| **Saint Vincent and the Grenadines** | no regular military forces; the Special Services Unit (SSU) is the paramilitary arm of the Royal Saint Vincent and the Grenadines Police Force (RSVPF) (2019) |
| **Samoa** | no regular military forces; Samoa Police Force (2019) |
| **San Marino** | No regular military forces; Voluntary Military Corps (Corpi Militari), which includes a Uniformed Militia (performs ceremonial duties and limited police support functions) and Guard of the Great and General Council (defends the Captains Regent and the Great and General Council, participates in official ceremonies, cooperates with the maintenance of public order on special occasions, and performs guard duties during parliamentary sittings).Â  The Police Corps includes the Gendarmerie, which is responsible for maintaining public order, protecting citizens and their property, and providing assistance during disasters. (2019) |
| **Sao Tome and Principe** | *Armed Forces of Sao Tome and Principe (Forcas Armadas de Sao Tome e Principe, FASTP):* Army, Coast Guard of Sao Tome e Principe (Guarda Costeira de Sao Tome e Principe, GCSTP; also called "Navy"), Presidential Guard, National Guard (2015) |
| **Saudi Arabia** | *Ministry of Defense:* Royal Saudi Land Forces, Royal Saudi Naval Forces (includes marines, special forces, naval aviation), Royal Saudi Air Force, Royal Saudi Air Defense Forces, Royal Saudi Strategic Missiles Force; Ministry of the National Guard (SANG); Ministry of Interior:Â  Border Guard, Facilities Security Force (2019) |
| | *Note:*Â  SANG (also known as the White Army) is a land force separate from the Ministry of Defense that is responsible for internal security, protecting the royal family, and external defense |
| **Senegal** | *Senegalese Armed Forces:* Army, Senegalese National Navy (Marine Senegalaise, MNS), Senegalese Air Force (Armee de l'Air du Senegal), National Gendarmerie (includes Territorial and Mobile components) (2019) |
| **Serbia** | *Serbian Armed Forces (Vojska Srbije, VS):* Land Forces (includes Riverine Component, consisting of a river flotilla on the Danube), Air and Air Defense Forces (2019) |
| **Seychelles** | *Seychelles Peopleâ€™s Defence Forces (SPDF):* Army (includes infantry, Special Forces (Tazar), and Presidential Security Unit), Coast Guard, and Air Force (2019) |
| **Sierra Leone** | *Republic of Sierra Leone Armed Forces (RSLAF):* Army (includes Maritime Wing and Air Wing) (2019) |
| **Singapore** | *Singapore Armed Forces:* Singapore Army, Republic of Singapore Navy, Republic of Singapore Air Force (includes Air Defense);Â  Police Coast Guard (subordinate to the Singapore Police Force) (2019) |
| **Sint Maarten** | no regular military forces; Police Department for local law enforcement, supported by the Royal Netherlands Marechaussee (Gendarmerie), the Dutch Caribbean Police Force (Korps Politie Caribisch Nederland or KPCN), and the Dutch Caribbean Coast Guard (Kustwacht Caribisch Gebied or KWCARIB0)) (2019) |
| **Slovakia** | *Armed Forces of the Slovak Republic (Ozbrojene Sily Slovenskej Republiky):* Land Forces, Air and Air Defense Forces, and a Joint Training and Support Command. (2019) |
| **Slovenia** | Slovenian Armed Forces (Slovenska Vojska, SV):Â  Structured as a combined Force Command with air, land, logistical, maritime, support, and training components (2019) |
| **Solomon Islands** | no regular military forces; Royal Solomon Islands Police Force (2019) |
| **Somalia** | *Somali National Security Forces:*Â  Somali National Army (SNA), Somali National Police (SNP, includes a maritime unit), National Intelligence and Security Agency (NISA) (2019) |
| **South Africa** | *South African National Defence Force (SANDF):* South African Army (includes Reserve Force), South African Navy (SAN), South African Air Force (SAAF), South African Military Health Services (2019) |
| **South Sudan** | *South Sudan Peopleâ€™s Defence Force (SSPDF):* Ground Force, Air Force, Air Defense Forces, Presidential Guard (2019) |
| **Spain** | *Spanish Armed Forces:* Army (Ejercito de Tierra), Spanish Navy (Armada Espanola, AE, includes Marine Corps), Spanish Air Force (Ejercito del Aire Espanola, EdA) |
| | the Civil Guard (Guardia Civil) is a military force with police duties (including coast guard) under both the Ministry of the Interior and the Ministry of Defence; it also responds to the needs of the Ministry of Finance (2019) |
| **Sri Lanka** | Sri Lanka Army, Sri Lanka Navy (includes Marine Corps), Sri Lanka Air Force, Sri Lanka Coast Guard (2019) |
| **Sudan** | *Sudanese Armed Forces (SAF):* Ground Force, Navy, Sudanese Air Force; Rapid Support Forces (paramilitary); Popular Defense Forces (paramilitary) (2019) |
| **Suriname** | *Suriname Army (National Leger, NL):* Army, Navy, Air Force, Military Police (2019) |
| **Svalbard** | no regular military forces; military installations prohibited by treaty |
| **Sweden** | *Swedish Armed Forces (Forsvarsmakten):* Army, Navy, Air Force, Home Guard (2019) |
| **Switzerland** | *Swiss Armed Forces:* Land Forces, Swiss Air Force (Schweizer Luftwaffe) (2019) |
| **Syria** | *Syrian Armed Forces:* Syrian Arab Army, Syrian Naval Forces, Syrian Air Forces, Syrian Air Defense Forces, National Defense Forces (pro-government militia and auxiliary forces) (2019) |
| | *Note:*Â  the Syrian government is demobilizing militias or integrating them into its regular forces |
| **Taiwan** | *Republic of China Armed Forces:* Republic of China Army, Republic of China Navy (includes Marine Corps), Republic of China Air Force, Military Police Command, Armed Forces Reserve Command; Taiwan Coast Guard Administration (a law enforcement organization with homeland security functions during peacetime and national defense missions during wartime) (2019) |
| **Tajikistan** | *Armed Forces of the Republic of Tajikistan:*Â  Land Forces, Mobile Forces, Air and Air Defense Forces; National Guard; Internal Troops (Ministry of Internal Affairs/reserves for Armed Forces in wartime); Border Guard Forces (State Committee on National Security) (2019) |
| **Tanzania** | *Tanzania People's Defense Forces (TPDF or Jeshi la Wananchi la Tanzania, JWTZ):* Land Forces Command, Naval Forces Command, Air Force Command, National Building Army (Jeshi la Kujenga Taifa, JKT), People's Militia (Reserves) (2019) |
| | *note:* the National Building Army is a paramilitary organization under the Defense Forces that provides six months of military and vocational training to individuals as part of their two years of public service; after completion of training, some graduates join the regular Defense Forces while the remainder become part of the People's Militia |
| **Thailand** | Royal Thai Armed Forces (Kongthap Thai, RTARF): Royal Thai Army (Kongthap Bok Thai, RTA, includes paramilitary Thai Rangers (Thahan Phrahan)), Royal Thai Navy (Kongthap Ruea Thai, RTN, includes Royal Thai Marine Corps), Royal Thai Air Force (Kongthap Akaat Thai, RTAF); Interior Ministry paramilitary forces: Volunteer Defense Corps (2018) |
| **Timor-Leste** | *Timor-Leste Defense Force (Falintil-Forcas de Defesa de Timor-L'este, Falintil (F-FDTL)):* Headquarters with Land and Naval components (2019) |
| **Togo** | *Togolese Armed Forces (Forces Armees Togolaise, FAT):* Togolese Army (l'Armee de Terre), Togolese Navy (Forces Naval Togolaises), Togolese Air Force (Armee de lâ€™Air), National Gendarmerie (2018) |
| **Tonga** | *His Majesty's Armed Forces (HMAF):* Territorial Forces, Land Force (includes Tonga Royal Guards, Royal Tonga Marines, and a Combined Log and Tech Support Unit), Tonga Navy, Training Wing, Air Wing and Support Unit (2019) |
| **Trinidad and Tobago** | *Trinidad and Tobago Defense Force (TTDF):* Trinidad and Tobago Regiment (Land Forces), Coast Guard, Air Guard, Defense Force Reserves (2019) |
| **Tunisia** | Tunisian Armed Forces (Forces Armees Tunisiens, FAT): Tunisian Army (includes Tunisian Air Defense Force), Tunisian Navy, Republic of Tunisia Air Force; Ministry of Interior: Tunisian National Guard (2019) |
| **Turkey** | Turkish Armed Forces (TSK): Turkish Land Forces (Turk Kara Kuvvetleri), Turkish Naval Forces (Turk Deniz Kuvvetleri; includes naval air and naval infantry), Turkish Air Forces (Turk Hava Kuvvetleri); Ministry of Interior: Gendarmerie of the Turkish Republic, Turkish Coast Guard Command (2019) |
| **Turkmenistan** | *Armed Forces of Turkmenistan:* National Army, Navy, Air and Air Defense Forces (2019) |
| **Tuvalu** | no regular military forces; Tuvalu Police Force (2012) |
| **Uganda** | *Uganda People's Defense Force (UPDF):* Land Forces, Air Forces, Marine Forces, Special Operations Command, Reserve Force (2019) |
| **Ukraine** | Armed Forces of Ukraine (Zbroyni Syly Ukrayiny, ZSU): Ground Forces (Sukhoputni Viysâ€™ka), Naval Forces (Viysâ€™kovo-Morsâ€™ki Syly, VMS), Air Forces (Povitryani Syly, PS), Air Assault Forces (Desantno-shturmovi Viyska, DShV);Â  Ministry of Internal Affairs: National Guard of Ukraine, State Border Guard Service of Ukraine (includes Maritime Border Guard) (2019) |
| **United Arab Emirates** | *United Arab Emirates Armed Forces:* Land Forces, Navy, Air Force, Presidential Guard, Joint Aviation Command; Ministry of Interior: Critical Infrastructure Coastal Patrol Agency (CICPA) (2019) |
| **United Kingdom** | British Army, Royal Navy (includes Royal Marines), Royal Air Force (2019) |
| **United States** | *United States Armed Forces:* US Army, US Navy (includes Marine Corps), US Air Force, US Coast Guard (administered in peacetime by the Department of Homeland Security, but in wartime reports to the Department of the Navy), National Guard (Army National Guard and Air National Guard) (2019) |
| **Uruguay** | *Armed Forces of Uruguay (Fuerzas Armadas del Uruguay):* National Army (Ejercito Nacional), National Navy (Armada Nacional, includes Maritime National Prefecture (Coast Guard)), Uruguayan Air Force (Fuerza Aerea) (2019) |
| **Uzbekistan** | *Armed Forces of Uzbekistan:* Army, Air and Air Defense Forces; National Guard; Ministry of Internal Affairs:Â  Internal Security Troops (2019) |
| **Vanuatu** | no regular military forces; Vanuatu Police Force (VPF; includes Vanuatu Mobile Force (VMF) and Police Maritime Wing (VPMW)) (2019) |
| **Venezuela** | *Bolivarian National Armed Forces (Fuerza Armada Nacional Bolivariana, FANB):* Bolivarian Army (Ejercito Bolivariano, EB), Bolivarian Navy (Armada Bolivariana, AB; includes Marines, Coast Guard), Bolivarian Military Aviation (Aviacion Militar Bolivariana, AMB), Integral Aerospace Defense Command (Comando de Defensa Aeroespacial Integral, CODAI), Bolivarian National Guard (Guardia Nacional Bolivaria, GNB), Bolivarian Militia (Milicia Bolivariana, NMB) (2019) |
| **Vietnam** | People's Army of Vietnam (PAVN):Â  PAVN Ground Forces, PAVN Navy (includes naval infantry), PAVN Air Force and Air Defense, Border Defense Force, and Vietnam Coast Guard; Vietnam People's Public Security; Vietnam Civil Defense Force (2019) |
| **West Bank** | in accordance with the Oslo Accords, the PA is not permitted a conventional military but maintains security and police forces; PA security personnel have operated almost exclusively in the West Bank since HAMAS seized power in the Gaza Strip in 2007; PA forces include National Security Forces, Presidential Guard, Civil Police, Preventative Security Service, and the General Intelligence Service (2019) |
| **Yemen** | Land Forces (includes seven Military Regional Commands, supported by Strategic Reserve Units), Naval and Coastal Defense Forces (includes Navy Infantry or Marine units and Coast Guard), Air and Air Defense Force (although it still exists in name, in practice many of the officers and soldiers in this branch have been distributed to other military branches and jobs), Border Guards, Strategic Reserve Forces (supports the Land Forces at the discretion of the Armed Forces Commander-in-Chief and also includes a Missile Group, Presidential Protection Brigades, and Special Operations Forces), Minister of Defense Intelligence Authority (consists of the Department of Military Intelligence [active], Department of Reconnaissance [active], Department of Military Security [inactive], and the Electronic Warfare Department [inactive]) (March 2018) |
| **Zambia** | *Zambia Defense Force (ZDF):* Zambia Army, Zambia Air Force, Zambia National Service (support organization); the Zambia Police includes a paramilitary battalion (2019) |
| **Zimbabwe** | *Zimbabwe Defense Forces (ZDF):* Zimbabwe National Army (ZNA), Air Force of Zimbabwe (AFZ) (2019) |

