Field Listing :: Military and security forces :: The World Factbook - Central Intelligence Agency

This entry lists the military and security forces subordinate to defense ministries or the equivalent (typically ground, naval, air, and marine forces), as well as those belonging to interior ministries or the equivalent (typically gendarmeries, border/coast guards, paramilitary police, and other internal security forces).

| Country | Military and security forces |
| **Laos** | *Lao People's Armed Forces (LPAF):* Lao People's Army (LPA, includes Riverine Force), Air Force (2019) |
| **Latvia** | *National Armed Forces (Nacionalie Brunotie Speki):* Land Forces (Latvijas Sauszemes Speki), Naval Force (Latvijas Juras Speki, includes Coast Guard (Latvijas Kara Flote)), Air Force (Latvijas Gaisa Speki), National Guard (2019) |
| **Lebanon** | Lebanese Armed Forces (LAF): Army Command (includes Presidential Guard Brigade, Land Border Regiments), Naval Forces, Air Forces; Ministry of Interior: Lebanese Internal Security Forces Directorate (includes Mobile Gendarmerie) (2019) |
| **Lesotho** | *Lesotho Defense Force (LDF):* Army (includes Air Wing) (2012) |
| **Liberia** | *Armed Forces of Liberia (AFL):* Army, Liberia Air Wing, Liberian Coast Guard (2019) |
| **Libya** | note - in transition; Government of National Accord (GNA) has various ground, air, naval, and coast guard forces under its command; the ground forces are comprised of a mix of semi-regular military units, tribal militias, and civilian volunteers (2019) |
| **Liechtenstein** | no regular military forces; National Police maintain close relations with neighboring forces (2019) |
| **Lithuania** | *Lithuanian Armed Forces (Lietuvos Ginkluotosios Pajegos):* Land Forces (Sausumos Pajegos), Naval Forces (Karines Juru Pajegos), Air Forces (Karines Oro Pajegos), Special Operations Forces (Specialiuju Operaciju Pajegos); National Defense Volunteer Forces (Savanoriu Pajegos) (2019) |
| **Luxembourg** | Luxembourg Army (l'ArmÃ©e Luxembourgeoise) (2019) |
| **Macau** | no regular indigenous military forces |
| **Madagascar** | *People's Armed Forces:* Intervention Force, Development Force, Navy, Air Force (2018) |
| **Malawi** | *Malawi Defense Force (MDF):* Army (includes Air Wing, Marine Unit); note - a 2017 amendment to Malawiâ€™s Defense Force Act established a separate Army, Air Force, and Maritime Force within the MDF, but these services have yet to develop independent budgets, chains of command, and training institutions (2019) |
| **Malaysia** | *Malaysian Armed Forces (Angkatan Tentera Malaysia, ATM):* Malaysian Army (Tentera Darat Malaysia), Royal Malaysian Navy (Tentera Laut Diraja Malaysia, TLDM), Royal Malaysian Air Force (Tentera Udara Diraja Malaysia, TUDM) (2019) |
| | Malaysia created a National Special Operations Force in 2016 for combating terrorism threats; the force is comprised of personnel from the Armed Forces, the Royal Malaysian Police (PDRM), and the Malaysian Maritime Enforcement Agency (Malaysian Coast Guard, MMEA) |
| **Maldives** | *Maldives National Defense Force (MNDF):* Marine Corps, Special Protection Group, Coast Guard (2018) |
| **Mali** | *Malian Armed Forces (FAMa):* Army (Armee de Terre), Republic of Mali Air Force (Force Aerienne de la Republique du Mali, FARM), National Guard (Garde National du Mali), Gendarmerie (2019) |
| | *Note:*Â  Mali planned to establish a border guard force in 2019 |
| **Malta** | Armed Forces of Malta (AFM, includes land, maritime, and air elements, plus a Volunteer Reserve Force) (2019) |
