CIA - The World Factbook --  TOTAL FERTILITY RATE

Total fertility rate (TFR) compares figures for the average number of children that would be born per woman if all women lived to the end of their childbearing years and bore children according to a given fertility rate at each age. TFR is a more direct measure of the level of fertility than the crude birth rate, since it refers to births per woman.

| Rank | Country | (CHILDREN BORN/WOMAN) | Date of Information |
| 87 | United Arab Emirates | 2.32 | 2017 est. |
| 88 | Venezuela | 2.32 | 2017 est. |
| 89 | Djibouti | 2.31 | 2017 est. |
| 90 | Panama | 2.30 | 2017 est. |
| 91 | South Africa | 2.29 | 2017 est. |
| 92 | Dominican Republic | 2.29 | 2017 est. |
| 93 | Argentina | 2.26 | 2017 est. |
| 94 | Kazakhstan | 2.25 | 2017 est. |
| 95 | Mexico | 2.24 | 2017 est. |
| 96 | Cabo Verde | 2.24 | 2017 est. |
| 97 | Tunisia | 2.23 | 2017 est. |
| 98 | Cook Islands | 2.19 | 2017 est. |
| 99 | Ecuador | 2.19 | 2017 est. |
| 100 | Bangladesh | 2.17 | 2017 est. |
| 101 | Burma | 2.17 | 2017 est. |
| 102 | Peru | 2.12 | 2017 est. |
| 103 | Nepal | 2.12 | 2017 est. |
| 104 | Morocco | 2.11 | 2017 est. |
| 105 | Indonesia | 2.11 | 2017 est. |
| 106 | Saudi Arabia | 2.09 | 2017 est. |
| 107 | Mongolia | 2.09 | 2017 est. |
| 108 | Virgin Islands | 2.08 | 2017 est. |
| 109 | France | 2.07 | 2017 est. |
| 110 | Turkmenistan | 2.07 | 2017 est. |
| 111 | Sri Lanka | 2.07 | 2017 est. |
| 112 | Sint Maarten | 2.05 | 2017 est. |
| 113 | Curacao | 2.04 | 2017 est. |
| 114 | Libya | 2.04 | 2017 est. |
| 115 | Dominica | 2.03 | 2017 est. |
| 116 | New Zealand | 2.02 | 2017 est. |
| 117 | Grenada | 2.02 | 2017 est. |
| 118 | Turkey | 2.01 | 2017 est. |
| 119 | Antigua and Barbuda | 2.00 | 2017 est. |
| 120 | Iceland | 2.00 | 2017 est. |
| 121 | Guyana | 2.00 | 2017 est. |
| 122 | Colombia | 2.00 | 2017 est. |
| 123 | Greenland | 1.99 | 2017 est. |
| 124 | Iran | 1.97 | 2017 est. |
| 125 | Ireland | 1.97 | 2017 est. |
| 126 | Jamaica | 1.96 | 2017 est. |
| 127 | Korea, North | 1.95 | 2017 est. |
| 128 | Bahamas, The | 1.94 | 2017 est. |
| 129 | Bermuda | 1.93 | 2017 est. |
| 130 | New Caledonia | 1.93 | 2017 est. |
| 131 | Suriname | 1.93 | 2017 est. |
| 132 | Isle of Man | 1.92 | 2017 est. |
| 133 | Qatar | 1.90 | 2017 est. |
| 134 | Paraguay | 1.90 | 2017 est. |
| 135 | Bhutan | 1.90 | 2017 est. |
| 136 | Gibraltar | 1.90 | 2017 est. |
| 137 | Azerbaijan | 1.89 | 2017 est. |
| 138 | Nicaragua | 1.89 | 2017 est. |
| 139 | Costa Rica | 1.89 | 2017 est. |
| 140 | French Polynesia | 1.88 | 2017 est. |
| 141 | Sweden | 1.88 | 2017 est. |
| 142 | United Kingdom | 1.88 | 2017 est. |
| 143 | United States | 1.87 | 2017 est. |
| 144 | El Salvador | 1.87 | 2017 est. |
| 145 | Norway | 1.85 | 2017 est. |
| 146 | Seychelles | 1.85 | 2017 est. |
| 147 | Cayman Islands | 1.85 | 2017 est. |
| 148 | Aruba | 1.83 | 2017 est. |
| 149 | Vietnam | 1.81 | 2017 est. |
| 150 | Uruguay | 1.80 | 2017 est. |
| 151 | Saint Vincent and the Grenadines | 1.80 | 2017 est. |
| 152 | Chile | 1.80 | 2017 est. |
| 153 | Netherlands | 1.78 | 2017 est. |
| 154 | Brunei | 1.78 | 2017 est. |
| 155 | Belgium | 1.78 | 2017 est. |
| 156 | Australia | 1.77 | 2017 est. |
| 157 | Saint Kitts and Nevis | 1.77 | 2017 est. |
| 158 | Georgia | 1.76 | 2017 est. |
| 159 | Uzbekistan | 1.76 | 2017 est. |
| 160 | Mauritius | 1.75 | 2017 est. |
| 161 | Saint Lucia | 1.75 | 2017 est. |
| 162 | Finland | 1.75 | 2017 est. |
| 163 | Brazil | 1.75 | 2017 est. |
| 164 | Bahrain | 1.75 | 2017 est. |
| 165 | Anguilla | 1.74 | 2017 est. |
| 166 | Wallis and Futuna | 1.73 | 2017 est. |
| 167 | Denmark | 1.73 | 2017 est. |
| 168 | Maldives | 1.73 | 2017 est. |
| 169 | Lebanon | 1.72 | 2017 est. |
| 170 | Palau | 1.71 | 2017 est. |
| 171 | Cuba | 1.71 | 2017 est. |
| 172 | Trinidad and Tobago | 1.71 | 2017 est. |
| 173 | Turks and Caicos Islands | 1.70 | 2017 est. |
| 174 | Liechtenstein | 1.69 | 2017 est. |
| 175 | Barbados | 1.68 | 2017 est. |
| 176 | Jersey | 1.66 | 2017 est. |
| 177 | Armenia | 1.64 | 2017 est. |
| 178 | Luxembourg | 1.62 | 2017 est. |
| 179 | Russia | 1.61 | 2017 est. |
| 180 | Macedonia | 1.60 | 2017 est. |
| 181 | Estonia | 1.60 | 2017 est. |
| 182 | China | 1.60 | 2017 est. |
| 183 | Canada | 1.60 | 2017 est. |
| 184 | Saint Helena, Ascension, and Tristan da Cunha | 1.59 | 2017 est. |
| 185 | Lithuania | 1.59 | 2017 est. |
| 186 | Saint Pierre and Miquelon | 1.57 | 2017 est. |
| 187 | Moldova | 1.57 | 2017 est. |
| 188 | Guernsey | 1.56 | 2017 est. |
| 189 | Switzerland | 1.56 | 2017 est. |
| 190 | Malta | 1.55 | 2017 est. |
| 191 | Ukraine | 1.54 | 2017 est. |
| 192 | Portugal | 1.53 | 2017 est. |
| 193 | Monaco | 1.53 | 2017 est. |
| 194 | Thailand | 1.52 | 2017 est. |
| 195 | Albania | 1.51 | 2017 est. |
| 196 | Latvia | 1.51 | 2017 est. |
| 197 | Spain | 1.50 | 2017 est. |
| 198 | San Marino | 1.50 | 2017 est. |
| 199 | Belarus | 1.48 | 2017 est. |
| 200 | Cyprus | 1.47 | 2017 est. |
| 201 | Austria | 1.47 | 2017 est. |
| 202 | Bulgaria | 1.46 | 2017 est. |
| 203 | Czechia | 1.45 | 2017 est. |
| 204 | Hungary | 1.45 | 2017 est. |
| 205 | Germany | 1.45 | 2017 est. |
| 206 | Italy | 1.44 | 2017 est. |
| 207 | Serbia | 1.44 | 2017 est. |
| 208 | Greece | 1.43 | 2017 est. |
| 209 | Japan | 1.41 | 2017 est. |
| 210 | Slovakia | 1.41 | 2017 est. |
| 211 | Croatia | 1.40 | 2017 est. |
| 212 | Andorra | 1.40 | 2017 est. |
| 213 | Slovenia | 1.36 | 2017 est. |
| 214 | Romania | 1.35 | 2017 est. |
| 215 | Poland | 1.35 | 2017 est. |
| 216 | Montserrat | 1.33 | 2017 est. |
| 217 | Bosnia and Herzegovina | 1.30 | 2017 est. |
| 218 | British Virgin Islands | 1.29 | 2017 est. |
| 219 | Korea, South | 1.26 | 2017 est. |
| 220 | Puerto Rico | 1.22 | 2017 est. |
| 221 | Hong Kong | 1.19 | 2017 est. |
| 222 | Taiwan | 1.13 | 2017 est. |
| 223 | Macau | 0.95 | 2017 est. |
| 224 | Singapore | 0.83 | 2017 est. |


