CIA - The World Factbook -- Field Listing :: Crude oil - exports   

This entry is the total amount of crude oil exported, in barrels per day (bbl/day).

| Country | Crude oil - exports(bbl/day) |
| **Saint Helena, Ascension, and Tristan da Cunha** | 0 bbl/day (2009 est.) |
| **Saint Kitts and Nevis** | 0 bbl/day (2009 est.) |
| **Saint Lucia** | 0 bbl/day (2009 est.) |
| **Saint Pierre and Miquelon** | 0 bbl/day (2009 est.) |
| **Saint Vincent and the Grenadines** | 0 bbl/day (2009 est.) |
| **Samoa** | 0 bbl/day (2009 est.) |
| **Sao Tome and Principe** | 0 bbl/day (2009 est.) |
| **Saudi Arabia** | 6.88 million bbl/day (2011 est.) |
| **Senegal** | 0 bbl/day (2009 est.) |
| **Serbia** | 0 bbl/day (2009 est.) |
| **Seychelles** | 0 bbl/day (2009 est.) |
| **Sierra Leone** | 0 bbl/day (2009 est.) |
| **Singapore** | 900 bbl/day (2009 est.) |
| **Slovakia** | 300 bbl/day (2009 est.) |
| **Slovenia** | 0 bbl/day (2009 est.) |
| **Solomon Islands** | 0 bbl/day (2009 est.) |
| **Somalia** | 0 bbl/day (2009 est.) |
| **South Africa** | 0 bbl/day (2009 est.) |
| **Spain** | 0 bbl/day (2009 est.) |
| **Sri Lanka** | 0 bbl/day (2012 est.) |
| **Sudan** | 370,700 bbl/day (2009 est.) |
| **Suriname** | 0 bbl/day (2009 est.) |
| **Swaziland** | 0 bbl/day (2009 est.) |
| **Sweden** | 0 bbl/day (2009 est.) |
| **Switzerland** | 0 bbl/day (2011 est.) |
| **Syria** | 144,000 bbl/day (2009 est.) |
| **Taiwan** | 0 bbl/day (2009 est.) |
| **Tajikistan** | 80 bbl/day (2009 est.) |
| **Tanzania** | 0 bbl/day (2009 est.) |
| **Thailand** | 39,820 bbl/day (2009 est.) |
| **Timor-Leste** | 96,270 bbl/day (2009 est.) |
| **Togo** | 0 bbl/day (2009 est.) |
| **Tonga** | 0 bbl/day (2009 est.) |
| **Trinidad and Tobago** | 55,240 bbl/day (2009 est.) |
| **Tunisia** | 65,960 bbl/day (2009 est.) |
| **Turkey** | 0 bbl/day (2009 est.) |
| **Turkmenistan** | 67,000 bbl/day (2012 est.) |
| **Turks and Caicos Islands** | 0 bbl/day (2009 est.) |
| **Uganda** | 0 bbl/day (2009 est.) |
| **Ukraine** | 160 bbl/day (2009 est.) |
| **United Arab Emirates** | 2.036 million bbl/day (2009 est.) |
| **United Kingdom** | 788,900 bbl/day (2009 est.) |
| **United States** | 43,800 bbl/day (2009 est.) |
| **Uruguay** | 0 bbl/day (2009 est.) |
| **Uzbekistan** | 0 bbl/day (2009 est.) |
| **Vanuatu** | 0 bbl/day (2009 est.) |
| **Venezuela** | 1.691 million bbl/day (2009 est.) |
| **Vietnam** | 267,500 bbl/day (2009 est.) |
| **Virgin Islands** | 0 bbl/day (2009 est.) |
| **West Bank** | 0 bbl/day (2009 est.) |
| **Western Sahara** | 0 bbl/day (2009 est.) |
| **World** | 41.51 million bbl/day (2009 est.) |
| **Yemen** | 191,100 bbl/day (2009 est.) |
| **Zambia** | 0 bbl/day (2009 est.) |
| **Zimbabwe** | 0 bbl/day (2009 est.) |
