CIA - The World Factbook --  Death rate   

This entry gives the average annual number of deaths during a year per 1,000 population at midyear; also known as crude death rate. The death rate, while only a rough indicator of the mortality situation in a country, accurately indicates the current mortality impact on population growth. This indicator is significantly affected by age distribution, and most countries will eventually show a rise in the overall death rate, in spite of continued decline in mortality at all ages, as declining fertility results in an aging population.

| Rank | country | (deaths/1,000 population) | Date of Information |
| 200 | Anguilla | 4.41 | July 2012 est. |
| 201 | Dominican Republic | 4.41 | July 2012 est. |
| 202 | Costa Rica | 4.38 | July 2012 est. |
| 203 | Micronesia, Federated States of | 4.31 | July 2012 est. |
| 204 | Marshall Islands | 4.31 | July 2012 est. |
| 205 | Vanuatu | 4.30 | July 2012 est. |
| 206 | Algeria | 4.30 | July 2012 est. |
| 207 | Solomon Islands | 3.91 | July 2012 est. |
| 208 | Macau | 3.85 | July 2012 est. |
| 209 | Maldives | 3.76 | July 2012 est. |
| 210 | Syria | 3.67 | July 2012 est. |
| 211 | West Bank | 3.56 | July 2012 est. |
| 212 | Oman | 3.42 | July 2012 est. |
| 213 | Singapore | 3.41 | July 2012 est. |
| 214 | Northern Mariana Islands | 3.40 | July 2012 est. |
| 215 | Brunei | 3.39 | July 2012 est. |
| 216 | Saudi Arabia | 3.32 | July 2012 est. |
| 217 | Gaza Strip | 3.22 | July 2012 est. |
| 218 | Turks and Caicos Islands | 3.00 | July 2012 est. |
| 219 | Sint Maarten | 3.00 | 2009 |
| 220 | Jordan | 2.74 | July 2012 est. |
| 221 | Bahrain | 2.63 | July 2012 est. |
| 222 | Kuwait | 2.13 | July 2012 est. |
| 223 | United Arab Emirates | 2.04 | July 2012 est. |
| 224 | Qatar | 1.55 | July 2012 est. |
| 225 | Cocos (Keeling) Islands | -9.00 | NA |
| 226 | Christmas Island | -9.00 | NA |
| 227 | Niue | -9.00 | NA |
| 228 | Tokelau | -9.00 | NA |
| 229 | Pitcairn Islands | -9.00 | NA |
| 230 | Svalbard | -9.00 | NA |
| 231 | Norfolk Island | -9.00 | NA |
