CIA - The World Factbook --  DEATH RATE

Death rate compares the average annual number of deaths during a year per 1,000 population at midyear; also known as crude death rate.

| Rank | Country | (DEATHS/1,000 POPULATION) | Date of Information |
| 100 | Burma | 7.90 | 2016 est. |
| 101 | Dominica | 7.90 | 2016 est. |
| 102 | Ethiopia | 7.90 | 2016 est. |
| 103 | Thailand | 7.90 | 2016 est. |
| 104 | Tanzania | 7.80 | 2016 est. |
| 105 | Jersey | 7.70 | 2016 est. |
| 106 | China | 7.70 | 2016 est. |
| 107 | Haiti | 7.70 | 2016 est. |
| 108 | Saint Helena, Ascension, and Tristan da Cunha | 7.70 | 2016 est. |
| 109 | Cambodia | 7.60 | 2016 est. |
| 110 | Saint Lucia | 7.60 | 2016 est. |
| 111 | Djibouti | 7.60 | 2016 est. |
| 112 | Sudan | 7.50 | 2016 est. |
| 113 | Laos | 7.50 | 2016 est. |
| 114 | Argentina | 7.50 | 2016 est. |
| 115 | New Zealand | 7.40 | 2016 est. |
| 116 | Guyana | 7.40 | 2016 est. |
| 117 | Comoros | 7.40 | 2016 est. |
| 118 | Saint Vincent and the Grenadines | 7.30 | 2016 est. |
| 119 | Eritrea | 7.30 | 2016 est. |
| 120 | India | 7.30 | 2016 est. |
| 121 | Taiwan | 7.30 | 2016 est. |
| 122 | Luxembourg | 7.30 | 2016 est. |
| 123 | Liechtenstein | 7.30 | 2016 est. |
| 124 | Australia | 7.20 | 2016 est. |
| 125 | Hong Kong | 7.20 | 2016 est. |
| 126 | Gambia, The | 7.10 | 2016 est. |
| 127 | Saint Kitts and Nevis | 7.10 | 2016 est. |
| 128 | Bahamas, The | 7.10 | 2016 est. |
| 129 | Kiribati | 7.10 | 2016 est. |
| 130 | Azerbaijan | 7.10 | 2016 est. |
| 131 | Togo | 7.10 | 2016 est. |
| 132 | Andorra | 7.10 | 2016 est. |
| 133 | Ghana | 7.10 | 2016 est. |
| 134 | Mauritius | 7.00 | 2016 est. |
| 135 | Sao Tome and Principe | 7.00 | 2016 est. |
| 136 | Seychelles | 6.90 | 2016 est. |
| 137 | Kenya | 6.80 | 2016 est. |
| 138 | Cyprus | 6.70 | 2016 est. |
| 139 | Madagascar | 6.70 | 2016 est. |
| 140 | Jamaica | 6.70 | 2016 est. |
| 141 | Albania | 6.70 | 2016 est. |
| 142 | Bhutan | 6.60 | 2016 est. |
| 143 | Brazil | 6.60 | 2016 est. |
| 144 | Kyrgyzstan | 6.60 | 2016 est. |
| 145 | Papua New Guinea | 6.50 | 2016 est. |
| 146 | Ireland | 6.50 | 2016 est. |
| 147 | Bolivia | 6.50 | 2016 est. |
| 148 | Pakistan | 6.40 | 2016 est. |
| 149 | Indonesia | 6.40 | 2016 est. |
| 150 | Mongolia | 6.30 | 2016 est. |
| 151 | Iceland | 6.30 | 2016 est. |
| 152 | Montserrat | 6.30 | 2016 est. |
| 153 | Sri Lanka | 6.20 | 2016 est. |
| 154 | Suriname | 6.10 | 2016 est. |
| 155 | Fiji | 6.10 | 2016 est. |
| 156 | Cabo Verde | 6.10 | 2016 est. |
| 157 | Chile | 6.10 | 2016 est. |
| 158 | Turkmenistan | 6.10 | 2016 est. |
| 159 | Yemen | 6.10 | 2016 est. |
| 160 | Tajikistan | 6.10 | 2016 est. |
| 161 | Philippines | 6.10 | 2016 est. |
| 162 | Timor-Leste | 6.00 | 2016 est. |
| 163 | Belize | 6.00 | 2016 est. |
| 164 | Tunisia | 6.00 | 2016 est. |
| 165 | Peru | 6.00 | 2016 est. |
| 166 | Turkey | 5.90 | 2016 est. |
| 167 | Nauru | 5.90 | 2016 est. |
| 168 | Iran | 5.90 | 2016 est. |
| 169 | Vietnam | 5.90 | 2016 est. |
| 170 | Korea, South | 5.80 | 2016 est. |
| 171 | Cayman Islands | 5.70 | 2016 est. |
| 172 | Antigua and Barbuda | 5.70 | 2016 est. |
| 173 | El Salvador | 5.70 | 2016 est. |
| 174 | Nepal | 5.70 | 2016 est. |
| 175 | New Caledonia | 5.60 | 2016 est. |
| 176 | Colombia | 5.40 | 2016 est. |
| 177 | Mexico | 5.30 | 2016 est. |
| 178 | Samoa | 5.30 | 2016 est. |
| 179 | Bangladesh | 5.30 | 2016 est. |
| 180 | Uzbekistan | 5.30 | 2016 est. |
| 181 | Honduras | 5.20 | 2016 est. |
| 182 | Guam | 5.20 | 2016 est. |
| 183 | Wallis and Futuna | 5.20 | 2016 est. |
| 184 | Israel | 5.20 | 2016 est. |
| 185 | Venezuela | 5.20 | 2016 est. |
| 186 | Malaysia | 5.10 | 2016 est. |
| 187 | Ecuador | 5.10 | 2016 est. |
| 188 | British Virgin Islands | 5.10 | 2016 est. |
| 189 | French Polynesia | 5.10 | 2016 est. |
| 190 | Nicaragua | 5.10 | 2016 est. |
| 191 | Sint Maarten | 5.00 | 2013 est. |
| 192 | Falkland Islands (Islas Malvinas) | 4.90 | 2012 est. |
| 193 | Lebanon | 4.90 | 2016 est. |
| 194 | Tonga | 4.90 | 2016 est. |
| 195 | Panama | 4.90 | 2016 est. |
| 196 | American Samoa | 4.80 | 2016 est. |
| 197 | Morocco | 4.80 | 2016 est. |
| 198 | Egypt | 4.70 | 2016 est. |
| 199 | Guatemala | 4.70 | 2016 est. |
| 200 | Paraguay | 4.70 | 2016 est. |
| 201 | Costa Rica | 4.60 | 2016 est. |
| 202 | Anguilla | 4.60 | 2016 est. |
| 203 | Dominican Republic | 4.60 | 2016 est. |
| 204 | Macau | 4.40 | 2016 est. |
| 205 | Algeria | 4.30 | 2016 est. |
| 206 | Micronesia, Federated States of | 4.20 | 2016 est. |
| 207 | Marshall Islands | 4.20 | 2016 est. |
| 208 | Vanuatu | 4.10 | 2016 est. |
| 209 | Syria | 4.00 | 2016 est. |
| 210 | Maldives | 3.90 | 2016 est. |
| 211 | Jordan | 3.80 | 2016 est. |
| 212 | Solomon Islands | 3.80 | 2016 est. |
| 213 | Northern Mariana Islands | 3.80 | 2016 est. |
| 214 | Iraq | 3.80 | 2016 est. |
| 215 | Brunei | 3.60 | 2016 est. |
| 216 | Libya | 3.60 | 2016 est. |
| 217 | Singapore | 3.50 | 2016 est. |
| 218 | West Bank | 3.50 | 2016 est. |
| 219 | Oman | 3.30 | 2016 est. |
| 220 | Saudi Arabia | 3.30 | 2016 est. |
| 221 | Gaza Strip | 3.20 | 2016 est. |
| 222 | Turks and Caicos Islands | 3.20 | 2016 est. |
| 223 | Bahrain | 2.70 | 2016 est. |
| 224 | Kuwait | 2.20 | 2016 est. |
| 225 | United Arab Emirates | 2.00 | 2016 est. |
| 226 | Qatar | 1.50 | 2016 est. |


