CIA - The World Factbook --  Manpower reaching militarily significant age annually   

| Rank | country | Manpower reaching militarily significant age annually | Date of Information |
| 228 | Lebanon | 36,856.00 | 2010 est. |
| 229 | Mauritania | 36,826.00 | 2010 est. |
| 230 | Liberia | 36,585.00 | 2010 est. |
| 231 | Hong Kong | 36,554.00 | 2010 est. |
| 232 | Mauritania | 36,116.00 | 2010 est. |
| 233 | Denmark | 35,865.00 | 2010 est. |
| 234 | Lebanon | 35,121.00 | 2010 est. |
| 235 | Bulgaria | 33,444.00 | 2010 est. |
| 236 | Jamaica | 33,369.00 | 2010 est. |
| 237 | Jamaica | 32,702.00 | 2010 est. |
| 238 | Finland | 32,599.00 | 2010 est. |
| 239 | Norway | 32,290.00 | 2010 est. |
| 240 | Panama | 32,142.00 | 2010 est. |
| 241 | Bulgaria | 32,075.00 | 2010 est. |
| 242 | Albania | 31,986.00 | 2010 est. |
| 243 | Oman | 31,959.00 | 2010 est. |
| 244 | Slovakia | 31,646.00 | 2010 est. |
| 245 | Finland | 31,416.00 | 2010 est. |
| 246 | West Bank | 30,925.00 | 2010 est. |
| 247 | Panama | 30,879.00 | 2010 est. |
| 248 | New Zealand | 30,846.00 | 2010 est. |
| 249 | Mongolia | 30,829.00 | 2010 est. |
| 250 | Norway | 30,777.00 | 2010 est. |
| 251 | Puerto Rico | 30,517.00 | 2010 est. |
| 252 | Oman | 30,264.00 | 2010 est. |
| 253 | Slovakia | 30,219.00 | 2010 est. |
| 254 | Georgia | 29,723.00 | 2010 est. |
| 255 | Mongolia | 29,648.00 | 2010 est. |
| 256 | Albania | 29,533.00 | 2010 est. |
| 257 | West Bank | 29,440.00 | 2010 est. |
| 258 | Puerto Rico | 29,010.00 | 2010 est. |
| 259 | New Zealand | 28,825.00 | 2010 est. |
| 260 | Ireland | 28,564.00 | 2010 est. |
| 261 | Croatia | 28,334.00 | 2010 est. |
| 262 | Moldova | 28,213.00 | 2010 est. |
| 263 | Uruguay | 27,564.00 | 2010 est. |
| 264 | United Arab Emirates | 27,439.00 | 2010 est. |
| 265 | Georgia | 27,242.00 | 2010 est. |
| 266 | Ireland | 27,197.00 | 2010 est. |
| 267 | Singapore | 27,098.00 | 2010 est. |
| 268 | Croatia | 27,015.00 | 2010 est. |
| 269 | Uruguay | 26,811.00 | 2010 est. |
| 270 | Moldova | 26,614.00 | 2010 est. |
| 271 | Bosnia and Herzegovina | 26,601.00 | 2010 est. |
| 272 | Namibia | 26,413.00 | 2010 est. |
| 273 | Namibia | 26,038.00 | 2010 est. |
| 274 | Singapore | 25,368.00 | 2010 est. |
| 275 | Bosnia and Herzegovina | 24,879.00 | 2010 est. |
| 276 | United Arab Emirates | 24,419.00 | 2010 est. |
| 277 | Botswana | 23,649.00 | 2010 est. |
| 278 | Armenia | 23,470.00 | 2010 est. |
| 279 | Botswana | 23,063.00 | 2010 est. |
| 280 | Armenia | 21,417.00 | 2010 est. |
| 281 | Gambia, The | 20,853.00 | 2010 est. |
| 282 | Gambia, The | 20,508.00 | 2010 est. |
| 283 | Lithuania | 20,425.00 | 2010 est. |
| 284 | Lesotho | 20,037.00 | 2010 est. |
| 285 | Lithuania | 19,527.00 | 2010 est. |
| 286 | Lesotho | 19,110.00 | 2010 est. |
| 287 | Gaza Strip | 18,805.00 | 2010 est. |
| 288 | Gaza Strip | 17,903.00 | 2010 est. |
| 289 | Guinea-Bissau | 17,865.00 | 2010 est. |
| 290 | Kuwait | 17,653.00 | 2010 est. |
| 291 | Guinea-Bissau | 17,639.00 | 2010 est. |
| 292 | Gabon | 17,638.00 | 2010 est. |
| 293 | Gabon | 17,614.00 | 2010 est. |
| 294 | Kuwait | 16,232.00 | 2010 est. |
| 295 | Swaziland | 16,168.00 | 2010 est. |
| 296 | Macedonia | 16,144.00 | 2010 est. |
| 297 | Swaziland | 15,763.00 | 2010 est. |
| 298 | Macedonia | 14,920.00 | 2010 est. |
| 299 | Timor-Leste | 12,737.00 | 2010 est. |
| 300 | Timor-Leste | 12,389.00 | 2010 est. |
| 301 | Latvia | 10,482.00 | 2010 est. |
| 302 | Mauritius | 10,193.00 | 2010 est. |
| 303 | Mauritius | 10,104.00 | 2010 est. |
| 304 | Latvia | 9,858.00 | 2010 est. |
| 305 | Slovenia | 9,818.00 | 2010 est. |
| 306 | Slovenia | 9,395.00 | 2010 est. |
| 307 | Bahrain | 8,988.00 | 2010 est. |
| 308 | Guyana | 8,849.00 | 2010 est. |
| 309 | Comoros | 8,831.00 | 2010 est. |
| 310 | Comoros | 8,809.00 | 2010 est. |
| 311 | Djibouti | 8,602.00 | 2010 est. |
| 312 | Guyana | 8,460.00 | 2010 est. |
| 313 | Fiji | 8,403.00 | 2010 est. |
| 314 | Djibouti | 8,360.00 | 2010 est. |
| 315 | Cyprus | 8,167.00 | 2010 est. |
| 316 | Trinidad and Tobago | 8,164.00 | 2010 est. |
| 317 | Bahrain | 8,117.00 | 2010 est. |
| 318 | Fiji | 8,039.00 | 2010 est. |
| 319 | Trinidad and Tobago | 7,503.00 | 2010 est. |
| 320 | Cyprus | 7,398.00 | 2010 est. |
| 321 | Equatorial Guinea | 7,398.00 | 2010 est. |
| 322 | Bhutan | 7,363.00 | 2010 est. |
| 323 | Equatorial Guinea | 7,126.00 | 2010 est. |
| 324 | Bhutan | 7,095.00 | 2010 est. |
| 325 | Estonia | 6,668.00 | 2010 est. |
| 326 | Solomon Islands | 6,483.00 | 2010 est. |
| 327 | Qatar | 6,429.00 | 2010 est. |
| 328 | Estonia | 6,309.00 | 2010 est. |
| 329 | Solomon Islands | 6,098.00 | 2010 est. |
| 330 | Cabo Verde | 6,029.00 | 2010 est. |
| 331 | Cabo Verde | 6,026.00 | 2010 est. |
| 332 | Western Sahara | 5,523.00 | 2010 est. |
| 333 | Western Sahara | 5,429.00 | 2010 est. |
| 334 | Qatar | 5,162.00 | 2010 est. |
| 335 | Macau | 4,274.00 | 2010 est. |
| 336 | Maldives | 4,167.00 | 2010 est. |
| 337 | Suriname | 4,119.00 | 2010 est. |
| 338 | Suriname | 4,106.00 | 2010 est. |
| 339 | Belize | 3,723.00 | 2010 est. |
| 340 | Montenegro | 3,677.00 | 2010 est. |
| 341 | Macau | 3,674.00 | 2010 est. |
| 342 | Maldives | 3,595.00 | 2010 est. |
| 343 | Belize | 3,584.00 | 2010 est. |
| 344 | Brunei | 3,572.00 | 2010 est. |
| 345 | Brunei | 3,465.00 | 2010 est. |
| 346 | Luxembourg | 3,263.00 | 2010 est. |
| 347 | Montenegro | 3,120.00 | 2010 est. |
| 348 | Luxembourg | 3,084.00 | 2010 est. |
| 349 | Bahamas, The | 2,829.00 | 2010 est. |
| 350 | Bahamas, The | 2,750.00 | 2010 est. |
| 351 | Malta | 2,554.00 | 2010 est. |
| 352 | French Polynesia | 2,498.00 | 2010 est. |
| 353 | French Polynesia | 2,390.00 | 2010 est. |
| 354 | Malta | 2,385.00 | 2010 est. |
| 355 | Vanuatu | 2,323.00 | 2010 est. |
| 356 | Iceland | 2,277.00 | 2010 est. |
| 357 | New Caledonia | 2,272.00 | 2010 est. |
| 358 | Vanuatu | 2,230.00 | 2010 est. |
| 359 | Samoa | 2,221.00 | 2010 est. |
| 360 | Iceland | 2,200.00 | 2010 est. |
| 361 | New Caledonia | 2,167.00 | 2010 est. |
| 362 | Sao Tome and Principe | 2,076.00 | 2010 est. |
| 363 | Samoa | 2,062.00 | 2010 est. |
| 364 | Sao Tome and Principe | 2,003.00 | 2010 est. |
| 365 | Barbados | 1,849.00 | 2010 est. |
| 366 | Barbados | 1,842.00 | 2010 est. |
| 367 | Guam | 1,701.00 | 2010 est. |
| 368 | Guam | 1,608.00 | 2010 est. |
| 369 | Saint Lucia | 1,574.00 | 2010 est. |
| 370 | Saint Lucia | 1,502.00 | 2010 est. |
| 371 | Micronesia, Federated States of | 1,276.00 | 2010 est. |
| 372 | Micronesia, Federated States of | 1,253.00 | 2010 est. |
| 373 | Tonga | 1,196.00 | 2010 est. |
| 374 | Tonga | 1,134.00 | 2010 est. |
| 375 | Kiribati | 1,132.00 | 2010 est. |
| 376 | Kiribati | 1,120.00 | 2010 est. |
| 377 | Grenada | 1,002.00 | 2010 est. |
| 378 | Grenada | 995.00 | 2010 est. |
| 379 | Saint Vincent and the Grenadines | 964.00 | 2010 est. |
| 380 | Saint Vincent and the Grenadines | 953.00 | 2010 est. |
| 381 | Antigua and Barbuda | 806.00 | 2010 est. |
| 382 | Antigua and Barbuda | 799.00 | 2010 est. |
| 383 | Virgin Islands | 788.00 | 2010 est. |
| 384 | American Samoa | 775.00 | 2010 est. |
| 385 | Aruba | 767.00 | 2010 est. |
| 386 | American Samoa | 762.00 | 2010 est. |
| 387 | Virgin Islands | 744.00 | 2010 est. |
| 388 | Aruba | 743.00 | 2010 est. |
| 389 | Seychelles | 686.00 | 2010 est. |
| 390 | Dominica | 675.00 | 2010 est. |
| 391 | Jersey | 664.00 | 2010 est. |
| 392 | Marshall Islands | 653.00 | 2010 est. |
| 393 | Seychelles | 650.00 | 2010 est. |
| 394 | Dominica | 636.00 | 2010 est. |
| 395 | Marshall Islands | 631.00 | 2010 est. |
| 396 | Jersey | 590.00 | 2010 est. |
| 397 | Isle of Man | 507.00 | 2010 est. |
| 398 | Isle of Man | 494.00 | 2010 est. |
| 399 | Greenland | 488.00 | 2010 est. |
| 400 | Greenland | 478.00 | 2010 est. |
| 401 | Bermuda | 433.00 | 2010 est. |
| 402 | Saint Kitts and Nevis | 422.00 | 2010 est. |
| 403 | Northern Mariana Islands | 410.00 | 2010 est. |
| 404 | Bermuda | 410.00 | 2010 est. |
| 405 | Andorra | 397.00 | 2010 est. |
| 406 | Saint Kitts and Nevis | 380.00 | 2010 est. |
| 407 | Faroe Islands | 373.00 | 2010 est. |
| 408 | Faroe Islands | 372.00 | 2010 est. |
| 409 | Guernsey | 354.00 | 2010 est. |
| 410 | Andorra | 347.00 | 2010 est. |
| 411 | Cayman Islands | 342.00 | 2010 est. |
| 412 | Turks and Caicos Islands | 342.00 | 2010 est. |
| 413 | Guernsey | 342.00 | 2010 est. |
| 414 | Turks and Caicos Islands | 338.00 | 2010 est. |
| 415 | Cayman Islands | 333.00 | 2010 est. |
| 416 | Northern Mariana Islands | 306.00 | 2010 est. |
| 417 | Gibraltar | 228.00 | 2010 est. |
| 418 | Palau | 222.00 | 2010 est. |
| 419 | Gibraltar | 220.00 | 2010 est. |
| 420 | Liechtenstein | 219.00 | 2010 est. |
| 421 | Palau | 216.00 | 2010 est. |
| 422 | Liechtenstein | 211.00 | 2010 est. |
| 423 | San Marino | 186.00 | 2010 est. |
| 424 | Saint Martin | 168.00 | 2010 est. |
| 425 | British Virgin Islands | 168.00 | 2010 est. |
| 426 | Saint Martin | 168.00 | 2010 est. |
| 427 | Wallis and Futuna | 168.00 | 2010 est. |
| 428 | San Marino | 166.00 | 2010 est. |
| 429 | British Virgin Islands | 162.00 | 2010 est. |
| 430 | Monaco | 153.00 | 2010 est. |
| 431 | Monaco | 141.00 | 2010 est. |
| 432 | Wallis and Futuna | 139.00 | 2010 est. |
| 433 | Cook Islands | 127.00 | 2010 est. |
| 434 | Tuvalu | 119.00 | 2010 est. |
| 435 | Anguilla | 113.00 | 2010 est. |
| 436 | Tuvalu | 111.00 | 2010 est. |
| 437 | Anguilla | 111.00 | 2010 est. |
| 438 | Cook Islands | 107.00 | 2010 est. |
| 439 | Nauru | 78.00 | 2010 est. |
| 440 | Nauru | 74.00 | 2010 est. |
| 441 | Saint Helena, Ascension, and Tristan da Cunha | 49.00 | 2010 est. |
| 442 | Saint Helena, Ascension, and Tristan da Cunha | 48.00 | 2010 est. |
| 443 | Montserrat | 35.00 | 2010 est. |
| 444 | Saint Pierre and Miquelon | 34.00 | 2010 est. |
| 445 | Montserrat | 34.00 | 2010 est. |
| 446 | Saint Pierre and Miquelon | 32.00 | 2010 est. |
| 447 | Saint Barthelemy | 23.00 | 2010 est. |
| 448 | Saint Barthelemy | 21.00 | 2010 est. |


