CIA - The World Factbook --  Sanitation facility access   

| Rank | country | (% of population) | Date of Information |
| 174 | Macedonia | 97.20 | 2012 est. |
| 175 | Turkey | 97.20 | 2012 est. |
| 176 | Argentina | 97.10 | 2012 est. |
| 177 | Seychelles | 97.10 | 2012 est. |
| 178 | Seychelles | 97.10 | 2012 est. |
| 179 | Seychelles | 97.10 | 2012 est. |
| 180 | French Polynesia | 97.10 | 2012 est. |
| 181 | French Polynesia | 97.10 | 2012 est. |
| 182 | French Polynesia | 97.10 | 2012 est. |
| 183 | Kazakhstan | 97.00 | 2012 est. |
| 184 | Libya | 96.80 | 2012 est. |
| 185 | Libya | 96.60 | 2012 est. |
| 186 | Oman | 96.60 | 2012 est. |
| 187 | Eritrea | 96.50 | 2008 est. |
| 188 | Uruguay | 96.50 | 2012 est. |
| 189 | Ukraine | 96.50 | 2012 est. |
| 190 | Virgin Islands | 96.40 | 2012 est. |
| 191 | Virgin Islands | 96.40 | 2012 est. |
| 192 | Uruguay | 96.40 | 2012 est. |
| 193 | Virgin Islands | 96.40 | 2012 est. |
| 194 | Syria | 96.20 | 2012 est. |
| 195 | Niger | 96.20 | 2012 est. |
| 196 | Cayman Islands | 96.20 | 2012 est. |
| 197 | Cayman Islands | 96.20 | 2012 est. |
| 198 | Malaysia | 96.10 | 2012 est. |
| 199 | Paraguay | 96.10 | 2012 est. |
| 200 | Wallis and Futuna | 96.00 | 2008 est. |
| 201 | Wallis and Futuna | 96.00 | 2008 est. |
| 202 | Thailand | 95.90 | 2012 est. |
| 203 | Armenia | 95.90 | 2012 est. |
| 204 | Egypt | 95.90 | 2012 est. |
| 205 | Estonia | 95.80 | 2012 est. |
| 206 | Uruguay | 95.80 | 2012 est. |
| 207 | Libya | 95.70 | 2012 est. |
| 208 | Syria | 95.70 | 2012 est. |
| 209 | Poland | 95.70 | 2008 est. |
| 210 | Malaysia | 95.70 | 2012 est. |
| 211 | Serbia | 95.70 | 2012 est. |
| 212 | Georgia | 95.50 | 2012 est. |
| 213 | Bosnia and Herzegovina | 95.40 | 2012 est. |
| 214 | Albania | 95.30 | 2012 est. |
| 215 | Belarus | 95.30 | 2012 est. |
| 216 | Estonia | 95.20 | 2012 est. |
| 217 | United Arab Emirates | 95.20 | 2012 est. |
| 218 | Algeria | 95.20 | 2012 est. |
| 219 | Syria | 95.10 | 2012 est. |
| 220 | Benin | 94.90 | 2012 est. |
| 221 | Costa Rica | 94.90 | 2012 est. |
| 222 | West Bank | 94.80 | 2012 est. |
| 223 | Gaza Strip | 94.80 | 2012 est. |
| 224 | Oman | 94.70 | 2012 est. |
| 225 | Tajikistan | 94.60 | 2012 est. |
| 226 | Malaysia | 94.60 | 2012 est. |
| 227 | Tajikistan | 94.40 | 2012 est. |
| 228 | Egypt | 94.40 | 2012 est. |
| 229 | Congo, Republic of the | 94.40 | 2012 est. |
| 230 | Lithuania | 94.30 | 2012 est. |
| 231 | Belarus | 94.30 | 2012 est. |
| 232 | Ukraine | 94.30 | 2012 est. |
| 233 | Gaza Strip | 94.30 | 2012 est. |
| 234 | West Bank | 94.30 | 2012 est. |
| 235 | Belize | 94.20 | 2012 est. |
| 236 | Liberia | 94.10 | 2012 est. |
| 237 | Cuba | 94.00 | 2012 est. |
| 238 | Belarus | 94.00 | 2012 est. |
| 239 | Costa Rica | 93.90 | 2012 est. |
| 240 | Sri Lanka | 93.90 | 2012 est. |
| 241 | Estonia | 93.80 | 2012 est. |
| 242 | Somalia | 93.70 | 2011 est. |
| 243 | Tajikistan | 93.60 | 2012 est. |
| 244 | Venezuela | 93.60 | 2007 est. |
| 245 | Chad | 93.50 | 2012 est. |
| 246 | Thailand | 93.40 | 2012 est. |
| 247 | Georgia | 93.30 | 2012 est. |
| 248 | Burkina Faso | 93.30 | 2012 est. |
| 249 | Samoa | 93.30 | 2012 est. |
| 250 | Sierra Leone | 93.20 | 2012 est. |
| 251 | Vietnam | 93.10 | 2012 est. |
| 252 | Tokelau | 92.90 | 2012 est. |
| 253 | Tokelau | 92.90 | 2012 est. |
| 254 | Iran | 92.80 | 2012 est. |
| 255 | Central African Republic | 92.80 | 2012 est. |
| 256 | West Bank | 92.80 | 2012 est. |
| 257 | Gaza Strip | 92.80 | 2012 est. |
| 258 | South Sudan | 92.70 | 2012 est. |
| 259 | Cuba | 92.60 | 2012 est. |
| 260 | Yemen | 92.50 | 2012 est. |
| 261 | Tanzania | 92.50 | 2012 est. |
| 262 | Sri Lanka | 92.30 | 2012 est. |
| 263 | Equatorial Guinea | 92.20 | 2006 est. |
| 264 | Fiji | 92.10 | 2012 est. |
| 265 | Trinidad and Tobago | 92.10 | 2012 est. |
| 266 | Trinidad and Tobago | 92.10 | 2012 est. |
| 267 | Bosnia and Herzegovina | 92.10 | 2012 est. |
| 268 | Trinidad and Tobago | 92.10 | 2012 est. |
| 269 | Malawi | 92.00 | 2012 est. |
| 270 | Bahamas, The | 92.00 | 2012 est. |
| 271 | Bahamas, The | 92.00 | 2012 est. |
| 272 | Bahamas, The | 92.00 | 2012 est. |
| 273 | Costa Rica | 92.00 | 2012 est. |
| 274 | Montenegro | 91.90 | 2012 est. |
| 275 | Kyrgyzstan | 91.90 | 2012 est. |
| 276 | Kyrgyzstan | 91.80 | 2012 est. |
| 277 | Kyrgyzstan | 91.70 | 2012 est. |
| 278 | Mauritius | 91.70 | 2012 est. |
| 279 | Samoa | 91.60 | 2012 est. |
| 280 | Ghana | 91.60 | 2012 est. |
| 281 | Barbados | 91.60 | 2006 est. |
| 282 | Barbados | 91.60 | 2006 est. |
| 283 | Barbados | 91.60 | 2006 est. |
| 284 | Guinea-Bissau | 91.50 | 2012 est. |
| 285 | Macedonia | 91.40 | 2012 est. |
| 286 | Antigua and Barbuda | 91.40 | 2011 est. |
| 287 | Antigua and Barbuda | 91.40 | 2011 est. |
| 288 | Antigua and Barbuda | 91.40 | 2011 est. |
| 289 | Tonga | 91.30 | 2012 est. |
| 290 | Turkey | 91.20 | 2012 est. |
| 291 | Albania | 91.20 | 2012 est. |
| 292 | Samoa | 91.10 | 2012 est. |
| 293 | South Sudan | 91.10 | 2012 est. |
| 294 | Niger | 91.00 | 2012 est. |
| 295 | Venezuela | 90.90 | 2007 est. |
| 296 | Mauritius | 90.80 | 2012 est. |
| 297 | Mauritania | 90.80 | 2012 est. |
| 298 | Georgia | 90.70 | 2012 est. |
| 299 | Belize | 90.50 | 2012 est. |
| 300 | Armenia | 90.50 | 2012 est. |
| 301 | Laos | 90.40 | 2012 est. |
| 302 | Tunisia | 90.40 | 2012 est. |
| 303 | Mauritius | 90.10 | 2012 est. |
| 304 | Montenegro | 90.00 | 2012 est. |
| 305 | Cote d'Ivoire | 90.00 | 2012 est. |
| 306 | Guam | 89.80 | 2012 est. |
| 307 | Guam | 89.80 | 2012 est. |
| 308 | Guam | 89.80 | 2012 est. |
| 309 | Malawi | 89.70 | 2012 est. |
| 310 | Poland | 89.50 | 2008 est. |
| 311 | Ukraine | 89.40 | 2012 est. |
| 312 | Iran | 89.40 | 2012 est. |
| 313 | Chile | 89.30 | 2012 est. |
| 314 | Mozambique | 89.30 | 2012 est. |
| 315 | Moldova | 89.20 | 2012 est. |
| 316 | Equatorial Guinea | 88.90 | 2006 est. |
| 317 | Tonga | 88.90 | 2012 est. |
| 318 | Guinea | 88.80 | 2012 est. |
| 319 | Togo | 88.70 | 2012 est. |
| 320 | Thailand | 88.70 | 2012 est. |
| 321 | Madagascar | 88.70 | 2012 est. |
| 322 | Algeria | 88.40 | 2012 est. |
| 323 | Suriname | 88.40 | 2012 est. |
| 324 | Guatemala | 88.40 | 2012 est. |
| 325 | Cuba | 88.20 | 2012 est. |
| 326 | Chad | 88.10 | 2012 est. |
| 327 | Korea, North | 87.90 | 2012 est. |
| 328 | Guyana | 87.90 | 2012 est. |
| 329 | Romania | 87.90 | 2008 est. |
| 330 | Tanzania | 87.80 | 2012 est. |
| 331 | Belize | 87.60 | 2012 est. |
| 332 | Saint Kitts and Nevis | 87.30 | 2007 est. |
| 333 | Saint Kitts and Nevis | 87.30 | 2007 est. |
| 334 | Saint Kitts and Nevis | 87.30 | 2007 est. |
| 335 | Fiji | 87.20 | 2012 est. |
| 336 | Mexico | 87.00 | 2012 est. |
| 337 | Brazil | 87.00 | 2012 est. |
| 338 | Sierra Leone | 87.00 | 2012 est. |
| 339 | Lebanon | 87.00 | 2005 est. |
| 340 | Montenegro | 86.80 | 2012 est. |
| 341 | Eritrea | 86.80 | 2008 est. |
| 342 | Equatorial Guinea | 86.80 | 2006 est. |
| 343 | Angola | 86.80 | 2012 est. |
| 344 | Moldova | 86.70 | 2012 est. |
| 345 | Papua New Guinea | 86.70 | 2012 est. |
| 346 | Sudan | 86.60 | 2012 est. |
| 347 | Ecuador | 86.50 | 2012 est. |
| 348 | Albania | 86.30 | 2012 est. |
| 349 | Tuvalu | 86.30 | 2012 est. |
| 350 | Iraq | 86.20 | 2012 est. |
| 351 | Madagascar | 86.10 | 2012 est. |
| 352 | Azerbaijan | 85.90 | 2012 est. |
| 353 | Benin | 85.70 | 2012 est. |
| 354 | Ghana | 85.60 | 2012 est. |
| 355 | Dominican Republic | 85.50 | 2012 est. |
| 356 | Mali | 85.50 | 2012 est. |
| 357 | Lithuania | 85.40 | 2012 est. |
| 358 | Congo, Republic of the | 85.40 | 2012 est. |
| 359 | Mexico | 85.30 | 2012 est. |
| 360 | Honduras | 85.30 | 2012 est. |
| 361 | Micronesia, Federated States of | 85.10 | 2012 est. |
| 362 | Solomon Islands | 85.00 | 2012 est. |
| 363 | Colombia | 84.90 | 2012 est. |
| 364 | Iraq | 84.70 | 2012 est. |
| 365 | Morocco | 84.50 | 2012 est. |
| 366 | Moldova | 84.40 | 2012 est. |
| 367 | Burma | 84.30 | 2012 est. |
| 368 | South Sudan | 84.30 | 2012 est. |
| 369 | Dominica | 84.30 | 2007 est. |
| 370 | Marshall Islands | 84.20 | 2012 est. |
| 371 | Haiti | 83.70 | 2012 est. |
| 372 | Guyana | 83.60 | 2012 est. |
| 373 | Tuvalu | 83.30 | 2012 est. |
| 374 | Liberia | 83.20 | 2012 est. |
| 375 | Namibia | 83.10 | 2012 est. |
| 376 | Ecuador | 83.10 | 2012 est. |
| 377 | Sri Lanka | 82.90 | 2012 est. |
| 378 | Montserrat | 82.90 | 2007 est. |
| 379 | Montserrat | 82.90 | 2007 est. |
| 380 | Montserrat | 82.90 | 2007 est. |
| 381 | Macedonia | 82.80 | 2012 est. |
| 382 | Jamaica | 82.20 | 2012 est. |
| 383 | Latvia | 82.10 | 2009 est. |
| 384 | Guyana | 82.00 | 2012 est. |
| 385 | Dominican Republic | 82.00 | 2012 est. |
| 386 | Azerbaijan | 82.00 | 2012 est. |
| 387 | Korea, North | 81.80 | 2012 est. |
| 388 | Iraq | 81.80 | 2012 est. |
| 389 | Fiji | 81.70 | 2012 est. |
| 390 | South Africa | 81.70 | 2012 est. |
| 391 | Cambodia | 81.60 | 2012 est. |
| 392 | Iran | 81.60 | 2012 est. |
| 393 | Burkina Faso | 81.40 | 2012 est. |
| 394 | Turks and Caicos Islands | 81.40 | 2007 est. |
| 395 | Turks and Caicos Islands | 81.40 | 2007 est. |
| 396 | Turks and Caicos Islands | 81.40 | 2007 est. |
| 397 | Solomon Islands | 81.40 | 2012 est. |
| 398 | Brazil | 81.30 | 2012 est. |
| 399 | Papua New Guinea | 81.30 | 2012 est. |
| 400 | Peru | 81.20 | 2012 est. |
| 401 | Dominica | 81.10 | 2007 est. |
| 402 | Guinea | 81.10 | 2012 est. |
| 403 | Armenia | 80.90 | 2012 est. |
| 404 | Madagascar | 80.80 | 2012 est. |
| 405 | Congo, Republic of the | 80.40 | 2012 est. |
| 406 | Guinea-Bissau | 80.30 | 2012 est. |
| 407 | Suriname | 80.30 | 2012 est. |
| 408 | Guatemala | 80.30 | 2012 est. |
| 409 | Jamaica | 80.20 | 2012 est. |
| 410 | Tuvalu | 80.20 | 2012 est. |
| 411 | Colombia | 80.20 | 2012 est. |
| 412 | Ghana | 80.10 | 2012 est. |
| 413 | Honduras | 80.00 | 2012 est. |
| 414 | Angola | 79.90 | 2012 est. |
| 415 | Northern Mariana Islands | 79.70 | 2012 est. |
| 416 | Paraguay | 79.70 | 2012 est. |
| 417 | Poland | 79.70 | 2008 est. |
| 418 | Panama | 79.70 | 2012 est. |
| 419 | Northern Mariana Islands | 79.70 | 2012 est. |
| 420 | Northern Mariana Islands | 79.70 | 2012 est. |
| 421 | Dominica | 79.60 | 2007 est. |
| 422 | El Salvador | 79.50 | 2012 est. |
| 423 | Philippines | 79.40 | 2012 est. |
| 424 | Mozambique | 79.00 | 2012 est. |
| 425 | Mexico | 79.00 | 2012 est. |
| 426 | Latvia | 78.60 | 2009 est. |
| 427 | Central African Republic | 78.50 | 2012 est. |
| 428 | Djibouti | 78.40 | 2012 est. |
| 429 | Jamaica | 78.40 | 2012 est. |
| 430 | Mali | 78.10 | 2012 est. |
| 431 | Cote d'Ivoire | 78.10 | 2012 est. |
| 432 | Botswana | 77.90 | 2012 est. |
| 433 | Malawi | 77.70 | 2012 est. |
| 434 | Sierra Leone | 77.50 | 2012 est. |
| 435 | Azerbaijan | 77.50 | 2012 est. |
| 436 | Burma | 77.40 | 2012 est. |
| 437 | Ethiopia | 77.20 | 2012 est. |
| 438 | Sao Tome and Principe | 76.70 | 2012 est. |
| 439 | Tunisia | 76.60 | 2012 est. |
| 440 | Afghanistan | 76.60 | 2012 est. |
| 441 | Ethiopia | 76.40 | 2012 est. |
| 442 | Sudan | 76.40 | 2012 est. |
| 443 | Somalia | 76.40 | 2011 est. |
| 444 | Bolivia | 76.30 | 2012 est. |
| 445 | Marshall Islands | 76.20 | 2012 est. |
| 446 | Saint Vincent and the Grenadines | 76.10 | 2007 est. |
| 447 | Saint Vincent and the Grenadines | 76.10 | 2007 est. |
| 448 | Saint Vincent and the Grenadines | 76.10 | 2007 est. |
| 449 | Ecuador | 75.90 | 2012 est. |
| 450 | Haiti | 75.60 | 2012 est. |
| 451 | Turkey | 75.50 | 2012 est. |
| 452 | Morocco | 75.40 | 2012 est. |
| 453 | India | 75.30 | 2012 est. |
| 454 | Nigeria | 75.30 | 2012 est. |
| 455 | Cabo Verde | 75.20 | 2012 est. |
| 456 | Tanzania | 75.10 | 2012 est. |
| 457 | Vietnam | 75.00 | 2012 est. |
| 458 | Benin | 74.70 | 2012 est. |
| 459 | Togo | 74.50 | 2012 est. |
| 460 | Bhutan | 74.50 | 2012 est. |
| 461 | Cambodia | 74.50 | 2012 est. |
| 462 | Russia | 74.40 | 2012 est. |
| 463 | South Africa | 74.40 | 2012 est. |
| 464 | Philippines | 74.30 | 2012 est. |
| 465 | China | 74.10 | 2012 est. |
| 466 | Honduras | 74.00 | 2012 est. |
| 467 | Burma | 73.90 | 2012 est. |
| 468 | Dominican Republic | 73.80 | 2012 est. |
| 469 | Mauritania | 73.30 | 2012 est. |
| 470 | Lesotho | 73.30 | 2012 est. |
| 471 | Cameroon | 73.20 | 2012 est. |
| 472 | Timor-Leste | 73.20 | 2012 est. |
| 473 | Panama | 73.20 | 2012 est. |
| 474 | Peru | 73.10 | 2012 est. |
| 475 | Djibouti | 73.10 | 2012 est. |
| 476 | Ethiopia | 72.60 | 2012 est. |
| 477 | Korea, North | 72.50 | 2012 est. |
| 478 | Nigeria | 72.20 | 2012 est. |
| 479 | Guatemala | 72.10 | 2012 est. |
| 480 | Romania | 72.10 | 2008 est. |
| 481 | Pakistan | 71.80 | 2012 est. |
| 482 | Liberia | 71.60 | 2012 est. |
| 483 | Indonesia | 71.40 | 2012 est. |
| 484 | Solomon Islands | 71.20 | 2012 est. |
| 485 | Latvia | 71.10 | 2009 est. |
| 486 | Afghanistan | 71.00 | 2012 est. |
| 487 | Kenya | 70.90 | 2012 est. |
| 488 | Congo, Democratic Republic of the | 70.90 | 2012 est. |
| 489 | El Salvador | 70.50 | 2012 est. |
| 490 | Russia | 70.50 | 2012 est. |
| 491 | Lesotho | 70.40 | 2012 est. |
| 492 | Kenya | 70.40 | 2012 est. |
| 493 | Saint Lucia | 70.40 | 2011 est. |
| 494 | Comoros | 70.30 | 2010 est. |
| 495 | Philippines | 69.40 | 2012 est. |
| 496 | Kiribati | 69.40 | 2012 est. |
| 497 | Nigeria | 69.20 | 2012 est. |
| 498 | Haiti | 69.00 | 2012 est. |
| 499 | Timor-Leste | 69.00 | 2012 est. |
| 500 | Bhutan | 68.90 | 2012 est. |
| 501 | Kenya | 68.70 | 2012 est. |
| 502 | Congo, Democratic Republic of the | 68.60 | 2012 est. |
| 503 | Chad | 68.60 | 2012 est. |
| 504 | Gabon | 68.00 | 2012 est. |
| 505 | Namibia | 67.80 | 2012 est. |
| 506 | Zimbabwe | 67.60 | 2012 est. |
| 507 | Congo, Democratic Republic of the | 67.40 | 2012 est. |
| 508 | Guinea | 67.30 | 2012 est. |
| 509 | Cote d'Ivoire | 67.30 | 2012 est. |
| 510 | Uganda | 67.20 | 2012 est. |
| 511 | Niger | 67.10 | 2012 est. |
| 512 | Senegal | 67.10 | 2012 est. |
| 513 | Vietnam | 66.60 | 2012 est. |
| 514 | Guinea-Bissau | 66.50 | 2012 est. |
| 515 | Pakistan | 66.40 | 2012 est. |
| 516 | Nepal | 66.30 | 2012 est. |
| 517 | Uganda | 66.10 | 2012 est. |
| 518 | Zambia | 66.10 | 2012 est. |
| 519 | Yemen | 65.90 | 2012 est. |
| 520 | Uganda | 65.90 | 2012 est. |
| 521 | Colombia | 65.70 | 2012 est. |
| 522 | Sao Tome and Principe | 65.60 | 2012 est. |
| 523 | Nauru | 65.60 | 2012 est. |
| 524 | Nauru | 65.60 | 2012 est. |
| 525 | Mongolia | 65.30 | 2012 est. |
| 526 | China | 65.30 | 2012 est. |
| 527 | Saint Lucia | 65.20 | 2011 est. |
| 528 | Vanuatu | 65.10 | 2012 est. |
| 529 | Cabo Verde | 64.90 | 2012 est. |
| 530 | Mali | 64.70 | 2012 est. |
| 531 | Mongolia | 64.60 | 2012 est. |
| 532 | Laos | 64.60 | 2012 est. |
| 533 | Comoros | 64.60 | 2010 est. |
| 534 | Rwanda | 64.40 | 2012 est. |
| 535 | Botswana | 64.30 | 2012 est. |
| 536 | Saint Lucia | 64.10 | 2011 est. |
| 537 | Gambia, The | 64.00 | 2012 est. |
| 538 | India | 64.00 | 2012 est. |
| 539 | Rwanda | 63.80 | 2012 est. |
| 540 | Nepal | 63.30 | 2012 est. |
| 541 | Nicaragua | 63.20 | 2012 est. |
| 542 | Cambodia | 63.20 | 2012 est. |
| 543 | Morocco | 63.10 | 2012 est. |
| 544 | Swaziland | 63.10 | 2012 est. |
| 545 | Nicaragua | 63.00 | 2012 est. |
| 546 | Lesotho | 63.00 | 2012 est. |
| 547 | American Samoa | 62.50 | 2012 est. |
| 548 | American Samoa | 62.50 | 2012 est. |
| 549 | American Samoa | 62.50 | 2012 est. |
| 550 | South Africa | 62.40 | 2012 est. |
| 551 | Cameroon | 61.70 | 2012 est. |
| 552 | Suriname | 61.40 | 2012 est. |
| 553 | Djibouti | 61.40 | 2012 est. |
| 554 | Timor-Leste | 61.10 | 2012 est. |
| 555 | Rwanda | 61.00 | 2012 est. |
