CIA - The World Factbook --  Freshwater withdrawal (domestic/industrial/agricultural)   

| Rank | country | () | Date of Information |
| 236 | Belarus | 4.34 | 2009 |
| 237 | Libya | 4.33 | 2000 |
| 238 | Zimbabwe | 4.21 | 2002 |
| 239 | United Arab Emirates | 3.99 | 2005 |
| 240 | Austria | 3.66 | 2008 |
| 241 | Uruguay | 3.66 | 2000 |
| 242 | Yemen | 3.57 | 2005 |
| 243 | Laos | 3.49 | 2005 |
| 244 | Guatemala | 3.46 | 2006 |
| 245 | Somalia | 3.30 | 2003 |
| 246 | Norway | 2.94 | 2006 |
| 247 | Armenia | 2.86 | 2010 |
| 248 | Tunisia | 2.85 | 2001 |
| 249 | Kenya | 2.74 | 2003 |
| 250 | Bolivia | 2.64 | 2005 |
| 251 | Sweden | 2.62 | 2007 |
| 252 | Switzerland | 2.61 | 2010 |
| 253 | Lithuania | 2.38 | 2009 |
| 254 | Senegal | 2.22 | 2002 |
| 255 | Cambodia | 2.18 | 2006 |
| 256 | Honduras | 2.12 | 2006 |
| 257 | Israel | 1.95 | 2009 |
| 258 | El Salvador | 1.84 | 2007 |
| 259 | Georgia | 1.81 | 2005 |
| 260 | Estonia | 1.80 | 2009 |
| 261 | Czech Republic | 1.70 | 2009 |
| 262 | Guyana | 1.64 | 2010 |
| 263 | Finland | 1.63 | 2005 |
| 264 | Zambia | 1.57 | 2002 |
| 265 | Cote d'Ivoire | 1.55 | 2008 |
| 266 | Nicaragua | 1.39 | 2008 |
| 267 | Malawi | 1.36 | 2005 |
| 268 | Mauritania | 1.35 | 2005 |
| 269 | Oman | 1.32 | 2003 |
| 270 | Lebanon | 1.31 | 2005 |
| 271 | Albania | 1.31 | 2006 |
| 272 | Haiti | 1.20 | 2009 |
| 273 | Moldova | 1.07 | 2010 |
| 274 | Swaziland | 1.04 | 2005 |
| 275 | Macedonia | 1.03 | 2007 |
| 276 | Niger | 0.98 | 2005 |
| 277 | Ghana | 0.98 | 2000 |
| 278 | Cameroon | 0.97 | 2005 |
| 279 | Slovenia | 0.94 | 2009 |
| 280 | Jordan | 0.94 | 2005 |
| 281 | Jamaica | 0.93 | 2009 |
| 282 | Panama | 0.91 | 2005 |
| 283 | Kuwait | 0.91 | 2005 |
| 284 | Chad | 0.88 | 2005 |
| 285 | Mozambique | 0.88 | 2005 |
| 286 | Ireland | 0.79 | 2007 |
| 287 | Mauritius | 0.73 | 2003 |
| 288 | Burkina Faso | 0.72 | 2005 |
| 289 | Angola | 0.71 | 2005 |
| 290 | Slovakia | 0.69 | 2010 |
| 291 | Congo, Democratic Republic of the | 0.68 | 2005 |
| 292 | Suriname | 0.67 | 2006 |
| 293 | Denmark | 0.66 | 2009 |
| 294 | Eritrea | 0.58 | 2004 |
| 295 | Guinea | 0.55 | 2005 |
| 296 | Mongolia | 0.55 | 2009 |
| 297 | Paraguay | 0.49 | 2000 |
| 298 | Qatar | 0.44 | 2005 |
| 299 | Latvia | 0.42 | 2007 |
| 300 | Papua New Guinea | 0.39 | 2005 |
| 301 | Bahrain | 0.36 | 2003 |
| 302 | Bhutan | 0.34 | 2008 |
| 303 | Uganda | 0.32 | 2005 |
| 304 | Burundi | 0.29 | 2005 |
| 305 | Namibia | 0.29 | 2002 |
| 306 | Trinidad and Tobago | 0.23 | 2005 |
| 307 | Belize | 0.22 | 2000 |
| 308 | Sierra Leone | 0.21 | 2005 |
| 309 | Singapore | 0.19 | 2005 |
| 310 | Botswana | 0.19 | 2005 |
| 311 | Guinea-Bissau | 0.18 | 2005 |
| 312 | Cyprus | 0.18 | 2009 |
| 313 | Togo | 0.17 | 2005 |
| 314 | Iceland | 0.17 | 2005 |
| 315 | Rwanda | 0.15 | 2005 |
| 316 | Gabon | 0.14 | 2005 |
| 317 | Benin | 0.13 | 2001 |
| 318 | Liberia | 0.13 | 2005 |
| 319 | Barbados | 0.10 | 2009 |
| 320 | Gambia, The | 0.09 | 2005 |
| 321 | Brunei | 0.09 | 2009 |
| 322 | Fiji | 0.08 | 2005 |
| 323 | Central African Republic | 0.07 | 2005 |
| 324 | Luxembourg | 0.06 | 2010 |
| 325 | Congo, Republic of the | 0.05 | 2005 |
| 326 | Malta | 0.05 | 2009 |
| 327 | Lesotho | 0.04 | 2000 |
| 328 | Equatorial Guinea | 0.02 | 2005 |
| 329 | Dominica | 0.02 | 2004 |
| 330 | Djibouti | 0.02 | 2000 |
| 331 | Cabo Verde | 0.02 | 2004 |
| 332 | Saint Lucia | 0.02 | 2005 |
| 333 | Maldives | 0.01 | 2008 |
| 334 | Antigua and Barbuda | 0.01 | 2005 |
| 335 | Comoros | 0.01 | 1999 |
| 336 | Saint Vincent and the Grenadines | 0.01 | 1995 |


