CIA - The World Factbook --  Electricity - from hydroelectric plants   

This entry measures the capacity of plants that generate electricity by water-driven turbines, expressed as a share of the country's total generating capacity.

| Rank | country | (% of total installed capacity) | Date of Information |
| 181 | Mongolia | 0.0 | 2010 est. |
| 182 | Montserrat | 0.0 | 2010 est. |
| 183 | Malta | 0.0 | 2010 est. |
| 184 | Oman | 0.0 | 2010 est. |
| 185 | Maldives | 0.0 | 2010 est. |
| 186 | Niue | 0.0 | 2010 est. |
| 187 | Niger | 0.0 | 2010 est. |
| 188 | Vanuatu | 0.0 | 2010 est. |
| 189 | Nauru | 0.0 | 2010 est. |
| 190 | Guinea-Bissau | 0.0 | 2010 est. |
| 191 | Qatar | 0.0 | 2010 est. |
| 192 | Saudi Arabia | 0.0 | 2010 est. |
| 193 | Saint Pierre and Miquelon | 0.0 | 2010 est. |
| 194 | Saint Kitts and Nevis | 0.0 | 2010 est. |
| 195 | Seychelles | 0.0 | 2010 est. |
| 196 | Senegal | 0.0 | 2010 est. |
| 197 | Saint Helena, Ascension, and Tristan da Cunha | 0.0 | 2010 est. |
| 198 | Singapore | 0.0 | 2010 est. |
| 199 | Somalia | 0.0 | 2010 est. |
| 200 | Saint Lucia | 0.0 | 2010 est. |
| 201 | Trinidad and Tobago | 0.0 | 2010 est. |
| 202 | Turks and Caicos Islands | 0.0 | 2010 est. |
| 203 | Tonga | 0.0 | 2010 est. |
| 204 | Turkmenistan | 0.0 | 2010 est. |
| 205 | British Virgin Islands | 0.0 | 2010 est. |
| 206 | Virgin Islands | 0.0 | 2010 est. |
| 207 | West Bank | 0.0 | 2010 est. |
| 208 | Western Sahara | 0.0 | 2010 est. |
| 209 | Antigua and Barbuda | 0.0 | 2010 est. |


