CIA - The World Factbook --  Manpower available for military service   

| Rank | country | Manpower available for military service | Date of Information |
| 181 | Honduras | 1,991,418.00 | 2010 est. |
| 182 | Austria | 1,941,110.00 | 2010 est. |
| 183 | Austria | 1,910,434.00 | 2010 est. |
| 184 | Hong Kong | 1,873,175.00 | 2010 est. |
| 185 | Switzerland | 1,828,043.00 | 2010 est. |
| 186 | Israel | 1,797,960.00 | 2010 est. |
| 187 | Switzerland | 1,786,552.00 | 2010 est. |
| 188 | Libya | 1,775,078.00 | 2010 est. |
| 189 | Libya | 1,714,194.00 | 2010 est. |
| 190 | Israel | 1,713,230.00 | 2010 est. |
| 191 | Hong Kong | 1,704,090.00 | 2010 est. |
| 192 | Paraguay | 1,678,335.00 | 2010 est. |
| 193 | Paraguay | 1,675,352.00 | 2010 est. |
| 194 | Jordan | 1,674,260.00 | 2010 est. |
| 195 | Bulgaria | 1,637,470.00 | 2010 est. |
| 196 | Bulgaria | 1,621,352.00 | 2010 est. |
| 197 | Jordan | 1,611,315.00 | 2010 est. |
| 198 | El Salvador | 1,611,248.00 | 2010 est. |
| 199 | Laos | 1,607,856.00 | 2010 est. |
| 200 | Togo | 1,589,715.00 | 2010 est. |
| 201 | Togo | 1,577,572.00 | 2010 est. |
| 202 | Laos | 1,574,362.00 | 2010 est. |
| 203 | Papua New Guinea | 1,568,210.00 | 2010 est. |
| 204 | Nicaragua | 1,552,698.00 | 2010 est. |
| 205 | Papua New Guinea | 1,478,965.00 | 2010 est. |
| 206 | Kyrgyzstan | 1,470,317.00 | 2010 est. |
| 207 | Kyrgyzstan | 1,456,881.00 | 2010 est. |
| 208 | Nicaragua | 1,452,107.00 | 2010 est. |
| 209 | El Salvador | 1,449,214.00 | 2010 est. |
| 210 | Slovakia | 1,405,310.00 | 2010 est. |
| 211 | Turkmenistan | 1,387,211.00 | 2010 est. |
| 212 | Turkmenistan | 1,380,794.00 | 2010 est. |
| 213 | Slovakia | 1,369,897.00 | 2010 est. |
| 214 | Eritrea | 1,362,575.00 | 2010 est. |
| 215 | Eritrea | 1,350,446.00 | 2010 est. |
| 216 | Singapore | 1,255,902.00 | 2010 est. |
| 217 | Costa Rica | 1,255,798.00 | 2010 est. |
| 218 | Denmark | 1,236,337.00 | 2010 est. |
| 219 | Costa Rica | 1,230,202.00 | 2010 est. |
| 220 | Denmark | 1,224,182.00 | 2010 est. |
| 221 | Sierra Leone | 1,183,093.00 | 2010 est. |
| 222 | Bosnia and Herzegovina | 1,180,829.00 | 2010 est. |
| 223 | Ireland | 1,179,125.00 | 2010 est. |
| 224 | Ireland | 1,163,728.00 | 2010 est. |
| 225 | Moldova | 1,156,958.00 | 2010 est. |
| 226 | Finland | 1,155,368.00 | 2010 est. |
| 227 | Central African Republic | 1,149,856.00 | 2010 est. |
