CIA - The World Factbook --  Merchant marine   

Merchant marine may be defined as all ships engaged in the carriage of goods; or all commercial vessels (as opposed to all nonmilitary ships), which excludes tugs, fishing vessels, offshore oil rigs, etc. This entry contains information in four fields - total, ships by type, foreign-owned, and registered in other countries.
| Total includes the number of ships (1,000 GRT or over), total DWT for those ships, and total GRT for those ships. DWT or dead weight tonnage is the total weight of cargo, plus bunkers, stores, etc., that a ship can carry when immersed to the appropriate load line. GRT or gross register tonnage is a figure obtained by measuring the entire sheltered volume of a ship available for cargo and passengers and converting it to tons on the basis of 100 cubic feet per ton; there is no stable relationship between GRT and DWT. |
| Ships by type includes a listing of barge carriers, bulk cargo ships, cargo ships, chemical tankers, combination bulk carriers, combination ore/oil carriers, container ships, liquefied gas tankers, livestock carriers, multifunctional large-load carriers, petroleum tankers, passenger ships, passenger/cargo ships, railcar carriers, refrigerated cargo ships, roll-on/roll-off cargo ships, short-sea passenger ships, specialized tankers, and vehicle carriers. |
| Foreign-owned are ships that fly the flag of one country but belong to owners in another. |
| Registered in other countries are ships that belong to owners in one country but fly the flag of another. |
| Rank | country | Merchant marine | Date of Information |
| 101 | Uruguay | 18 | 2010 |
| 102 | Romania | 15 | 2010 |
| 103 | New Zealand | 14 | 2010 |
| 104 | Cape Verde | 13 | 2010 |
| 105 | Colombia | 13 | 2010 |
| 106 | Peru | 13 | 2010 |
| 107 | Jordan | 13 | 2010 |
| 108 | Latvia | 13 | 2010 |
| 109 | French Polynesia | 13 | 2010 |
| 110 | Tunisia | 11 | 2010 |
| 111 | Jersey | 11 | 2010 |
| 112 | Fiji | 10 | 2010 |
| 113 | Israel | 10 | 2010 |
| 114 | Tonga | 10 | 2010 |
| 115 | Poland | 10 | 2010 |
| 116 | Pakistan | 10 | 2010 |
| 117 | Brunei | 9 | 2010 |
| 118 | Turkmenistan | 9 | 2010 |
| 119 | Seychelles | 9 | 2010 |
| 120 | Ethiopia | 9 | 2010 |
| 121 | Guyana | 8 | 2010 |
| 122 | Wallis and Futuna | 8 | 2008 |
| 123 | Madagascar | 8 | 2010 |
| 124 | Kazakhstan | 8 | 2010 |
| 125 | Bahrain | 7 | 2010 |
| 126 | Angola | 7 | 2010 |
| 127 | Yemen | 6 | 2010 |
| 128 | Trinidad and Tobago | 6 | 2010 |
| 129 | Gambia, The | 5 | 2010 |
| 130 | Cuba | 5 | 2010 |
| 131 | Equatorial Guinea | 4 | 2010 |
| 132 | Eritrea | 4 | 2010 |
| 133 | South Africa | 4 | 2010 |
| 134 | Oman | 4 | 2010 |
| 135 | Ghana | 4 | 2010 |
| 136 | Mauritius | 3 | 2010 |
| 137 | Micronesia, Federated States of | 3 | 2010 |
| 138 | Sao Tome and Principe | 3 | 2010 |
| 139 | Puerto Rico | 3 | 2008 |
| 140 | New Caledonia | 3 | 2010 |
| 141 | Austria | 2 | 2010 |
| 142 | Gabon | 2 | 2010 |
| 143 | Iceland | 2 | 2010 |
| 144 | Sudan | 2 | 2010 |
| 145 | Montenegro | 2 | 2010 |
| 146 | Mozambique | 2 | 2010 |
| 147 | Samoa | 2 | 2010 |
| 148 | Iraq | 2 | 2010 |
| 149 | British Virgin Islands | 1 | 2008 |
| 150 | Turks and Caicos Islands | 1 | 2008 |
| 151 | Congo, Republic of the | 1 | 2010 |
| 152 | Costa Rica | 1 | 2010 |
| 153 | Czech Republic | 1 | 2010 |
| 154 | Dominican Republic | 1 | 2008 |
| 155 | Greenland | 1 | 2010 |
| 156 | Kenya | 1 | 2010 |
| 157 | Laos | 1 | 2008 |
| 158 | Namibia | 1 | 2010 |
| 159 | Senegal | 1 | 2010 |
| 160 | Somalia | 1 | 2008 |
| 161 | Suriname | 1 | 2008 |
| 162 | Timor-Leste | 1 | 2010 |
| 163 | Congo, Democratic Republic of the | 1 | 2010 |
