CIA - The World Factbook --  GDP (official exchange rate)   

| Rank | country | GDP (official exchange rate) | Date of Information |
| 133 | South Sudan | $ 11,770,000,000 | 2013 est. |
| 134 | Mali | $ 11,370,000,000 | 2013 est. |
| 135 | Nicaragua | $ 11,260,000,000 | 2013 est. |
| 136 | Mongolia | $ 11,140,000,000 | 2013 est. |
| 137 | Macedonia | $ 10,650,000,000 | 2013 est. |
| 138 | Madagascar | $ 10,530,000,000 | 2013 est. |
| 139 | Zimbabwe | $ 10,480,000,000 | 2013 est. |
| 140 | Armenia | $ 10,440,000,000 | 2013 est. |
| 141 | Laos | $ 10,100,000,000 | 2013 est. |
| 142 | Malta | $ 9,541,000,000 | 2013 est. |
| 143 | New Caledonia | $ 9,280,000,000 | 2008 est. |
| 144 | Tajikistan | $ 8,513,000,000 | 2013 est. |
| 145 | Bahamas, The | $ 8,373,000,000 | 2013 est. |
| 146 | Benin | $ 8,359,000,000 | 2013 est. |
| 147 | Haiti | $ 8,287,000,000 | 2013 est. |
| 148 | Moldova | $ 7,932,000,000 | 2013 est. |
| 149 | Rwanda | $ 7,700,000,000 | 2013 est. |
| 150 | Niger | $ 7,304,000,000 | 2013 est. |
| 151 | Kyrgyzstan | $ 7,234,000,000 | 2013 est. |
| 152 | Kosovo | $ 7,150,000,000 | 2013 est. |
| 153 | West Bank | $ 6,641,000,000 | 2008 est. |
| 154 | Guinea | $ 6,544,000,000 | 2013 est. |
| 155 | Timor-Leste | $ 6,129,000,000 | 2013 est. |
| 156 | Monaco | $ 5,748,000,000 | 2011 est. |
| 157 | French Polynesia | $ 5,650,000,000 | 2006 |
| 158 | Curacao | $ 5,600,000,000 | 2012 est. |
| 159 | Bermuda | $ 5,600,000,000 | 2011 |
| 160 | Liechtenstein | $ 5,113,000,000 | 2010 est. |
| 161 | Jersey | $ 5,100,000,000 | 2005 est. |
| 162 | Suriname | $ 5,009,000,000 | 2013 est. |
| 163 | Andorra | $ 4,800,000,000 | 2012 est. |
| 164 | Sierra Leone | $ 4,607,000,000 | 2013 est. |
| 165 | Guam | $ 4,600,000,000 | 2010 est. |
| 166 | Montenegro | $ 4,518,000,000 | 2013 est. |
