CIA - The World Factbook --  Sex ratio   

This entry includes the number of males for each female in five age groups - at birth, under 15 years, 15-64 years, 65 years and over, and for the total population. Sex ratio at birth has recently emerged as an indicator of certain kinds of sex discrimination in some countries. For instance, high sex ratios at birth in some Asian countries are now attributed to sex-selective abortion and infanticide due to a strong preference for sons. This will affect future marriage patterns and fertility patterns. Eventually, it could cause unrest among young adult males who are unable to find partners.

| Rank | country | (male(s)/female) | Date of Information |
| 158 | Malaysia | 1.06 | 2011 est. |
| 159 | Italy | 1.06 | 2011 est. |
| 160 | Japan | 1.06 | 2011 est. |
| 161 | Jersey | 1.06 | 2011 est. |
| 162 | Jordan | 1.06 | 2011 est. |
| 163 | Jordan | 1.06 | 2011 est. |
| 164 | Kosovo | 1.06 | 2011 est. |
| 165 | Lithuania | 1.06 | 2011 est. |
| 166 | Lithuania | 1.06 | 2011 est. |
| 167 | French Polynesia | 1.06 | 2011 est. |
| 168 | French Polynesia | 1.06 | 2011 est. |
| 169 | Gibraltar | 1.06 | 2011 est. |
| 170 | Grenada | 1.06 | 2011 est. |
| 171 | Germany | 1.06 | 2011 est. |
| 172 | Guam | 1.06 | 2011 est. |
| 173 | Greece | 1.06 | 2011 est. |
| 174 | Greece | 1.06 | 2011 est. |
| 175 | Gaza Strip | 1.06 | 2011 est. |
| 176 | Gaza Strip | 1.06 | 2011 est. |
| 177 | Croatia | 1.06 | 2011 est. |
| 178 | Hungary | 1.06 | 2011 est. |
| 179 | Hungary | 1.06 | 2011 est. |
| 180 | Cuba | 1.06 | 2011 est. |
| 181 | Cuba | 1.06 | 2011 est. |
| 182 | Cyprus | 1.06 | 2011 est. |
| 183 | Denmark | 1.06 | 2011 est. |
| 184 | European Union | 1.06 | 2012 est. |
| 185 | Ireland | 1.06 | 2011 est. |
| 186 | Estonia | 1.06 | 2011 est. |
| 187 | Estonia | 1.06 | 2011 est. |
| 188 | Israel | 1.05 | 2011 est. |
| 189 | Italy | 1.05 | 2011 est. |
| 190 | Iraq | 1.05 | 2011 est. |
| 191 | Jamaica | 1.05 | 2011 est. |
| 192 | Korea, North | 1.05 | 2011 est. |
| 193 | Kiribati | 1.05 | 2011 est. |
| 194 | Kuwait | 1.05 | 2011 est. |
| 195 | Lebanon | 1.05 | 2011 est. |
| 196 | Lebanon | 1.05 | 2011 est. |
| 197 | Latvia | 1.05 | 2011 est. |
| 198 | Latvia | 1.05 | 2011 est. |
| 199 | French Polynesia | 1.05 | 2011 est. |
| 200 | France | 1.05 | 2011 est. |
| 201 | France | 1.05 | 2011 est. |
| 202 | Guernsey | 1.05 | 2011 est. |
| 203 | Greenland | 1.05 | 2011 est. |
| 204 | Germany | 1.05 | 2011 est. |
| 205 | Guatemala | 1.05 | 2011 est. |
| 206 | Guyana | 1.05 | 2011 est. |
| 207 | Gaza Strip | 1.05 | 2011 est. |
| 208 | Honduras | 1.05 | 2011 est. |
| 209 | Croatia | 1.05 | 2011 est. |
| 210 | Indonesia | 1.05 | 2011 est. |
| 211 | Cook Islands | 1.05 | 2011 est. |
| 212 | Cyprus | 1.05 | 2011 est. |
| 213 | Denmark | 1.05 | 2011 est. |
| 214 | Dominica | 1.05 | 2011 est. |
| 215 | Dominica | 1.05 | 2011 est. |
| 216 | Ecuador | 1.05 | 2011 est. |
| 217 | European Union | 1.05 | 2012 est. |
| 218 | Egypt | 1.05 | 2011 est. |
| 219 | Egypt | 1.05 | 2011 est. |
| 220 | El Salvador | 1.05 | 2011 est. |
| 221 | El Salvador | 1.05 | 2011 est. |
| 222 | Fiji | 1.05 | 2011 est. |
| 223 | Micronesia, Federated States of | 1.05 | 2011 est. |
| 224 | French Polynesia | 1.05 | 2011 est. |
| 225 | Bolivia | 1.05 | 2011 est. |
| 226 | Benin | 1.05 | 2011 est. |
| 227 | Solomon Islands | 1.05 | 2011 est. |
| 228 | Brazil | 1.05 | 2011 est. |
| 229 | Bhutan | 1.05 | 2011 est. |
| 230 | Bulgaria | 1.05 | 2011 est. |
| 231 | Brunei | 1.05 | 2011 est. |
| 232 | Canada | 1.05 | 2011 est. |
| 233 | Curacao | 1.05 | 2010 |
| 234 | Colombia | 1.05 | 2011 est. |
| 235 | Costa Rica | 1.05 | 2011 est. |
| 236 | Costa Rica | 1.05 | 2011 est. |
| 237 | Antigua and Barbuda | 1.05 | 2011 est. |
| 238 | United Arab Emirates | 1.05 | 2011 est. |
| 239 | United Arab Emirates | 1.05 | 2011 est. |
| 240 | Afghanistan | 1.05 | 2011 est. |
| 241 | Algeria | 1.05 | 2011 est. |
| 242 | Andorra | 1.05 | 2011 est. |
| 243 | Angola | 1.05 | 2011 est. |
| 244 | Argentina | 1.05 | 2011 est. |
| 245 | Argentina | 1.05 | 2011 est. |
| 246 | Australia | 1.05 | 2011 est. |
| 247 | Austria | 1.05 | 2011 est. |
| 248 | Austria | 1.05 | 2011 est. |
| 249 | Anguilla | 1.05 | 2011 est. |
| 250 | Belize | 1.05 | 2011 est. |
| 251 | Venezuela | 1.05 | 2011 est. |
