CIA - The World Factbook --  Population   

This entry gives an estimate from the US Bureau of the Census based on statistics from population censuses, vital statistics registration systems, or sample surveys pertaining to the recent past and on assumptions about future trends. The total population presents one overall measure of the potential impact of the country on the world and within its region. Note: Starting with the 1993 Factbook, demographic estimates for some countries (mostly African) have explicitly taken into account the effects of the growing impact of the HIV/AIDS epidemic. These countries are currently: The Bahamas, Benin, Botswana, Brazil, Burkina Faso, Burma, Burundi, Cambodia, Cameroon, Central African Republic, Democratic Republic of the Congo, Republic of the Congo, Cote d'Ivoire, Ethiopia, Gabon, Ghana, Guyana, Haiti, Honduras, Kenya, Lesotho, Malawi, Mozambique, Namibia, Nigeria, Rwanda, South Africa, Swaziland, Tanzania, Thailand, Togo, Uganda, Zambia, and Zimbabwe.

| Rank | country | Population | Date of Information |
| 87 | Haiti | 9,719,932 | NA |
| 88 | Belarus | 9,577,552 | July 2011 est. |
| 89 | Benin | 9,325,032 | NA |
| 90 | Sweden | 9,088,728 | July 2011 est. |
| 91 | Azerbaijan | 8,372,373 | July 2011 est. |
| 92 | South Sudan | 8,260,490 | 2008 |
| 93 | Austria | 8,217,280 | July 2011 est. |
| 94 | Honduras | 8,143,564 | NA |
| 95 | Switzerland | 7,639,961 | July 2011 est. |
| 96 | Tajikistan | 7,627,200 | July 2011 est. |
| 97 | Israel | 7,473,052 | NA |
| 98 | Serbia | 7,310,555 | NA |
| 99 | Hong Kong | 7,122,508 | July 2011 est. |
| 100 | Bulgaria | 7,093,635 | July 2011 est. |
| 101 | Togo | 6,771,993 | NA |
| 102 | Libya | 6,597,960 | NA |
| 103 | Jordan | 6,508,271 | July 2011 est. |
| 104 | Laos | 6,477,211 | July 2011 est. |
| 105 | Paraguay | 6,459,058 | July 2011 est. |
| 106 | Papua New Guinea | 6,187,591 | July 2011 est. |
| 107 | El Salvador | 6,071,774 | July 2011 est. |
| 108 | Eritrea | 5,939,484 | July 2011 est. |
| 109 | Nicaragua | 5,666,301 | July 2011 est. |
| 110 | Kyrgyzstan | 5,587,443 | July 2011 est. |
| 111 | Denmark | 5,529,888 | July 2011 est. |
| 112 | Slovakia | 5,477,038 | July 2011 est. |
| 113 | Sierra Leone | 5,363,669 | July 2011 est. |
| 114 | Finland | 5,259,250 | July 2011 est. |
| 115 | United Arab Emirates | 5,148,664 | NA |
| 116 | Turkmenistan | 4,997,503 | July 2011 est. |
| 117 | Central African Republic | 4,950,027 | NA |
| 118 | Singapore | 4,740,737 | July 2011 est. |
| 119 | Norway | 4,691,849 | July 2011 est. |
| 120 | Ireland | 4,670,976 | July 2011 est. |
| 121 | Bosnia and Herzegovina | 4,622,163 | July 2011 est. |
| 122 | Georgia | 4,585,874 | July 2011 est. |
| 123 | Costa Rica | 4,576,562 | July 2011 est. |
| 124 | Croatia | 4,483,804 | July 2011 est. |
| 125 | Moldova | 4,314,377 | July 2011 est. |
| 126 | New Zealand | 4,290,347 | July 2011 est. |
| 127 | Congo, Republic of the | 4,243,929 | NA |
| 128 | Lebanon | 4,143,101 | July 2011 est. |
| 129 | Puerto Rico | 3,989,133 | July 2011 est. |
| 130 | Liberia | 3,786,764 | July 2011 est. |
| 131 | Lithuania | 3,535,547 | July 2011 est. |
| 132 | Panama | 3,460,462 | July 2011 est. |
| 133 | Uruguay | 3,308,535 | July 2011 est. |
| 134 | Mauritania | 3,281,634 | July 2011 est. |
| 135 | Mongolia | 3,133,318 | July 2011 est. |
| 136 | Oman | 3,027,959 | NA |
| 137 | Albania | 2,994,667 | July 2011 est. |
| 138 | Armenia | 2,967,975 | July 2011 est. |
| 139 | Jamaica | 2,868,380 | July 2011 est. |
| 140 | Kuwait | 2,595,628 | NA |
| 141 | West Bank | 2,568,555 | July 2011 est. |
| 142 | Latvia | 2,204,708 | July 2011 est. |
| 143 | Namibia | 2,147,585 | NA |
| 144 | Macedonia | 2,077,328 | July 2011 est. |
| 145 | Botswana | 2,065,398 | NA |
| 146 | Slovenia | 2,000,092 | July 2011 est. |
| 147 | Lesotho | 1,924,886 | NA |
| 148 | Kosovo | 1,825,632 | July 2011 est. |
| 149 | Gambia, The | 1,797,860 | July 2011 est. |
| 150 | Gaza Strip | 1,657,155 | July 2011 est. |
| 151 | Guinea-Bissau | 1,596,677 | July 2011 est. |
| 152 | Gabon | 1,576,665 | NA |
| 153 | Swaziland | 1,370,424 | NA |
| 154 | Mauritius | 1,303,717 | July 2011 est. |
| 155 | Estonia | 1,282,963 | July 2011 est. |
| 156 | Trinidad and Tobago | 1,227,505 | July 2011 est. |
| 157 | Bahrain | 1,214,705 | July 2011 est. |
| 158 | Timor-Leste | 1,177,834 | July 2011 est. |
| 159 | Cyprus | 1,120,489 | July 2011 est. |
| 160 | Fiji | 883,125 | July 2011 est. |
| 161 | Qatar | 848,016 | July 2011 est. |
| 162 | Comoros | 794,683 | July 2011 est. |
| 163 | Djibouti | 757,074 | July 2011 est. |
| 164 | Guyana | 744,768 | NA |
| 165 | Bhutan | 708,427 | NA |
| 166 | Equatorial Guinea | 668,225 | July 2011 est. |
| 167 | Montenegro | 661,807 | July 2011 est. |
| 168 | Macau | 573,003 | July 2011 est. |
| 169 | Solomon Islands | 571,890 | July 2011 est. |
| 170 | Cape Verde | 516,100 | July 2011 est. |
| 171 | Western Sahara | 507,160 | NA |
| 172 | Luxembourg | 503,302 | July 2011 est. |
| 173 | Suriname | 491,989 | July 2011 est. |
| 174 | Malta | 408,333 | July 2011 est. |
| 175 | Brunei | 401,890 | July 2011 est. |
| 176 | Maldives | 394,999 | July 2011 est. |
| 177 | Belize | 321,115 | July 2011 est. |
| 178 | Bahamas, The | 313,312 | NA |
| 179 | Iceland | 311,058 | July 2011 est. |
| 180 | French Polynesia | 294,935 | July 2011 est. |
| 181 | Barbados | 286,705 | July 2011 est. |
| 182 | New Caledonia | 256,275 | July 2011 est. |
| 183 | Vanuatu | 224,564 | July 2011 est. |
| 184 | Samoa | 193,161 | NA |
| 185 | Sao Tome and Principe | 179,506 | July 2011 est. |
| 186 | Saint Lucia | 161,557 | July 2011 est. |
| 187 | Curacao | 142,180 | est. January 2010 |
| 188 | Virgin Islands | 109,666 | July 2011 est. |
| 189 | Grenada | 108,419 | July 2011 est. |
| 190 | Micronesia, Federated States of | 106,836 | July 2011 est. |
| 191 | Aruba | 106,113 | NA |
| 192 | Tonga | 105,916 | July 2011 est. |
| 193 | Saint Vincent and the Grenadines | 103,869 | July 2011 est. |
| 194 | Kiribati | 100,743 | July 2011 est. |
| 195 | Jersey | 94,161 | July 2011 est. |
| 196 | Seychelles | 89,188 | July 2011 est. |
| 197 | Antigua and Barbuda | 87,884 | July 2011 est. |
| 198 | Andorra | 84,825 | July 2011 est. |
| 199 | Isle of Man | 84,655 | July 2011 est. |
| 200 | Dominica | 72,969 | July 2011 est. |
| 201 | Bermuda | 68,679 | July 2011 est. |
| 202 | American Samoa | 67,242 | July 2011 est. |
| 203 | Marshall Islands | 67,182 | July 2011 est. |
| 204 | Guernsey | 65,068 | July 2011 est. |
| 205 | Greenland | 57,670 | July 2011 est. |
| 206 | Cayman Islands | 51,384 | NA |
| 207 | Saint Kitts and Nevis | 50,314 | July 2011 est. |
| 208 | Faroe Islands | 49,267 | July 2011 est. |
| 209 | Northern Mariana Islands | 46,050 | July 2011 est. |
| 210 | Turks and Caicos Islands | 44,819 | July 2011 est. |
| 211 | Sint Maarten | 37,429 | January 2010 est. |
| 212 | Liechtenstein | 35,236 | July 2011 est. |
| 213 | San Marino | 31,817 | July 2011 est. |
| 214 | Saint Martin | 30,615 | July 2011 est. |
| 215 | Monaco | 30,539 | July 2011 est. |
| 216 | Gibraltar | 28,956 | July 2011 est. |
| 217 | British Virgin Islands | 25,383 | July 2011 est. |
| 218 | Palau | 20,956 | July 2011 est. |
| 219 | Dhekelia | 15,700 | NA |
| 220 | Akrotiri | 15,700 | NA |
| 221 | Wallis and Futuna | 15,398 | July 2011 est. |
| 222 | Anguilla | 15,094 | July 2011 est. |
| 223 | Cook Islands | 11,124 | July 2011 est. |
| 224 | Tuvalu | 10,544 | July 2011 est. |
| 225 | Nauru | 9,322 | July 2011 est. |
| 226 | Saint Helena, Ascension, and Tristan da Cunha | 7,700 | NA |
| 227 | Saint Barthelemy | 7,367 | July 2011 est. |
| 228 | Saint Pierre and Miquelon | 5,888 | July 2011 est. |
| 229 | Montserrat | 5,140 | NA |
| 230 | Falkland Islands (Islas Malvinas) | 3,140 | July 2008 est. |
| 231 | Norfolk Island | 2,169 | July 2011 est. |
| 232 | Svalbard | 2,019 | July 2011 est. |
| 233 | Christmas Island | 1,402 | July 2010 est. |
| 234 | Tokelau | 1,384 | July 2011 est. |
| 235 | Niue | 1,311 | July 2011 est. |
| 236 | Holy See (Vatican City) | 832 | July 2011 est. |
| 237 | Cocos (Keeling) Islands | 596 | July 2010 est. |
| 238 | Pitcairn Islands | 48 | July 2011 est. |
