CIA - The World Factbook --  Population   

This entry gives an estimate from the US Bureau of the Census based on statistics from population censuses, vital statistics registration systems, or sample surveys pertaining to the recent past and on assumptions about future trends. The total population presents one overall measure of the potential impact of the country on the world and within its region. Note: Starting with the 1993 Factbook, demographic estimates for some countries (mostly African) have explicitly taken into account the effects of the growing impact of the HIV/AIDS epidemic. These countries are currently: The Bahamas, Benin, Botswana, Brazil, Burkina Faso, Burma, Burundi, Cambodia, Cameroon, Central African Republic, Democratic Republic of the Congo, Republic of the Congo, Cote d'Ivoire, Ethiopia, Gabon, Ghana, Guyana, Haiti, Honduras, Kenya, Lesotho, Malawi, Mozambique, Namibia, Nigeria, Rwanda, South Africa, Swaziland, Tanzania, Thailand, Togo, Uganda, Zambia, and Zimbabwe.

| Rank | country | Population | Date of Information |
| 65 | Ecuador | 14,790,608 | July 2010 est. |
| 66 | Cambodia | 14,453,680 | July 2010 est. |
| 67 | Mali | 13,796,354 | July 2010 est. |
| 68 | Guatemala | 13,550,440 | July 2010 est. |
| 69 | Zambia | 13,460,305 | July 2010 est. |
| 70 | Angola | 13,068,161 | July 2010 est. |
| 71 | Senegal | 12,323,252 | July 2010 est. |
| 72 | Zimbabwe | 11,651,858 | July 2010 est. |
| 73 | Cuba | 11,477,459 | July 2010 est. |
| 74 | Rwanda | 11,055,976 | July 2010 est. |
| 75 | Greece | 10,749,943 | July 2010 est. |
| 76 | Portugal | 10,735,765 | July 2010 est. |
| 77 | Tunisia | 10,589,025 | July 2010 est. |
| 78 | Chad | 10,543,464 | July 2010 est. |
| 79 | Belgium | 10,423,493 | July 2010 est. |
| 80 | Guinea | 10,324,025 | July 2010 est. |
| 81 | Czech Republic | 10,201,707 | July 2010 est. |
| 82 | Somalia | 10,112,453 | July 2010 est. |
| 83 | Hungary | 9,992,339 | July 2010 est. |
| 84 | Bolivia | 9,947,418 | July 2010 est. |
| 85 | Burundi | 9,863,117 | July 2010 est. |
| 86 | Dominican Republic | 9,823,821 | July 2010 est. |
| 87 | Haiti | 9,719,932 | 2011 est. |
| 88 | Belarus | 9,612,632 | July 2010 est. |
| 89 | Sweden | 9,074,055 | July 2010 est. |
| 90 | Benin | 9,056,010 | July 2010 est. |
| 91 | Azerbaijan | 8,303,512 | July 2010 est. |
| 92 | Austria | 8,214,160 | July 2010 est. |
| 93 | Honduras | 7,989,415 | July 2010 est. |
| 94 | Switzerland | 7,623,438 | July 2010 est. |
| 95 | Tajikistan | 7,487,489 | July 2010 est. |
| 96 | Israel | 7,353,985 | NA |
| 97 | Serbia | 7,344,847 | July 2010 est. |
| 98 | Bulgaria | 7,148,785 | July 2010 est. |
| 99 | Hong Kong | 7,089,705 | July 2010 est. |
| 100 | Togo | 6,587,239 | July 2010 est. |
| 101 | Libya | 6,461,454 | July 2010 est. |
| 102 | Jordan | 6,407,085 | July 2010 est. |
| 103 | Paraguay | 6,375,830 | July 2010 est. |
| 104 | Laos | 6,368,162 | July 2010 est. |
| 105 | Papua New Guinea | 6,064,515 | July 2010 est. |
| 106 | El Salvador | 6,052,064 | July 2010 est. |
| 107 | Nicaragua | 5,995,928 | July 2010 est. |
| 108 | Eritrea | 5,792,984 | July 2010 est. |
| 109 | Denmark | 5,515,575 | July 2010 est. |
| 110 | Kyrgyzstan | 5,508,626 | July 2010 est. |
| 111 | Slovakia | 5,470,306 | July 2010 est. |
| 112 | Finland | 5,255,068 | July 2010 est. |
| 113 | Sierra Leone | 5,245,695 | July 2010 est. |
| 114 | United Arab Emirates | 4,975,593 | July 2010 est. |
| 115 | Turkmenistan | 4,940,916 | July 2010 est. |
| 116 | Central African Republic | 4,844,927 | July 2010 est. |
| 117 | Singapore | 4,701,069 | July 2010 est. |
| 118 | Norway | 4,676,305 | July 2010 est. |
| 119 | Ireland | 4,622,917 | July 2010 est. |
| 120 | Bosnia and Herzegovina | 4,621,598 | July 2010 est. |
| 121 | Georgia | 4,600,825 | July 2010 est. |
| 122 | Costa Rica | 4,516,220 | July 2010 est. |
| 123 | Croatia | 4,486,881 | July 2010 est. |
| 124 | Moldova | 4,317,483 | July 2010 est. |
| 125 | New Zealand | 4,252,277 | July 2010 est. |
| 126 | Congo, Republic of the | 4,125,916 | July 2010 est. |
| 127 | Lebanon | 4,125,247 | July 2010 est. |
| 128 | Puerto Rico | 3,978,702 | July 2010 est. |
| 129 | Liberia | 3,685,076 | July 2010 est. |
| 130 | Lithuania | 3,545,319 | July 2010 est. |
| 131 | Uruguay | 3,510,386 | July 2010 est. |
| 132 | Panama | 3,410,676 | July 2010 est. |
| 133 | Mauritania | 3,205,060 | July 2010 est. |
| 134 | Mongolia | 3,086,918 | July 2010 est. |
| 135 | Albania | 2,986,952 | July 2010 est. |
| 136 | Oman | 2,967,717 | July 2010 est. |
| 137 | Armenia | 2,966,802 | July 2010 est. |
| 138 | Jamaica | 2,847,232 | July 2010 est. |
| 139 | Kuwait | 2,789,132 | July 2010 est. |
| 140 | West Bank | 2,514,845 | NA |
| 141 | Latvia | 2,217,969 | July 2010 est. |
| 142 | Namibia | 2,128,471 | July 2010 est. |
| 143 | Macedonia | 2,072,086 | July 2010 est. |
| 144 | Botswana | 2,029,307 | July 2010 est. |
| 145 | Slovenia | 2,003,136 | July 2010 est. |
| 146 | Lesotho | 1,919,552 | July 2010 est. |
| 147 | Gambia, The | 1,824,158 | July 2010 est. |
| 148 | Kosovo | 1,815,048 | July 2010 est. |
| 149 | Gaza Strip | 1,604,238 | July 2010 est. |
| 150 | Guinea-Bissau | 1,565,126 | July 2010 est. |
| 151 | Gabon | 1,545,255 | July 2010 est. |
| 152 | Swaziland | 1,354,051 | July 2010 est. |
| 153 | Mauritius | 1,294,104 | July 2010 est. |
| 154 | Estonia | 1,291,170 | July 2010 est. |
| 155 | Trinidad and Tobago | 1,228,691 | July 2010 est. |
| 156 | Timor-Leste | 1,154,625 | July 2010 est. |
| 157 | Cyprus | 1,102,677 | July 2010 est. |
| 158 | Fiji | 875,983 | July 2010 est. |
| 159 | Qatar | 840,926 | July 2010 est. |
| 160 | Comoros | 773,407 | July 2010 est. |
| 161 | Guyana | 748,486 | July 2010 est. |
| 162 | Djibouti | 740,528 | July 2010 est. |
| 163 | Bahrain | 738,004 | July 2010 est. |
| 164 | Bhutan | 699,847 | July 2010 est. |
| 165 | Montenegro | 666,730 | July 2010 est. |
| 166 | Equatorial Guinea | 650,702 | July 2010 est. |
| 167 | Macau | 567,957 | July 2010 est. |
| 168 | Solomon Islands | 559,198 | July 2010 est. |
| 169 | Cape Verde | 508,659 | July 2010 est. |
| 170 | Luxembourg | 497,538 | July 2010 est. |
| 171 | Western Sahara | 491,519 | July 2010 est. |
| 172 | Suriname | 486,618 | July 2010 est. |
| 173 | Malta | 406,771 | July 2010 est. |
| 174 | Maldives | 395,650 | July 2010 est. |
| 175 | Brunei | 395,027 | July 2010 est. |
| 176 | Belize | 314,522 | July 2010 est. |
| 177 | Bahamas, The | 310,426 | July 2010 est. |
| 178 | Iceland | 308,910 | July 2010 est. |
| 179 | French Polynesia | 291,000 | July 2010 est. |
| 180 | Barbados | 285,653 | July 2010 est. |
| 181 | New Caledonia | 252,352 | July 2010 est. |
| 182 | Mayotte | 231,139 | July 2010 est. |
| 183 | Vanuatu | 221,552 | July 2010 est. |
| 184 | Samoa | 192,001 | July 2010 est. |
| 185 | Sao Tome and Principe | 175,808 | July 2010 est. |
| 186 | Saint Lucia | 160,922 | July 2010 est. |
| 187 | Curacao | 142,180 | est. January 2010 |
| 188 | Tonga | 122,580 | July 2010 est. |
| 189 | Virgin Islands | 109,750 | July 2010 est. |
| 190 | Grenada | 107,818 | July 2010 est. |
| 191 | Micronesia, Federated States of | 107,154 | July 2010 est. |
| 192 | Aruba | 104,589 | July 2010 est. |
| 193 | Saint Vincent and the Grenadines | 104,217 | July 2010 est. |
| 194 | Kiribati | 99,482 | July 2010 est. |
| 195 | Jersey | 93,363 | July 2010 est. |
| 196 | Seychelles | 88,340 | July 2010 est. |
| 197 | Antigua and Barbuda | 86,754 | July 2010 est. |
| 198 | Andorra | 84,525 | July 2010 est. |
| 199 | Isle of Man | 83,859 | July 2010 est. |
| 200 | Dominica | 72,813 | July 2010 est. |
| 201 | Bermuda | 68,265 | July 2010 est. |
| 202 | American Samoa | 66,432 | July 2010 est. |
| 203 | Marshall Islands | 65,859 | July 2010 est. |
| 204 | Guernsey | 64,775 | July 2010 est. |
| 205 | Greenland | 57,637 | July 2010 est. |
| 206 | Cayman Islands | 50,209 | July 2010 est. |
| 207 | Saint Kitts and Nevis | 49,898 | July 2010 est. |
| 208 | Faroe Islands | 49,057 | July 2010 est. |
| 209 | Northern Mariana Islands | 48,317 | July 2010 est. |
| 210 | Sint Maarten | 37,429 | January 2010 est. |
| 211 | Liechtenstein | 35,002 | July 2010 est. |
| 212 | San Marino | 31,477 | July 2010 est. |
| 213 | Monaco | 30,586 | July 2010 est. |
| 214 | Saint Martin | 30,235 | July 2010 est. |
| 215 | Gibraltar | 28,877 | July 2010 est. |
| 216 | British Virgin Islands | 24,939 | July 2010 est. |
| 217 | Turks and Caicos Islands | 23,528 | July 2010 est. |
| 218 | Palau | 20,879 | July 2010 est. |
| 219 | Akrotiri | 15,700 | NA |
| 220 | Dhekelia | 15,700 | NA |
| 221 | Wallis and Futuna | 15,343 | July 2010 est. |
| 222 | Anguilla | 14,766 | July 2010 est. |
| 223 | Cook Islands | 11,488 | July 2010 est. |
| 224 | Tuvalu | 10,472 | July 2010 est. |
| 225 | Nauru | 9,267 | July 2010 est. |
| 226 | Saint Helena, Ascension, and Tristan da Cunha | 7,670 | July 2010 est. |
| 227 | Saint Barthelemy | 7,406 | July 2010 est. |
| 228 | Saint Pierre and Miquelon | 5,943 | July 2010 est. |
| 229 | Montserrat | 5,118 | July 2010 est. |
| 230 | Falkland Islands (Islas Malvinas) | 3,140 | July 2008 est. |
| 231 | Norfolk Island | 2,155 | July 2010 est. |
| 232 | Svalbard | 2,067 | July 2010 est. |
| 233 | Christmas Island | 1,402 | July 2010 est. |
| 234 | Tokelau | 1,400 | July 2010 est. |
| 235 | Niue | 1,354 | July 2010 est. |
| 236 | Holy See (Vatican City) | 829 | July 2010 est. |
| 237 | Cocos (Keeling) Islands | 596 | July 2010 est. |
| 238 | Pitcairn Islands | 48 | July 2010 est. |
