CIA - The World Factbook --  Population   

This entry gives an estimate from the US Bureau of the Census based on statistics from population censuses, vital statistics registration systems, or sample surveys pertaining to the recent past and on assumptions about future trends. The total population presents one overall measure of the potential impact of the country on the world and within its region. Note: Starting with the 1993 Factbook, demographic estimates for some countries (mostly African) have explicitly taken into account the effects of the growing impact of the HIV/AIDS epidemic. These countries are currently: The Bahamas, Benin, Botswana, Brazil, Burkina Faso, Burma, Burundi, Cambodia, Cameroon, Central African Republic, Democratic Republic of the Congo, Republic of the Congo, Cote d'Ivoire, Ethiopia, Gabon, Ghana, Guyana, Haiti, Honduras, Kenya, Lesotho, Malawi, Mozambique, Namibia, Nigeria, Rwanda, South Africa, Swaziland, Tanzania, Thailand, Togo, Uganda, Zambia, and Zimbabwe.

| Rank | country | Population | Date of Information |
| 138 | Armenia | 2,970,495 | July 2012 est. |
| 139 | Jamaica | 2,889,187 | July 2012 est. |
| 140 | Kuwait | 2,646,314 | NA |
| 141 | West Bank | 2,622,544 | NA |
| 142 | Latvia | 2,191,580 | July 2012 est. |
| 143 | Namibia | 2,165,828 | NA |
| 144 | Botswana | 2,098,018 | NA |
| 145 | Macedonia | 2,082,370 | July 2012 est. |
| 146 | Slovenia | 1,996,617 | July 2012 est. |
| 147 | Qatar | 1,951,591 | July 2012 est. |
| 148 | Lesotho | 1,930,493 | NA |
| 149 | Gambia, The | 1,840,454 | July 2012 est. |
| 150 | Kosovo | 1,836,529 | July 2012 est. |
| 151 | Gaza Strip | 1,710,257 | July 2012 est. |
| 152 | Guinea-Bissau | 1,628,603 | July 2012 est. |
| 153 | Gabon | 1,608,321 | NA |
| 154 | Swaziland | 1,386,914 | NA |
| 155 | Mauritius | 1,313,095 | July 2012 est. |
| 156 | Estonia | 1,274,709 | July 2012 est. |
| 157 | Bahrain | 1,248,348 | July 2012 est. |
| 158 | Trinidad and Tobago | 1,226,383 | July 2012 est. |
| 159 | Timor-Leste | 1,143,667 | July 2012 est. |
| 160 | Cyprus | 1,138,071 | July 2012 est. |
| 161 | Fiji | 890,057 | July 2012 est. |
| 162 | Djibouti | 774,389 | July 2012 est. |
| 163 | Guyana | 741,908 | NA |
| 164 | Comoros | 737,284 | July 2012 est. |
| 165 | Bhutan | 716,896 | NA |
| 166 | Equatorial Guinea | 685,991 | July 2012 est. |
| 167 | Montenegro | 657,394 | July 2012 est. |
| 168 | Solomon Islands | 584,578 | July 2012 est. |
| 169 | Macau | 578,025 | July 2012 est. |
| 170 | Suriname | 560,157 | July 2012 est. |
| 171 | Cape Verde | 523,568 | July 2012 est. |
| 172 | Western Sahara | 522,928 | NA |
| 173 | Luxembourg | 509,074 | July 2012 est. |
| 174 | Malta | 409,836 | July 2012 est. |
| 175 | Brunei | 408,786 | July 2012 est. |
| 176 | Maldives | 394,451 | July 2012 est. |
| 177 | Belize | 327,719 | July 2012 est. |
| 178 | Bahamas, The | 316,182 | NA |
| 179 | Iceland | 313,183 | July 2012 est. |
| 180 | Barbados | 287,733 | July 2012 est. |
| 181 | French Polynesia | 274,512 | July 2012 est. |
| 182 | New Caledonia | 260,166 | July 2012 est. |
| 183 | Vanuatu | 256,155 | July 2012 est. |
| 184 | Samoa | 194,320 | NA |
| 185 | Sao Tome and Principe | 183,176 | July 2012 est. |
| 186 | Saint Lucia | 162,178 | July 2012 est. |
| 187 | Guam | 159,914 | July 2012 est. |
| 188 | Curacao | 145,834 | January 2010 est. |
| 189 | Grenada | 109,011 | July 2012 est. |
| 190 | Aruba | 107,635 | NA |
| 191 | Micronesia, Federated States of | 106,487 | July 2012 est. |
| 192 | Tonga | 106,146 | July 2012 est. |
| 193 | Virgin Islands | 105,275 | July 2012 est. |
| 194 | Saint Vincent and the Grenadines | 103,537 | July 2012 est. |
| 195 | Kiribati | 101,998 | July 2012 est. |
| 196 | Jersey | 94,949 | July 2012 est. |
| 197 | Seychelles | 90,024 | July 2012 est. |
| 198 | Antigua and Barbuda | 89,018 | July 2012 est. |
| 199 | Isle of Man | 85,421 | July 2012 est. |
| 200 | Andorra | 85,082 | July 2012 est. |
| 201 | Dominica | 73,126 | July 2012 est. |
| 202 | Bermuda | 69,080 | July 2012 est. |
| 203 | Marshall Islands | 68,480 | July 2012 est. |
| 204 | Guernsey | 65,345 | July 2012 est. |
| 205 | Greenland | 57,695 | July 2012 est. |
| 206 | American Samoa | 54,947 | July 2012 est. |
| 207 | Cayman Islands | 52,560 | NA |
| 208 | Northern Mariana Islands | 51,395 | July 2012 est. |
| 209 | Saint Kitts and Nevis | 50,726 | July 2012 est. |
| 210 | Faroe Islands | 49,483 | July 2012 est. |
| 211 | Turks and Caicos Islands | 46,335 | July 2012 est. |
| 212 | Sint Maarten | 39,088 | January 2010 est. |
| 213 | Liechtenstein | 36,713 | July 2012 est. |
| 214 | San Marino | 32,140 | July 2012 est. |
| 215 | British Virgin Islands | 31,148 | July 2012 est. |
| 216 | Saint Martin | 30,959 | July 2012 est. |
| 217 | Monaco | 30,510 | July 2012 est. |
| 218 | Gibraltar | 29,034 | July 2012 est. |
| 219 | Palau | 21,032 | July 2012 est. |
| 220 | Dhekelia | 15,700 | NA |
| 221 | Akrotiri | 15,700 | NA |
| 222 | Wallis and Futuna | 15,453 | July 2012 est. |
| 223 | Anguilla | 15,423 | July 2012 est. |
| 224 | Cook Islands | 10,777 | July 2012 est. |
| 225 | Tuvalu | 10,619 | July 2012 est. |
| 226 | Nauru | 9,378 | July 2012 est. |
| 227 | Saint Helena, Ascension, and Tristan da Cunha | 7,728 | NA |
| 228 | Saint Barthelemy | 7,332 | July 2012 est. |
| 229 | Saint Pierre and Miquelon | 5,831 | July 2012 est. |
| 230 | Montserrat | 5,164 | NA |
| 231 | Falkland Islands (Islas Malvinas) | 3,140 | July 2008 est. |
| 232 | Norfolk Island | 2,182 | July 2012 est. |
| 233 | Svalbard | 1,970 | July 2012 est. |
| 234 | Christmas Island | 1,496 | July 2010 est. |
| 235 | Tokelau | 1,368 | July 2012 est. |
| 236 | Niue | 1,269 | July 2012 est. |
| 237 | Holy See (Vatican City) | 836 | July 2012 est. |
| 238 | Cocos (Keeling) Islands | 596 | July 2010 est. |
| 239 | Pitcairn Islands | 48 | July 2012 est. |
