CIA - The World Factbook --  Major urban areas - population   

| Rank | country | Major urban areas - population | Date of Information |
| 66 | Brazil | 3,813,000.00 | 2011 |
| 67 | Brazil | 3,733,000.00 | 2011 |
| 68 | Colombia | 3,694,000.00 | 2011 |
| 69 | Tanzania | 3,588,000.00 | 2011 |
| 70 | Saudi Arabia | 3,578,000.00 | 2011 |
| 71 | South Africa | 3,562,000.00 | 2011 |
| 72 | Germany | 3,462,000.00 | 2011 |
| 73 | Greece | 3,414,000.00 | 2011 |
| 74 | Israel | 3,381,000.00 | 2009 |
| 75 | Nigeria | 3,375,000.00 | 2011 |
| 76 | Korea, South | 3,372,000.00 | 2011 |
| 77 | Kenya | 3,363,000.00 | 2011 |
| 78 | South Africa | 3,357,000.00 | 2011 |
| 79 | Japan | 3,328,000.00 | 2011 |
| 80 | Italy | 3,298,000.00 | 2011 |
| 81 | Venezuela | 3,242,000.00 | 2011 |
| 82 | Syria | 3,164,000.00 | 2011 |
| 83 | Afghanistan | 3,097,000.00 | 2011 |
| 84 | Morocco | 3,046,000.00 | 2011 |
| 85 | Pakistan | 3,038,000.00 | 2011 |
| 86 | Senegal | 3,035,000.00 | 2011 |
| 87 | South Africa | 3,012,000.00 | 2011 |
| 88 | Ethiopia | 2,979,000.00 | 2011 |
| 89 | Vietnam | 2,955,000.00 | 2011 |
| 90 | Nigeria | 2,949,000.00 | 2011 |
| 91 | Turkey | 2,927,000.00 | 2011 |
| 92 | Algeria | 2,916,000.00 | 2011 |
| 93 | Italy | 2,909,000.00 | 2011 |
| 94 | Japan | 2,868,000.00 | 2011 |
| 95 | Portugal | 2,843,000.00 | 2011 |
| 96 | Korea, North | 2,843,000.00 | 2011 |
| 97 | Ukraine | 2,829,000.00 | 2011 |
| 98 | Indonesia | 2,787,000.00 | 2011 |
| 99 | Japan | 2,742,000.00 | 2011 |
| 100 | Iran | 2,713,000.00 | 2011 |
| 101 | Syria | 2,650,000.00 | 2011 |
| 102 | Korea, South | 2,622,000.00 | 2011 |
| 103 | Ghana | 2,573,000.00 | 2011 |
| 104 | Puerto Rico | 2,475,000.00 | 2011 |
| 105 | Colombia | 2,453,000.00 | 2011 |
| 106 | Cameroon | 2,449,000.00 | 2011 |
| 107 | Korea, South | 2,447,000.00 | 2011 |
| 108 | Cameroon | 2,432,000.00 | 2011 |
| 109 | Indonesia | 2,429,000.00 | 2011 |
| 110 | Japan | 2,428,000.00 | 2011 |
| 111 | Yemen | 2,419,000.00 | 2011 |
| 112 | Kuwait | 2,406,000.00 | 2011 |
| 113 | Italy | 2,373,000.00 | 2011 |
| 114 | Mexico | 2,335,000.00 | 2011 |
| 115 | Venezuela | 2,310,000.00 | 2011 |
| 116 | Ecuador | 2,287,000.00 | 2011 |
| 117 | United Kingdom | 2,272,000.00 | 2011 |
| 118 | Canada | 2,267,000.00 | 2011 |
| 119 | Uzbekistan | 2,227,000.00 | 2011 |
| 120 | United Kingdom | 2,213,000.00 | 2011 |
| 121 | Haiti | 2,207,000.00 | 2011 |
| 122 | Dominican Republic | 2,191,000.00 | 2011 |
| 123 | Pakistan | 2,164,000.00 | 2011 |
| 124 | Nigeria | 2,153,000.00 | 2011 |
| 125 | Paraguay | 2,139,000.00 | 2011 |
| 126 | Azerbaijan | 2,123,000.00 | 2011 |
| 127 | Indonesia | 2,118,000.00 | 2011 |
| 128 | Cuba | 2,116,000.00 | 2011 |
| 129 | Burkina Faso | 2,053,000.00 | 2011 |
| 130 | Australia | 2,039,000.00 | 2011 |
| 131 | Mali | 2,037,000.00 | 2011 |
| 132 | Lebanon | 2,022,000.00 | 2011 |
| 133 | Ghana | 2,019,000.00 | 2011 |
| 134 | Madagascar | 1,987,000.00 | 2011 |
| 135 | United Arab Emirates | 1,978,000.00 | 2011 |
| 136 | Belgium | 1,949,000.00 | 2011 |
| 137 | Romania | 1,937,000.00 | 2011 |
| 138 | Colombia | 1,900,000.00 | 2011 |
| 139 | Nigeria | 1,894,000.00 | 2011 |
| 140 | Venezuela | 1,866,000.00 | 2011 |
| 141 | Belarus | 1,861,000.00 | 2011 |
| 142 | Morocco | 1,843,000.00 | 2011 |
| 143 | Mexico | 1,820,000.00 | 2011 |
| 144 | Zambia | 1,802,000.00 | 2011 |
| 145 | Germany | 1,796,000.00 | 2011 |
| 146 | Guinea | 1,786,000.00 | 2011 |
| 147 | Bangladesh | 1,781,000.00 | 2011 |
| 148 | Iran | 1,781,000.00 | 2011 |
| 149 | Pakistan | 1,775,000.00 | 2011 |
| 150 | Mexico | 1,748,000.00 | 2011 |
| 151 | Hungary | 1,737,000.00 | 2011 |
| 152 | Poland | 1,723,000.00 | 2011 |
| 153 | Austria | 1,720,000.00 | 2011 |
| 154 | Bolivia | 1,719,000.00 | 2011 |
| 155 | Bolivia | 1,715,000.00 | 2011 |
| 156 | Turkey | 1,713,000.00 | 2011 |
| 157 | Uruguay | 1,672,000.00 | 2011 |
| 158 | Uganda | 1,659,000.00 | 2011 |
| 159 | Australia | 1,649,000.00 | 2011 |
| 160 | Iran | 1,635,000.00 | 2011 |
| 161 | United Kingdom | 1,625,000.00 | 2011 |
| 162 | Ecuador | 1,622,000.00 | 2011 |
| 163 | Italy | 1,613,000.00 | 2011 |
| 164 | Congo, Republic of the | 1,611,000.00 | 2011 |
| 165 | El Salvador | 1,605,000.00 | 2011 |
| 166 | Saudi Arabia | 1,591,000.00 | 2011 |
| 167 | Indonesia | 1,573,000.00 | 2011 |
| 168 | Philippines | 1,565,000.00 | 2011 |
| 169 | Argentina | 1,556,000.00 | 2011 |
| 170 | Congo, Democratic Republic of the | 1,556,000.00 | 2011 |
| 171 | Malaysia | 1,556,000.00 | 2011 |
| 172 | Somalia | 1,554,000.00 | 2011 |
| 173 | Cambodia | 1,550,000.00 | 2011 |
| 174 | Zimbabwe | 1,542,000.00 | 2011 |
| 175 | Korea, South | 1,538,000.00 | 2011 |
| 176 | Nigeria | 1,524,000.00 | 2011 |
| 177 | Togo | 1,524,000.00 | 2011 |
| 178 | Costa Rica | 1,515,000.00 | 2011 |
| 179 | Iran | 1,509,000.00 | 2011 |
| 180 | Congo, Democratic Republic of the | 1,504,000.00 | 2011 |
| 181 | Korea, South | 1,503,000.00 | 2011 |
| 182 | South Africa | 1,501,000.00 | 2011 |
| 183 | Iraq | 1,494,000.00 | 2011 |
| 184 | France | 1,488,000.00 | 2011 |
| 185 | Russia | 1,478,000.00 | 2011 |
| 186 | Turkey | 1,468,000.00 | 2011 |
| 187 | Indonesia | 1,455,000.00 | 2011 |
| 188 | New Zealand | 1,452,000.00 | 2011 |
| 189 | Ukraine | 1,451,000.00 | 2011 |
| 190 | Panama | 1,426,000.00 | 2011 |
| 191 | Kazakhstan | 1,426,000.00 | 2011 |
| 192 | Sweden | 1,385,000.00 | 2011 |
| 193 | Syria | 1,369,000.00 | 2011 |
| 194 | Portugal | 1,367,000.00 | 2011 |
| 195 | Germany | 1,364,000.00 | 2011 |
| 196 | Russia | 1,355,000.00 | 2011 |
| 197 | Iran | 1,321,000.00 | 2011 |
| 198 | Niger | 1,297,000.00 | 2011 |
| 199 | Argentina | 1,283,000.00 | 2011 |
| 200 | Czech Republic | 1,276,000.00 | 2011 |
| 201 | Russia | 1,245,000.00 | 2011 |
| 202 | Venezuela | 1,245,000.00 | 2011 |
| 203 | Canada | 1,216,000.00 | 2011 |
| 204 | Thailand | 1,212,000.00 | 2011 |
| 205 | Canada | 1,208,000.00 | 2011 |
| 206 | Denmark | 1,206,000.00 | 2011 |
| 207 | South Africa | 1,200,000.00 | 2011 |
| 208 | Australia | 1,198,000.00 | 2011 |
| 209 | Turkey | 1,198,000.00 | 2011 |
| 210 | Switzerland | 1,194,000.00 | 2011 |
| 211 | Malaysia | 1,190,000.00 | 2011 |
| 212 | Mongolia | 1,184,000.00 | 2011 |
| 213 | Jordan | 1,179,000.00 | 2011 |
| 214 | Bulgaria | 1,174,000.00 | 2011 |
| 215 | Guatemala | 1,168,000.00 | 2011 |
| 216 | Russia | 1,166,000.00 | 2011 |
| 217 | Mozambique | 1,150,000.00 | 2011 |
| 218 | Saudi Arabia | 1,142,000.00 | 2011 |
| 219 | Canada | 1,142,000.00 | 2011 |
| 220 | United Kingdom | 1,137,000.00 | 2011 |
| 221 | Serbia | 1,135,000.00 | 2011 |
| 222 | Finland | 1,134,000.00 | 2011 |
| 223 | Libya | 1,127,000.00 | 2011 |
| 224 | Georgia | 1,121,000.00 | 2011 |
| 225 | Ireland | 1,121,000.00 | 2011 |
| 226 | Colombia | 1,120,000.00 | 2011 |
| 227 | Armenia | 1,116,000.00 | 2011 |
| 228 | Venezuela | 1,115,000.00 | 2011 |
| 229 | Angola | 1,098,000.00 | 2011 |
| 230 | Honduras | 1,088,000.00 | 2011 |
| 231 | Morocco | 1,088,000.00 | 2011 |
| 232 | Chad | 1,079,000.00 | 2011 |
| 233 | Burma | 1,063,000.00 | 2011 |
| 234 | Burma | 1,060,000.00 | 2011 |
| 235 | Netherlands | 1,056,000.00 | 2011 |
| 236 | Israel | 1,054,000.00 | 2009 |
| 237 | Malaysia | 1,045,000.00 | 2011 |
| 238 | France | 1,042,000.00 | 2011 |
| 239 | Iraq | 1,039,000.00 | 2011 |
| 240 | Nepal | 1,015,000.00 | 2011 |
| 241 | Netherlands | 1,014,000.00 | 2011 |
| 242 | Ukraine | 1,010,000.00 | 2011 |
| 243 | Germany | 1,006,000.00 | 2011 |
| 244 | Rwanda | 1,004,000.00 | 2011 |
| 245 | Ukraine | 994,000.00 | 2011 |
| 246 | France | 991,000.00 | 2011 |
| 247 | Colombia | 988,000.00 | 2011 |
| 248 | United Arab Emirates | 983,000.00 | 2011 |
| 249 | Kenya | 972,000.00 | 2011 |
| 250 | Nicaragua | 970,000.00 | 2011 |
| 251 | Cote d'Ivoire | 966,000.00 | 2011 |
| 252 | Ukraine | 959,000.00 | 2011 |
| 253 | Belgium | 959,000.00 | 2011 |
| 254 | Argentina | 957,000.00 | 2011 |
| 255 | United Arab Emirates | 942,000.00 | 2011 |
| 256 | Iraq | 942,000.00 | 2011 |
| 257 | Saudi Arabia | 941,000.00 | 2011 |
| 258 | Sierra Leone | 941,000.00 | 2011 |
| 259 | Morocco | 939,000.00 | 2011 |
| 260 | Syria | 933,000.00 | 2011 |
| 261 | France | 933,000.00 | 2011 |
| 262 | Bangladesh | 932,000.00 | 2011 |
| 263 | Vietnam | 925,000.00 | 2011 |
| 264 | Benin | 924,000.00 | 2011 |
| 265 | Pakistan | 919,000.00 | 2011 |
| 266 | Italy | 915,000.00 | 2011 |
| 267 | Norway | 915,000.00 | 2011 |
| 268 | Congo, Democratic Republic of the | 888,000.00 | 2011 |
| 269 | Philippines | 884,000.00 | 2011 |
| 270 | Greece | 883,000.00 | 2011 |
| 271 | Chile | 883,000.00 | 2011 |
| 272 | United Kingdom | 874,000.00 | 2011 |
| 273 | Argentina | 868,000.00 | 2011 |
| 274 | Iraq | 867,000.00 | 2011 |
| 275 | Philippines | 855,000.00 | 2011 |
| 276 | Kyrgyzstan | 839,000.00 | 2011 |
| 277 | Vietnam | 834,000.00 | 2011 |
| 278 | Congo, Republic of the | 834,000.00 | 2011 |
| 279 | Congo, Democratic Republic of the | 820,000.00 | 2011 |
| 280 | Morocco | 810,000.00 | 2011 |
| 281 | Laos | 810,000.00 | 2011 |
| 282 | Morocco | 805,000.00 | 2011 |
| 283 | Peru | 804,000.00 | 2011 |
| 284 | Venezuela | 799,000.00 | 2011 |
| 285 | Spain | 797,000.00 | 2011 |
| 286 | Israel | 791,000.00 | 2009 |
| 287 | Tunisia | 790,000.00 | 2011 |
| 288 | Mozambique | 790,000.00 | 2011 |
| 289 | Mauritania | 786,000.00 | 2011 |
| 290 | Yemen | 784,000.00 | 2011 |
| 291 | Italy | 784,000.00 | 2011 |
| 292 | Algeria | 783,000.00 | 2011 |
| 293 | Iraq | 779,000.00 | 2011 |
| 294 | Malawi | 772,000.00 | 2011 |
| 295 | Ukraine | 771,000.00 | 2011 |
| 296 | Chile | 770,000.00 | 2011 |
| 297 | Argentina | 759,000.00 | 2011 |
| 298 | Poland | 756,000.00 | 2011 |
| 299 | Liberia | 750,000.00 | 2011 |
| 300 | Oman | 743,000.00 | 2011 |
| 301 | Central African Republic | 740,000.00 | 2011 |
| 302 | Tajikistan | 739,000.00 | 2011 |
| 303 | Eritrea | 712,000.00 | 2011 |
| 304 | Latvia | 701,000.00 | 2011 |
| 305 | Sri Lanka | 693,000.00 | 2011 |
| 306 | Gabon | 686,000.00 | 2011 |
| 307 | Croatia | 686,000.00 | 2011 |
| 308 | Turkmenistan | 683,000.00 | 2011 |
| 309 | Moldova | 677,000.00 | 2011 |
| 310 | Kazakhstan | 664,000.00 | 2011 |
| 311 | Netherlands | 635,000.00 | 2011 |
| 312 | Burundi | 605,000.00 | 2011 |
| 313 | Jamaica | 571,000.00 | 2011 |
| 314 | Qatar | 567,000.00 | 2011 |
| 315 | Lithuania | 546,000.00 | 2011 |
| 316 | Gambia, The | 506,000.00 | 2011 |
| 317 | Macedonia | 499,000.00 | 2011 |
| 318 | Djibouti | 496,000.00 | 2011 |
| 319 | South Africa | 468,000.00 | 2011 |
| 320 | Slovakia | 434,000.00 | 2011 |
| 321 | Guinea-Bissau | 423,000.00 | 2011 |
| 322 | Albania | 419,000.00 | 2011 |
| 323 | New Zealand | 410,000.00 | 2011 |
| 324 | Estonia | 400,000.00 | 2011 |
| 325 | Australia | 399,000.00 | 2011 |
| 326 | Bosnia and Herzegovina | 389,000.00 | 2011 |
| 327 | Namibia | 380,000.00 | 2011 |
| 328 | Switzerland | 353,000.00 | 2011 |
| 329 | Papua New Guinea | 343,000.00 | 2011 |
| 330 | Benin | 314,000.00 | 2011 |
| 331 | Bolivia | 307,000.00 | 2011 |
| 332 | Suriname | 278,000.00 | 2011 |
| 333 | Slovenia | 273,000.00 | 2011 |
| 334 | South Sudan | 269,000.00 | 2011 |
| 335 | Bahrain | 262,000.00 | 2011 |
| 336 | Bahamas, The | 254,000.00 | 2011 |
| 337 | Cyprus | 253,000.00 | 2011 |
| 338 | Brunei | 241,000.00 | 2011 |
| 339 | Lesotho | 239,000.00 | 2011 |
| 340 | Western Sahara | 237,000.00 | 2011 |
| 341 | Iceland | 206,000.00 | 2011 |
| 342 | Botswana | 202,000.00 | 2011 |
| 343 | Malta | 198,000.00 | 2011 |
| 344 | Timor-Leste | 180,000.00 | 2011 |
| 345 | Fiji | 177,000.00 | 2011 |
| 346 | Guam | 169,000.00 | 2011 |
| 347 | New Caledonia | 157,000.00 | 2011 |
| 348 | Montenegro | 156,000.00 | 2011 |
| 349 | Mauritius | 151,000.00 | 2011 |
| 350 | French Polynesia | 137,000.00 | 2011 |
| 351 | Equatorial Guinea | 137,000.00 | 2011 |
| 352 | Cabo Verde | 132,000.00 | 2011 |
| 353 | Maldives | 132,000.00 | 2011 |
| 354 | Guyana | 127,000.00 | 2011 |
| 355 | Sri Lanka | 126,000.00 | 2011 |
| 356 | Barbados | 122,000.00 | 2011 |
| 357 | Bhutan | 99,000.00 | 2011 |
| 358 | Luxembourg | 94,000.00 | 2011 |
| 359 | Solomon Islands | 68,000.00 | 2011 |
| 360 | Swaziland | 66,000.00 | 2011 |
| 361 | Trinidad and Tobago | 66,000.00 | 2011 |
| 362 | American Samoa | 64,000.00 | 2011 |
| 363 | Sao Tome and Principe | 64,000.00 | 2011 |
| 364 | Virgin Islands | 60,000.00 | 2011 |
| 365 | Northern Mariana Islands | 56,000.00 | 2011 |
| 366 | Comoros | 54,000.00 | 2011 |
| 367 | Vanuatu | 47,000.00 | 2011 |
| 368 | Kiribati | 44,000.00 | 2011 |
| 369 | Grenada | 41,000.00 | 2011 |
| 370 | Aruba | 37,000.00 | 2011 |
| 371 | Samoa | 37,000.00 | 2011 |
| 372 | Saint Vincent and the Grenadines | 31,000.00 | 2011 |
| 373 | Marshall Islands | 31,000.00 | 2011 |
| 374 | Cayman Islands | 28,000.00 | 2011 |
| 375 | Seychelles | 27,000.00 | 2011 |
| 376 | Antigua and Barbuda | 27,000.00 | 2011 |
| 377 | Isle of Man | 27,000.00 | 2011 |
| 378 | Tonga | 25,000.00 | 2011 |
| 379 | Andorra | 23,000.00 | 2011 |
| 380 | Saint Lucia | 21,000.00 | 2011 |
| 381 | Faroe Islands | 20,000.00 | 2011 |
| 382 | Greenland | 16,000.00 | 2011 |
| 383 | Dominica | 14,000.00 | 2011 |
| 384 | Belize | 14,000.00 | 2011 |
| 385 | Saint Kitts and Nevis | 12,000.00 | 2011 |
| 386 | Bermuda | 11,000.00 | 2011 |
| 387 | British Virgin Islands | 10,000.00 | 2011 |
| 388 | Turks and Caicos Islands | 7,000.00 | 2011 |
| 389 | Micronesia, Federated States of | 7,000.00 | 2011 |
| 390 | Tuvalu | 5,000.00 | 2011 |
| 391 | Liechtenstein | 5,000.00 | 2011 |
| 392 | Saint Pierre and Miquelon | 5,000.00 | 2011 |
| 393 | Anguilla | 2,000.00 | 2011 |
| 394 | Falkland Islands (Islas Malvinas) | 2,000.00 | 2011 |
| 395 | Saint Helena, Ascension, and Tristan da Cunha | 1,000.00 | 2011 |
| 396 | Wallis and Futuna | 1,000.00 | 2011 |
| 397 | Palau | 1,000.00 | 2011 |


