CIA - The World Factbook --  Imports - partners   

| Rank | country | (%) | Date of Information |
| 354 | Estonia | 10.70 | 2012 |
| 355 | India | 10.70 | 2012 |
| 356 | Estonia | 10.70 | 2012 |
| 357 | Fiji | 10.70 | 2012 |
| 358 | Macedonia | 10.60 | 2012 est. |
| 359 | Belgium | 10.60 | 2012 |
| 360 | Djibouti | 10.60 | 2012 |
| 361 | Singapore | 10.60 | 2012 |
| 362 | Tonga | 10.50 | 2012 |
| 363 | Mauritania | 10.50 | 2012 |
| 364 | United Arab Emirates | 10.50 | 2012 |
| 365 | Macedonia | 10.50 | 2012 est. |
| 366 | Switzerland | 10.46 | 2013 est. |
| 367 | Philippines | 10.40 | 2012 |
| 368 | Luxembourg | 10.40 | 2012 |
| 369 | Vietnam | 10.40 | 2012 |
| 370 | Vanuatu | 10.40 | 2012 |
| 371 | Slovenia | 10.40 | 2012 |
| 372 | Zambia | 10.40 | 2012 |
| 373 | Lithuania | 10.30 | 2013 est. |
| 374 | Singapore | 10.30 | 2012 |
| 375 | Malaysia | 10.30 | 2012 |
| 376 | Algeria | 10.30 | 2012 |
| 377 | Tonga | 10.20 | 2012 |
| 378 | Sierra Leone | 10.20 | 2012 |
| 379 | Singapore | 10.20 | 2012 |
| 380 | Iceland | 10.20 | 2012 |
| 381 | South Africa | 10.10 | 2012 |
| 382 | Burundi | 10.10 | 2012 |
| 383 | Niger | 10.10 | 2012 |
| 384 | Bolivia | 10.10 | 2012 |
| 385 | Nigeria | 10.10 | 2012 |
| 386 | Zimbabwe | 10.00 | 2012 |
| 387 | Estonia | 10.00 | 2012 |
| 388 | Slovakia | 9.90 | 2012 |
| 389 | Mali | 9.90 | 2012 |
| 390 | Bermuda | 9.90 | 2012 |
| 391 | Bosnia and Herzegovina | 9.90 | 2012 est. |
| 392 | Suriname | 9.90 | 2012 |
| 393 | Bosnia and Herzegovina | 9.80 | 2012 est. |
| 394 | Yemen | 9.80 | 2013 est. |
| 395 | Kenya | 9.80 | 2012 |
| 396 | Bosnia and Herzegovina | 9.70 | 2012 est. |
| 397 | Central African Republic | 9.70 | 2012 |
| 398 | Bahrain | 9.60 | 2012 |
| 399 | Maldives | 9.60 | 2012 |
| 400 | Bahrain | 9.50 | 2012 |
| 401 | Taiwan | 9.50 | 2012 est. |
| 402 | Greece | 9.50 | 2013 est. |
