CIA - The World Factbook --  HIV/AIDS - deaths   

HIV/AIDS - deaths compares the number of adults and children who died of AIDS during a given calendar year.

| Rank | country | HIV/AIDS - deaths | Date of Information |
| 89 | Jordan | 500 | 2003 est. |
| 90 | Kazakhstan | 500 | 2009 est. |
| 91 | Korea, South | 500 | 2009 est. |
| 92 | Lebanon | 500 | 2009 est. |
| 93 | Portugal | 500 | 2009 est. |
| 94 | Estonia | 500 | 2009 est. |
| 95 | Gambia, The | 500 | 2012 est. |
| 96 | Greece | 500 | 2009 est. |
| 97 | Bangladesh | 400 | 2012 est. |
| 98 | Laos | 400 | 2012 est. |
| 99 | Bermuda | 392 | 2005 est. |
| 100 | Costa Rica | 300 | 2012 est. |
| 101 | Kyrgyzstan | 300 | 2012 est. |
| 102 | Afghanistan | 300 | 2012 est. |
| 103 | Egypt | 300 | 2012 est. |
| 104 | Paraguay | 300 | 2012 est. |
| 105 | Bahamas, The | 300 | 2012 est. |
| 106 | Philippines | 300 | 2012 est. |
| 107 | Georgia | 200 | 2012 est. |
| 108 | Poland | 200 | 2009 est. |
| 109 | Armenia | 200 | 2012 est. |
| 110 | Syria | 200 | 2003 est. |
| 111 | Bahrain | 200 | 2003 est. |
| 112 | Hungary | 200 | 2009 est. |
| 113 | Sri Lanka | 200 | 2012 est. |
| 114 | Hong Kong | 200 | 2003 est. |
| 115 | Brunei | 200 | 2003 est. |
| 116 | Bulgaria | 200 | 2009 est. |
| 117 | Turkey | 200 | 2009 est. |
| 118 | Iceland | 100 | 2009 est. |
| 119 | Ireland | 100 | 2009 est. |
| 120 | Israel | 100 | 2009 est. |
| 121 | Japan | 100 | 2009 est. |
| 122 | Qatar | 100 | 2009 est. |
| 123 | Australia | 100 | 2009 est. |
| 124 | Austria | 100 | 2009 est. |
| 125 | Belgium | 100 | 2009 est. |
| 126 | Belize | 100 | 2012 est. |
| 127 | Bhutan | 100 | 2012 est. |
| 128 | Bosnia and Herzegovina | 100 | 2001 est. |
| 129 | Comoros | 100 | 2009 est. |
| 130 | Croatia | 100 | 2009 est. |
| 131 | Cuba | 100 | 2009 est. |
| 132 | Czech Republic | 100 | 2009 est. |
| 133 | Denmark | 100 | 2009 est. |
| 134 | Guyana | 100 | 2012 est. |
| 135 | Oman | 100 | 2009 est. |
| 136 | Norway | 100 | 2009 est. |
| 137 | Nicaragua | 100 | 2012 est. |
| 138 | New Zealand | 100 | 2009 est. |
| 139 | Netherlands | 100 | 2009 est. |
| 140 | Mongolia | 100 | 2009 est. |
| 141 | Malta | 100 | 2009 est. |
| 142 | Maldives | 100 | 2009 est. |
| 143 | Macedonia | 100 | 2003 est. |
| 144 | Luxembourg | 100 | 2009 est. |
| 145 | Lithuania | 100 | 2009 est. |
| 146 | Turkmenistan | 100 | 2004 est. |
| 147 | Tunisia | 100 | 2012 est. |
| 148 | Switzerland | 100 | 2009 est. |
| 149 | Sweden | 100 | 2009 est. |
| 150 | Suriname | 100 | 2012 est. |
| 151 | Slovenia | 100 | 2009 est. |
| 152 | Slovakia | 100 | 2009 est. |
| 153 | Singapore | 100 | 2009 est. |
| 154 | Sao Tome and Principe | 100 | 2012 est. |
| 155 | Serbia | 100 | 2009 est. |
| 156 | Fiji | 100 | 2009 est. |
| 157 | Finland | 100 | 2009 est. |
| 158 | Svalbard | 0 | 2001 est. |


