CIA - The World Factbook --  Radio broadcast stations   

| Rank | country | Radio broadcast stations | Date of Information |
| 190 | Chile | 17.00 | 1998 |
| 191 | Antigua and Barbuda | 17.00 | 2008 |
| 192 | Bangladesh | 17.00 | 2009 |
| 193 | Czech Republic | 17.00 | 2000 |
| 194 | Tajikistan | 16.00 | 2009 |
| 195 | Virgin Islands | 16.00 | 2005 |
| 196 | Libya | 16.00 | 2001 |
| 197 | Bosnia and Herzegovina | 16.00 | 1998 |
| 198 | Armenia | 16.00 | 2006 |
| 199 | Aruba | 16.00 | 2004 |
| 200 | Belize | 16.00 | 2006 |
| 201 | Croatia | 16.00 | 1999 |
| 202 | Sri Lanka | 15.00 | 2007 |
| 203 | Syria | 15.00 | 2010 |
| 204 | Mexico | 15.00 | 2009 |
| 205 | Guatemala | 15.00 | 2000 |
| 206 | Israel | 15.00 | 2010 |
| 207 | Malaysia | 15.00 | 2001 |
| 208 | Morocco | 15.00 | 2009 |
| 209 | South Africa | 14.00 | 1998 |
| 210 | Syria | 14.00 | 2010 |
| 211 | Mauritania | 14.00 | 2001 |
| 212 | Poland | 14.00 | 2008 |
| 213 | Cayman Islands | 14.00 | 2009 |
| 214 | Korea, North | 14.00 | 2006 |
| 215 | French Polynesia | 14.00 | 1998 |
| 216 | Greenland | 14.00 | 2008 |
| 217 | Korea, North | 14.00 | 2006 |
| 218 | United Arab Emirates | 13.00 | 2004 |
| 219 | Mozambique | 13.00 | 2001 |
| 220 | Faroe Islands | 13.00 | 1998 |
| 221 | Botswana | 13.00 | 2001 |
| 222 | Albania | 13.00 | 2005 |
| 223 | Barbados | 13.00 | 2009 |
| 224 | Fiji | 13.00 | 1998 |
| 225 | Sudan | 12.00 | 1998 |
| 226 | Tanzania | 12.00 | 1998 |
| 227 | Grenada | 12.00 | 2009 |
| 228 | Honduras | 12.00 | 1998 |
| 229 | Georgia | 12.00 | 1998 |
| 230 | Turkmenistan | 12.00 | 2008 |
| 231 | Somalia | 11.00 | 2001 |
| 232 | Tanzania | 11.00 | 1998 |
| 233 | Monaco | 11.00 | 2008 |
| 234 | Mozambique | 11.00 | 2001 |
| 235 | Nigeria | 11.00 | 2001 |
| 236 | Belarus | 11.00 | 1998 |
| 237 | Kuwait | 11.00 | 1998 |
| 238 | Congo, Democratic Republic of the | 11.00 | 2001 |
| 239 | Anguilla | 11.00 | 2009 |
| 240 | Azerbaijan | 11.00 | 2010 |
| 241 | Bahamas, The | 11.00 | 2009 |
| 242 | Saint Lucia | 11.00 | 2008 |
| 243 | Slovenia | 10.00 | 2006 |
| 244 | Rwanda | 10.00 | 2007 |
| 245 | Hong Kong | 10.00 | 2009 |
| 246 | Azerbaijan | 10.00 | 2010 |
| 247 | Liberia | 10.00 | 2007 |
| 248 | Gaza Strip | 10.00 | 2008 |
| 249 | Iran | 10.00 | 2010 |
| 250 | Sierra Leone | 9.00 | 2001 |
| 251 | Cameroon | 9.00 | 2001 |
| 252 | Turkmenistan | 9.00 | 2008 |
| 253 | Mauritius | 9.00 | 2001 |
| 254 | Oman | 9.00 | 1999 |
| 255 | Ireland | 9.00 | 1998 |
| 256 | Italy | 9.00 | 1998 |
| 257 | Kazakhstan | 9.00 | 2008 |
| 258 | Luxembourg | 9.00 | 1999 |
| 259 | Madagascar | 9.00 | 2001 |
| 260 | Malawi | 9.00 | 2001 |
| 261 | Cote d'Ivoire | 9.00 | 1998 |
| 262 | Armenia | 9.00 | 2006 |
| 263 | Bhutan | 9.00 | 2007 |
| 264 | Togo | 9.00 | 1998 |
| 265 | Senegal | 8.00 | 2001 |
| 266 | United Arab Emirates | 8.00 | 2004 |
| 267 | Papua New Guinea | 8.00 | 1998 |
