CIA - The World Factbook --  Drinking water source   

| Rank | country | (% of population) | Date of Information |
| 195 | Sao Tome and Principe | 98.90 | 2012 est. |
| 196 | Korea, North | 98.90 | 2012 est. |
| 197 | Macedonia | 98.80 | 2012 est. |
| 198 | Chile | 98.80 | 2012 est. |
| 199 | Egypt | 98.80 | 2012 est. |
| 200 | Turkey | 98.80 | 2012 est. |
| 201 | Samoa | 98.80 | 2012 est. |
| 202 | Argentina | 98.70 | 2012 est. |
| 203 | Russia | 98.70 | 2012 est. |
| 204 | Niger | 98.70 | 2012 est. |
| 205 | Georgia | 98.70 | 2012 est. |
| 206 | Croatia | 98.60 | 2012 est. |
| 207 | Niue | 98.60 | 2012 est. |
| 208 | Maldives | 98.60 | 2012 est. |
| 209 | Saint Lucia | 98.60 | 2012 est. |
| 210 | Niue | 98.60 | 2012 est. |
| 211 | Uzbekistan | 98.50 | 2012 est. |
| 212 | Samoa | 98.50 | 2012 est. |
| 213 | New Caledonia | 98.50 | 2012 est. |
| 214 | New Caledonia | 98.50 | 2012 est. |
| 215 | Morocco | 98.50 | 2012 est. |
| 216 | New Caledonia | 98.50 | 2012 est. |
| 217 | Niue | 98.50 | 2012 est. |
| 218 | Romania | 98.50 | 2008 est. |
| 219 | Malaysia | 98.50 | 2012 est. |
| 220 | Namibia | 98.40 | 2012 est. |
| 221 | Bahamas, The | 98.40 | 2012 est. |
| 222 | Belize | 98.40 | 2012 est. |
| 223 | Bahamas, The | 98.40 | 2012 est. |
| 224 | Bahamas, The | 98.40 | 2012 est. |
| 225 | China | 98.40 | 2012 est. |
| 226 | Latvia | 98.40 | 2012 est. |
| 227 | Tuvalu | 98.30 | 2012 est. |
| 228 | Saint Kitts and Nevis | 98.30 | 2012 est. |
| 229 | Saint Kitts and Nevis | 98.30 | 2012 est. |
| 230 | Saint Kitts and Nevis | 98.30 | 2012 est. |
| 231 | Vietnam | 98.20 | 2012 est. |
| 232 | Ukraine | 98.10 | 2012 est. |
| 233 | Korea, North | 98.10 | 2012 est. |
| 234 | Bhutan | 98.10 | 2012 est. |
| 235 | Suriname | 98.10 | 2012 est. |
| 236 | United States | 98.00 | 2012 est. |
| 237 | Montenegro | 98.00 | 2012 est. |
| 238 | British Virgin Islands | 98.00 | 2010 est. |
| 239 | British Virgin Islands | 98.00 | 2010 est. |
| 240 | British Virgin Islands | 98.00 | 2010 est. |
| 241 | Ukraine | 98.00 | 2012 est. |
| 242 | Guyana | 97.90 | 2012 est. |
| 243 | Antigua and Barbuda | 97.90 | 2012 est. |
| 244 | Antigua and Barbuda | 97.90 | 2012 est. |
| 245 | Antigua and Barbuda | 97.90 | 2012 est. |
| 246 | Maldives | 97.90 | 2012 est. |
| 247 | Aruba | 97.80 | 2012 est. |
| 248 | Vanuatu | 97.80 | 2012 est. |
| 249 | Aruba | 97.80 | 2012 est. |
| 250 | Aruba | 97.80 | 2012 est. |
| 251 | Korea, South | 97.80 | 2012 est. |
| 252 | Iran | 97.70 | 2012 est. |
| 253 | Ukraine | 97.70 | 2012 est. |
| 254 | Tuvalu | 97.70 | 2012 est. |
| 255 | Nicaragua | 97.60 | 2012 est. |
| 256 | Guyana | 97.60 | 2012 est. |
| 257 | Estonia | 97.60 | 2012 est. |
| 258 | Northern Mariana Islands | 97.50 | 2012 est. |
| 259 | Marshall Islands | 97.50 | 2012 est. |
| 260 | Burkina Faso | 97.50 | 2012 est. |
| 261 | Brazil | 97.50 | 2012 est. |
| 262 | Northern Mariana Islands | 97.50 | 2012 est. |
| 263 | Northern Mariana Islands | 97.50 | 2012 est. |
| 264 | Tokelau | 97.40 | 2012 est. |
| 265 | Tokelau | 97.40 | 2012 est. |
| 266 | Trinidad and Tobago | 97.40 | 2011 est. |
| 267 | Samoa | 97.40 | 2012 est. |
| 268 | Bhutan | 97.30 | 2012 est. |
| 269 | Georgia | 97.30 | 2012 est. |
| 270 | Jordan | 97.30 | 2012 est. |
| 271 | Albania | 97.30 | 2012 est. |
| 272 | Zimbabwe | 97.30 | 2012 est. |
| 273 | Jamaica | 97.10 | 2012 est. |
| 274 | Kyrgyzstan | 97.10 | 2012 est. |
| 275 | Saudi Arabia | 97.00 | 2012 est. |
| 276 | Saudi Arabia | 97.00 | 2012 est. |
| 277 | Russia | 97.00 | 2012 est. |
| 278 | Tuvalu | 97.00 | 2012 est. |
| 279 | Saudi Arabia | 97.00 | 2012 est. |
| 280 | Palau | 97.00 | 2011 est. |
| 281 | Sao Tome and Principe | 97.00 | 2012 est. |
| 282 | Korea, North | 96.90 | 2012 est. |
| 283 | Colombia | 96.90 | 2012 est. |
| 284 | Tunisia | 96.80 | 2012 est. |
| 285 | Croatia | 96.80 | 2012 est. |
| 286 | Botswana | 96.80 | 2012 est. |
| 287 | Grenada | 96.80 | 2012 est. |
| 288 | Gabon | 96.80 | 2012 est. |
| 289 | Ethiopia | 96.80 | 2012 est. |
| 290 | Honduras | 96.80 | 2012 est. |
| 291 | Panama | 96.80 | 2012 est. |
| 292 | Comoros | 96.70 | 2012 est. |
| 293 | Thailand | 96.70 | 2012 est. |
| 294 | India | 96.70 | 2012 est. |
| 295 | Guyana | 96.60 | 2012 est. |
| 296 | Costa Rica | 96.60 | 2012 est. |
| 297 | Moldova | 96.50 | 2012 est. |
| 298 | Seychelles | 96.30 | 2012 est. |
| 299 | Fiji | 96.30 | 2012 est. |
| 300 | Seychelles | 96.30 | 2012 est. |
| 301 | Nauru | 96.30 | 2012 est. |
| 302 | Seychelles | 96.30 | 2012 est. |
| 303 | Cuba | 96.30 | 2012 est. |
| 304 | Nauru | 96.30 | 2012 est. |
| 305 | Jordan | 96.10 | 2012 est. |
| 306 | Guinea-Bissau | 96.10 | 2012 est. |
| 307 | Bolivia | 96.00 | 2012 est. |
| 308 | Iran | 95.90 | 2012 est. |
| 309 | Lithuania | 95.90 | 2012 est. |
| 310 | Mexico | 95.90 | 2012 est. |
| 311 | Thailand | 95.80 | 2012 est. |
| 312 | Latvia | 95.80 | 2012 est. |
| 313 | Albania | 95.70 | 2012 est. |
| 314 | Congo, Republic of the | 95.70 | 2012 est. |
| 315 | Dominica | 95.70 | 2012 est. |
| 316 | Pakistan | 95.70 | 2012 est. |
| 317 | Cayman Islands | 95.60 | 2012 est. |
| 318 | Cayman Islands | 95.60 | 2012 est. |
| 319 | Oman | 95.50 | 2012 est. |
| 320 | Montenegro | 95.30 | 2012 est. |
| 321 | Grenada | 95.30 | 2012 est. |
| 322 | Palau | 95.30 | 2011 est. |
| 323 | Thailand | 95.30 | 2012 est. |
| 324 | Argentina | 95.30 | 2012 est. |
| 325 | Suriname | 95.20 | 2012 est. |
| 326 | Timor-Leste | 95.20 | 2012 est. |
| 327 | Saint Vincent and the Grenadines | 95.10 | 2012 est. |
