CIA - The World Factbook --  Labor force - by occupation   

| Rank | country | (%) | Date of Information |
| 395 | Hong Kong | 17.10 | 2013 est. |
| 396 | Cameroon | 17.00 | 2001 est. |
| 397 | Colombia | 17.00 | 2011 est. |
| 398 | Bermuda | 17.00 | 2004 est. |
| 399 | Jamaica | 17.00 | 2006 |
| 400 | Panama | 17.00 | 2009 est. |
| 401 | Saint Vincent and the Grenadines | 17.00 | 1980 est. |
| 402 | Syria | 17.00 | 2008 est. |
| 403 | Libya | 17.00 | 2004 est. |
| 404 | Cambodia | 16.90 | 2010 est. |
| 405 | Iran | 16.90 | 2012 est. |
| 406 | Curacao | 16.90 | 2008 est. |
| 407 | Armenia | 16.80 | 2008 est. |
| 408 | Serbia | 16.50 | 2013 est. |
| 409 | Namibia | 16.30 | 2008 est. |
| 410 | Marshall Islands | 16.30 | 2011 est. |
| 411 | West Bank | 16.10 | 2010 est. |
| 412 | Monaco | 16.10 | 2012 est. |
| 413 | Syria | 16.00 | 2008 est. |
| 414 | Wallis and Futuna | 16.00 | 2001 est. |
| 415 | Algeria | 16.00 | 2003 est. |
| 416 | Brazil | 15.70 | 2011 est. |
| 417 | Afghanistan | 15.70 | FY08/09 est. |
| 418 | Gaza Strip | 15.60 | 2010 est. |
| 419 | Finland | 15.50 | 2011 |
| 420 | Sint Maarten | 15.20 | 2008 est. |
| 421 | Cook Islands | 15.00 | 1995 |
| 422 | United Arab Emirates | 15.00 | 2000 est. |
| 423 | Angola | 15.00 | 2003 est. |
| 424 | Barbados | 15.00 | 1996 est. |
| 425 | Bermuda | 15.00 | 2004 est. |
| 426 | Gabon | 15.00 | 2000 est. |
| 427 | Macau | 15.00 | 2013 |
| 428 | Maldives | 15.00 | 2010 est. |
| 429 | Maldives | 15.00 | 2010 est. |
| 430 | Philippines | 15.00 | 2012 est. |
| 431 | Ghana | 15.00 | 2005 est. |
| 432 | Algeria | 14.60 | 2003 est. |
| 433 | Dominican Republic | 14.60 | 2005 |
| 434 | Norfolk Island | 14.00 | 2006 est. |
| 435 | Suriname | 14.00 | 2004 |
| 436 | Guatemala | 14.00 | 2011 est. |
| 437 | Costa Rica | 14.00 | 2006 est. |
| 438 | Algeria | 14.00 | 2003 est. |
| 439 | Uruguay | 14.00 | 2010 est. |
| 440 | Turkmenistan | 14.00 | 2004 est. |
| 441 | Lesotho | 14.00 | 2002 est. |
| 442 | Thailand | 13.60 | 2011 est. |
| 443 | Mexico | 13.40 | 2011 |
| 444 | Algeria | 13.40 | 2003 est. |
| 445 | Brazil | 13.30 | 2011 est. |
| 446 | Finland | 13.30 | 2011 |
| 447 | Uzbekistan | 13.20 | 2012 est. |
| 448 | Moldova | 13.20 | 2012 est. |
| 449 | Indonesia | 13.20 | 2012 est. |
| 450 | Chile | 13.20 | 2005 |
| 451 | Bangladesh | 13.00 | 2010 est. |
| 452 | Cameroon | 13.00 | 2001 est. |
| 453 | Canada | 13.00 | 2006 est. |
| 454 | French Polynesia | 13.00 | 2002 |
| 455 | Mozambique | 13.00 | 1997 est. |
| 456 | Sudan | 13.00 | 1998 est. |
| 457 | Uruguay | 13.00 | 2010 est. |
| 458 | Uganda | 13.00 | 1999 est. |
| 459 | Poland | 12.90 | 2010 |
| 460 | Albania | 12.80 | December 2012 est. |
| 461 | Trinidad and Tobago | 12.80 | 2007 est. |
| 462 | Hong Kong | 12.50 | 2013 est. |
| 463 | Kyrgyzstan | 12.50 | 2005 est. |
| 464 | Macau | 12.40 | 2013 |
| 465 | Greece | 12.40 | 2005 est. |
| 466 | Azerbaijan | 12.10 | 2008 |
| 467 | Kazakhstan | 11.90 | 2012 |
| 468 | Portugal | 11.70 | 2009 est. |
| 469 | Haiti | 11.50 | 2010 |
| 470 | Malaysia | 11.10 | 2012 est. |
| 471 | Grenada | 11.00 | 2008 est. |
| 472 | Bahamas, The | 11.00 | 2011 est. |
| 473 | Antigua and Barbuda | 11.00 | 1983 |
| 474 | Isle of Man | 11.00 | 2006 |
| 475 | Marshall Islands | 11.00 | 2011 est. |
| 476 | Faroe Islands | 10.70 | November 2010 |
| 477 | Tajikistan | 10.70 | 2013 est. |
| 478 | Mongolia | 10.60 | 2011 |
| 479 | Belize | 10.20 | 2007 |
| 480 | Hong Kong | 10.10 | 2013 est. |
| 481 | Algeria | 10.00 | 2003 est. |
| 482 | Anguilla | 10.00 | 2000 est. |
| 483 | Barbados | 10.00 | 1996 est. |
| 484 | Northern Mariana Islands | 10.00 | 2010 est. |
| 485 | Ethiopia | 10.00 | 2009 est. |
| 486 | Rwanda | 10.00 | 2000 |
| 487 | Nigeria | 10.00 | 1999 est. |
| 488 | Malawi | 10.00 | 2003 est. |
| 489 | Zimbabwe | 10.00 | 1996 |
| 490 | Burkina Faso | 10.00 | 2000 est. |
| 491 | Timor-Leste | 10.00 | 2010 |
| 492 | Finland | 9.90 | 2011 |
| 493 | Macau | 9.80 | 2013 |
| 494 | Russia | 9.70 | 2012 |
| 495 | Belarus | 9.40 | 2005 est. |
| 496 | South Africa | 9.00 | 2007 est. |
| 497 | Isle of Man | 9.00 | 2006 |
| 498 | Zambia | 9.00 | 2004 |
| 499 | Mauritius | 9.00 | 2007 |
| 500 | Georgia | 8.90 | 2006 est. |
| 501 | Latvia | 8.80 | 2010 est. |
| 502 | Cyprus | 8.50 | 2006 est. |
| 503 | Suriname | 8.00 | 2004 |
| 504 | Isle of Man | 8.00 | 2006 |
| 505 | Isle of Man | 8.00 | 2006 |
| 506 | Liberia | 8.00 | 2000 est. |
| 507 | Lithuania | 7.90 | 2012 est. |
| 508 | Venezuela | 7.30 | 4th quarter, 2011 est. |
| 509 | Finland | 7.10 | 2011 |
| 510 | Bulgaria | 7.10 | 2009 |
| 511 | Macau | 7.10 | 2013 |
| 512 | Hungary | 7.10 | 2011 |
| 513 | Bermuda | 7.00 | 2004 est. |
| 514 | Burma | 7.00 | 2001 |
| 515 | United Arab Emirates | 7.00 | 2000 est. |
| 516 | Antigua and Barbuda | 7.00 | 1983 |
| 517 | Sudan | 7.00 | 1998 est. |
| 518 | New Zealand | 7.00 | 2006 est. |
| 519 | Nepal | 7.00 | 2010 est. |
| 520 | Mauritius | 7.00 | 2007 |
| 521 | Isle of Man | 7.00 | 2006 |
| 522 | Korea, South | 6.90 | October 2013 est. |
| 523 | Saudi Arabia | 6.70 | 2005 est. |
| 524 | Montenegro | 6.30 | 2011 est. |
| 525 | Laos | 6.10 | 2012 est. |
| 526 | Niger | 6.00 | 1995 |
| 527 | Saint Helena, Ascension, and Tristan da Cunha | 6.00 | 1987 est. |
| 528 | Canada | 6.00 | 2006 est. |
| 529 | Norfolk Island | 6.00 | 2006 est. |
| 530 | Gambia, The | 6.00 | 1996 |
| 531 | Mauritius | 6.00 | 2007 |
| 532 | Zambia | 6.00 | 2004 |
| 533 | Mozambique | 6.00 | 1997 est. |
| 534 | Afghanistan | 5.70 | FY08/09 est. |
| 535 | Ukraine | 5.60 | 2012 |
| 536 | Austria | 5.50 | 2012 est. |
| 537 | European Union | 5.20 | 2012 est. |
| 538 | Gaza Strip | 5.10 | 2010 est. |
| 539 | Argentina | 5.00 | 2009 est. |
| 540 | Solomon Islands | 5.00 | 2000 est. |
| 541 | Ireland | 5.00 | 2011 est. |
| 542 | Ethiopia | 5.00 | 2009 est. |
| 543 | Falkland Islands (Islas Malvinas) | 5.00 | 1996 |
| 544 | Vanuatu | 5.00 | 2000 est. |
| 545 | Isle of Man | 5.00 | 2006 |
| 546 | Isle of Man | 5.00 | 2006 |
| 547 | Uganda | 5.00 | 1999 est. |
| 548 | Togo | 5.00 | 1998 est. |
| 549 | Taiwan | 5.00 | 2012 est. |
| 550 | Iceland | 4.80 | 2008 |
| 551 | Andorra | 4.70 | 2010 |
| 552 | Macau | 4.40 | 2013 |
| 553 | Finland | 4.40 | 2011 |
| 554 | Estonia | 4.20 | 2010 |
| 555 | Spain | 4.20 | 2009 est. |
| 556 | Brunei | 4.20 | 2008 est. |
| 557 | Burundi | 4.10 | 2002 est. |
| 558 | Greenland | 4.00 | 2009 est. |
| 559 | Niger | 4.00 | 1995 |
| 560 | Wallis and Futuna | 4.00 | 2001 est. |
| 561 | Anguilla | 4.00 | 2000 est. |
| 562 | Japan | 3.90 | 2010 est. |
| 563 | Italy | 3.90 | 2011 |
| 564 | Hong Kong | 3.80 | 2013 est. |
| 565 | Trinidad and Tobago | 3.80 | 2007 est. |
| 566 | Australia | 3.60 | 2009 est. |
