CIA - The World Factbook --  GDP - PER CAPITA (PPP)

GDP - per capita (PPP) compares GDP on a purchasing power parity basis divided by population as of 1 July for the same year.

| Rank | Country | GDP - PER CAPITA (PPP) | Date of Information |
| 124 | Sri Lanka | $12,300 | 2016 est. |
| 125 | Anguilla | $12,200 | 2008 est. |
| 126 | Cuba | $11,900 | 2016 est. |
| 127 | Albania | $11,800 | 2016 est. |
| 128 | Saint Lucia | $11,800 | 2016 est. |
| 129 | Indonesia | $11,700 | 2016 est. |
| 130 | Nauru | $11,600 | 2016 est. |
| 131 | Tunisia | $11,600 | 2016 est. |
| 132 | Dominica | $11,300 | 2016 est. |
| 133 | Saint Vincent and the Grenadines | $11,300 | 2016 est. |
| 134 | Namibia | $11,300 | 2016 est. |
| 135 | Ecuador | $11,100 | 2016 est. |
| 136 | Bosnia and Herzegovina | $11,000 | 2016 est. |
| 137 | Georgia | $10,000 | 2016 est. |
| 138 | Swaziland | $9,800 | 2016 est. |
| 139 | Kosovo | $9,600 | 2016 est. |
| 140 | Paraguay | $9,400 | 2016 est. |
| 141 | Fiji | $9,300 | 2016 est. |
| 142 | Jamaica | $9,000 | 2016 est. |
| 143 | El Salvador | $8,900 | 2016 est. |
| 144 | Libya | $8,700 | 2016 est. |
| 145 | Armenia | $8,600 | 2016 est. |
| 146 | Montserrat | $8,500 | 2006 est. |
| 147 | Ukraine | $8,300 | 2016 est. |
| 148 | Morocco | $8,300 | 2016 est. |
| 149 | Bhutan | $8,200 | 2016 est. |
| 150 | Belize | $8,200 | 2016 est. |
| 151 | Guyana | $7,900 | 2016 est. |
| 152 | Guatemala | $7,900 | 2016 est. |
| 153 | Saint Helena, Ascension, and Tristan da Cunha | $7,800 | FY09/10 est. |
| 154 | Philippines | $7,700 | 2016 est. |
| 155 | Bolivia | $7,200 | 2016 est. |
| 156 | Angola | $6,800 | 2016 est. |
| 157 | Cabo Verde | $6,700 | 2016 est. |
| 158 | Congo, Republic of the | $6,700 | 2016 est. |
| 159 | Uzbekistan | $6,600 | 2016 est. |
| 160 | India | $6,600 | 2016 est. |
| 161 | Vietnam | $6,400 | 2016 est. |
| 162 | Nigeria | $5,900 | 2016 est. |
| 163 | Burma | $5,800 | 2016 est. |
| 164 | Niue | $5,800 | 2003 est. |
| 165 | Laos | $5,700 | 2016 est. |
| 166 | Samoa | $5,500 | 2016 est. |
| 167 | Nicaragua | $5,500 | 2016 est. |
| 168 | Tonga | $5,400 | 2016 est. |
| 169 | Moldova | $5,300 | 2016 est. |
| 170 | Honduras | $5,300 | 2016 est. |
| 171 | Pakistan | $5,100 | 2016 est. |
| 172 | Ghana | $4,400 | 2016 est. |
| 173 | Sudan | $4,400 | 2016 est. |
| 174 | West Bank | $4,300 | 2014 est. |
| 175 | Mauritania | $4,300 | 2016 est. |
| 176 | Timor-Leste | $4,200 | 2016 est. |
| 177 | Zambia | $3,900 | 2016 est. |
| 178 | Bangladesh | $3,900 | 2016 est. |
| 179 | Wallis and Futuna | $3,800 | 2004 est. |
| 180 | Cambodia | $3,700 | 2016 est. |
| 181 | Cote d'Ivoire | $3,600 | 2016 est. |
| 182 | Lesotho | $3,600 | 2016 est. |
| 183 | Kyrgyzstan | $3,500 | 2016 est. |
| 184 | Papua New Guinea | $3,500 | 2016 est. |
| 185 | Tuvalu | $3,500 | 2016 est. |
| 186 | Djibouti | $3,400 | 2016 est. |
| 187 | Kenya | $3,400 | 2016 est. |
| 188 | Marshall Islands | $3,300 | 2016 est. |
| 189 | Cameroon | $3,200 | 2016 est. |
| 190 | Micronesia, Federated States of | $3,200 | 2016 est. |
| 191 | Tanzania | $3,100 | 2016 est. |
| 192 | Sao Tome and Principe | $3,100 | 2016 est. |
| 193 | Tajikistan | $3,000 | 2016 est. |
| 194 | Syria | $2,900 | 2015 est. |
| 195 | Vanuatu | $2,600 | 2016 est. |
| 196 | Senegal | $2,600 | 2016 est. |
| 197 | Nepal | $2,500 | 2016 est. |
| 198 | Western Sahara | $2,500 | 2007 est. |
| 199 | Chad | $2,400 | 2016 est. |
| 200 | Yemen | $2,400 | 2016 est. |
| 201 | Mali | $2,300 | 2016 est. |
| 202 | Benin | $2,100 | 2016 est. |
| 203 | Uganda | $2,100 | 2016 est. |
| 204 | Rwanda | $2,000 | 2016 est. |
| 205 | Solomon Islands | $2,000 | 2016 est. |
| 206 | Zimbabwe | $2,000 | 2016 est. |
| 207 | Afghanistan | $1,900 | 2016 est. |
| 208 | Ethiopia | $1,900 | 2016 est. |
| 209 | Haiti | $1,800 | 2016 est. |
| 210 | Burkina Faso | $1,800 | 2016 est. |
| 211 | Kiribati | $1,800 | 2016 est. |
| 212 | Sierra Leone | $1,700 | 2016 est. |
| 213 | South Sudan | $1,700 | 2016 est. |
| 214 | Guinea-Bissau | $1,700 | 2016 est. |
| 215 | Korea, North | $1,700 | 2015 est. |
| 216 | Gambia, The | $1,700 | 2016 est. |
| 217 | Togo | $1,600 | 2016 est. |
| 218 | Comoros | $1,500 | 2016 est. |
| 219 | Madagascar | $1,500 | 2016 est. |
| 220 | Eritrea | $1,400 | 2016 est. |
| 221 | Guinea | $1,300 | 2016 est. |
| 222 | Mozambique | $1,200 | 2016 est. |
| 223 | Malawi | $1,100 | 2016 est. |
| 224 | Niger | $1,100 | 2016 est. |
| 225 | Tokelau | $1,000 | 1993 est. |
| 226 | Liberia | $900 | 2016 est. |
| 227 | Burundi | $800 | 2016 est. |
| 228 | Congo, Democratic Republic of the | $800 | 2016 est. |
| 229 | Central African Republic | $700 | 2016 est. |
| 230 | Somalia | $400 | 2016 est. |


