CIA - The World Factbook --  GDP - PER CAPITA (PPP)

GDP - per capita (PPP) compares GDP on a purchasing power parity basis divided by population as of 1 July for the same year.

| Rank | Country | GDP - PER CAPITA (PPP) | Date of Information |
| 190 | Lesotho | $3,000 | 2015 est. |
| 191 | Micronesia, Federated States of | $3,000 | 2015 est. |
| 192 | Tanzania | $2,900 | 2015 est. |
| 193 | Tajikistan | $2,800 | 2015 est. |
| 194 | Yemen | $2,700 | 2015 est. |
| 195 | Vanuatu | $2,600 | 2015 est. |
| 196 | Chad | $2,600 | 2015 est. |
| 197 | Senegal | $2,500 | 2015 est. |
| 198 | Nepal | $2,500 | 2015 est. |
| 199 | Western Sahara | $2,500 | 2007 est. |
| 200 | Mali | $2,200 | 2015 est. |
| 201 | Benin | $2,100 | 2015 est. |
| 202 | Uganda | $2,000 | 2015 est. |
| 203 | South Sudan | $2,000 | 2015 est. |
| 204 | Solomon Islands | $2,000 | 2015 est. |
| 205 | Zimbabwe | $2,000 | 2015 est. |
| 206 | Afghanistan | $1,900 | 2015 est. |
| 207 | Rwanda | $1,800 | 2015 est. |
| 208 | Ethiopia | $1,800 | 2015 est. |
| 209 | Kiribati | $1,800 | 2015 est. |
| 210 | Korea, North | $1,800 | 2014 est. |
| 211 | Haiti | $1,800 | 2015 est. |
| 212 | Gambia, The | $1,700 | 2015 est. |
| 213 | Burkina Faso | $1,700 | 2015 est. |
| 214 | Sierra Leone | $1,600 | 2015 est. |
| 215 | Togo | $1,500 | 2015 est. |
| 216 | Guinea-Bissau | $1,500 | 2015 est. |
| 217 | Madagascar | $1,500 | 2015 est. |
| 218 | Comoros | $1,500 | 2015 est. |
| 219 | Eritrea | $1,300 | 2015 est. |
| 220 | Mozambique | $1,200 | 2015 est. |
| 221 | Guinea | $1,200 | 2015 est. |
| 222 | Niger | $1,100 | 2015 est. |
| 223 | Malawi | $1,100 | 2015 est. |
| 224 | Tokelau | $1,000 | 1993 est. |
| 225 | Liberia | $900 | 2015 est. |
| 226 | Congo, Democratic Republic of the | $800 | 2015 est. |
| 227 | Burundi | $800 | 2015 est. |
| 228 | Central African Republic | $600 | 2015 est. |
| 229 | Somalia | $400 | 2014 est. |


