CIA - The World Factbook --  Birth rate   

This entry gives the average annual number of births during a year per 1,000 persons in the population at midyear; also known as crude birth rate. The birth rate is usually the dominant factor in determining the rate of population growth. It depends on both the level of fertility and the age structure of the population.

| Rank | country | (births/1,000 population) | Date of Information |
| 123 | Costa Rica | 16.65 | 2010 est. |
| 124 | Suriname | 16.61 | 2010 est. |
| 125 | New Caledonia | 16.52 | 2010 est. |
| 126 | Antigua and Barbuda | 16.43 | 2010 est. |
| 127 | Ireland | 16.37 | 2010 est. |
| 128 | Bahamas, The | 16.25 | 2010 est. |
| 129 | United Arab Emirates | 15.98 | 2010 est. |
| 130 | Sri Lanka | 15.88 | 2010 est. |
| 131 | Dominica | 15.68 | 2010 est. |
| 132 | Cook Islands | 15.67 | 2010 est. |
| 133 | French Polynesia | 15.67 | 2010 est. |
| 134 | Qatar | 15.54 | 2010 est. |
| 135 | Seychelles | 15.53 | 2010 est. |
| 136 | Tunisia | 15.31 | 2010 est. |
| 137 | Lebanon | 15.10 | 2010 est. |
| 138 | Saint Vincent and the Grenadines | 14.89 | 2010 est. |
| 139 | Saint Lucia | 14.81 | 2010 est. |
| 140 | Greenland | 14.68 | 2010 est. |
| 141 | Korea, North | 14.58 | 2010 est. |
| 142 | British Virgin Islands | 14.52 | 2010 est. |
| 143 | Maldives | 14.50 | 2010 est. |
| 144 | Chile | 14.46 | 2010 est. |
| 145 | Trinidad and Tobago | 14.37 | 2010 est. |
| 146 | Saint Kitts and Nevis | 14.23 | 2010 est. |
| 147 | Gibraltar | 14.20 | 2010 est. |
| 148 | Mauritius | 14.17 | 2010 est. |
| 149 | Wallis and Futuna | 14.08 | NA |
| 150 | United States | 13.83 | 2010 est. |
| 151 | New Zealand | 13.81 | 2010 est. |
| 152 | Uruguay | 13.67 | 2010 est. |
| 153 | Iceland | 13.36 | 2010 est. |
| 154 | Thailand | 13.01 | 2010 est. |
| 155 | Anguilla | 13.00 | 2010 est. |
| 156 | Faroe Islands | 12.90 | 2010 est. |
| 157 | Aruba | 12.77 | 2010 est. |
| 158 | Armenia | 12.74 | 2010 est. |
| 159 | Barbados | 12.43 | 2010 est. |
| 160 | France | 12.43 | 2010 est. |
| 161 | Australia | 12.39 | 2010 est. |
| 162 | United Kingdom | 12.34 | 2010 est. |
| 163 | Cayman Islands | 12.29 | 2010 est. |
| 164 | China | 12.17 | 2010 est. |
| 165 | Macedonia | 11.92 | 2010 est. |
| 166 | Albania | 11.88 | 2010 est. |
| 167 | Montserrat | 11.72 | 2010 est. |
| 168 | Luxembourg | 11.70 | 2010 est. |
| 169 | Isle of Man | 11.54 | 2010 est. |
| 170 | Virgin Islands | 11.51 | 2010 est. |
| 171 | Bermuda | 11.47 | 2010 est. |
| 172 | Puerto Rico | 11.42 | 2010 est. |
| 173 | Cyprus | 11.38 | 2010 est. |
| 174 | Moldova | 11.16 | 2010 est. |
| 175 | Russia | 11.11 | 2010 est. |
| 176 | Montenegro | 11.09 | 2010 est. |
| 177 | Cuba | 11.02 | 2010 est. |
| 178 | Saint Helena, Ascension, and Tristan da Cunha | 10.95 | 2010 est. |
| 179 | Spain | 10.91 | 2010 est. |
| 180 | Norway | 10.90 | 2010 est. |
| 181 | Jersey | 10.73 | 2010 est. |
| 182 | Georgia | 10.70 | 2010 est. |
| 183 | Palau | 10.68 | 2010 est. |
| 184 | Slovakia | 10.55 | 2010 est. |
| 185 | Estonia | 10.42 | 2010 est. |
| 186 | Denmark | 10.40 | 2010 est. |
| 187 | Malta | 10.38 | 2010 est. |
| 188 | Finland | 10.37 | 2010 est. |
| 189 | Netherlands | 10.30 | 2010 est. |
| 190 | Canada | 10.28 | 2010 est. |
| 191 | Guernsey | 10.25 | 2010 est. |
| 192 | Sweden | 10.14 | 2010 est. |
| 193 | Portugal | 10.12 | 2010 est. |
| 194 | Belgium | 10.10 | 2010 est. |
| 195 | Poland | 10.04 | 2010 est. |
| 196 | Andorra | 10.03 | 2010 est. |
| 197 | Latvia | 9.90 | 2010 est. |
| 198 | Belarus | 9.76 | 2010 est. |
| 199 | Hungary | 9.70 | 2010 est. |
| 200 | Liechtenstein | 9.69 | 2010 est. |
| 201 | Croatia | 9.63 | 2010 est. |
| 202 | Ukraine | 9.62 | 2010 est. |
| 203 | Romania | 9.58 | 2010 est. |
| 204 | Switzerland | 9.56 | 2010 est. |
| 205 | Bulgaria | 9.43 | 2010 est. |
| 206 | Greece | 9.34 | 2010 est. |
| 207 | Lithuania | 9.21 | 2010 est. |
| 208 | Serbia | 9.20 | 2010 est. |
| 209 | San Marino | 9.18 | 2010 est. |
| 210 | Macau | 8.98 | 2010 est. |
| 211 | Taiwan | 8.97 | 2010 est. |
| 212 | Slovenia | 8.92 | 2010 est. |
| 213 | Bosnia and Herzegovina | 8.87 | 2010 est. |
| 214 | Czech Republic | 8.76 | 2010 est. |
| 215 | Korea, South | 8.72 | 2010 est. |
| 216 | Austria | 8.65 | 2010 est. |
| 217 | Singapore | 8.65 | 2010 est. |
| 218 | Saint Pierre and Miquelon | 8.58 | 2010 est. |
| 219 | Germany | 8.21 | 2010 est. |
| 220 | Italy | 8.01 | 2010 est. |
| 221 | Hong Kong | 7.45 | 2010 est. |
| 222 | Japan | 7.41 | 2010 est. |
| 223 | Monaco | 7.03 | 2010 est. |
