CIA - The World Factbook --  Birth rate   

This entry gives the average annual number of births during a year per 1,000 persons in the population at midyear; also known as crude birth rate. The birth rate is usually the dominant factor in determining the rate of population growth. It depends on both the level of fertility and the age structure of the population.

| Rank | country | (births/1,000 population) | Date of Information |
| 105 | Turkey | 17.93 | 2011 est. |
| 106 | Brunei | 17.87 | 2011 est. |
| 107 | Azerbaijan | 17.85 | 2011 est. |
| 108 | Brazil | 17.79 | 2011 est. |
| 109 | Turks and Caicos Islands | 17.76 | 2011 est. |
| 110 | El Salvador | 17.75 | 2011 est. |
| 111 | Argentina | 17.54 | 2011 est. |
| 112 | Colombia | 17.49 | 2011 est. |
| 113 | Paraguay | 17.48 | 2011 est. |
| 114 | Uzbekistan | 17.43 | 2011 est. |
| 115 | Sri Lanka | 17.42 | 2011 est. |
| 116 | Tunisia | 17.40 | 2011 est. |
| 117 | Guyana | 17.12 | 2011 est. |
| 118 | Vietnam | 17.07 | 2011 est. |
| 119 | Grenada | 17.01 | 2011 est. |
| 120 | Algeria | 16.69 | 2011 est. |
| 121 | Kazakhstan | 16.65 | 2011 est. |
| 122 | Costa Rica | 16.54 | 2011 est. |
| 123 | Suriname | 16.42 | 2011 est. |
| 124 | Antigua and Barbuda | 16.31 | 2011 est. |
| 125 | New Caledonia | 16.28 | 2011 est. |
| 126 | Ireland | 16.10 | 2011 est. |
| 127 | Bahamas, The | 16.10 | 2011 est. |
| 128 | United Arab Emirates | 15.87 | 2011 est. |
| 129 | Dominica | 15.62 | 2011 est. |
| 130 | French Polynesia | 15.53 | 2011 est. |
| 131 | Qatar | 15.48 | 2011 est. |
| 132 | Cook Islands | 15.37 | 2011 est. |
| 133 | Seychelles | 15.33 | 2011 est. |
| 134 | Lebanon | 15.02 | 2011 est. |
| 135 | Maldives | 14.83 | 2011 est. |
| 136 | Bahrain | 14.64 | 2011 est. |
| 137 | Saint Lucia | 14.63 | 2011 est. |
| 138 | Saint Vincent and the Grenadines | 14.62 | 2011 est. |
| 139 | Greenland | 14.60 | 2011 est. |
| 140 | Korea, North | 14.51 | 2011 est. |
| 141 | British Virgin Islands | 14.50 | 2011 est. |
| 142 | Trinidad and Tobago | 14.35 | 2011 est. |
| 143 | Chile | 14.33 | 2011 est. |
| 144 | Gibraltar | 14.23 | 2011 est. |
| 145 | Saint Kitts and Nevis | 14.07 | 2011 est. |
| 146 | Mauritius | 13.97 | 2011 est. |
| 147 | Wallis and Futuna | 13.96 | 2011 est. |
| 148 | United States | 13.83 | 2011 est. |
| 149 | New Zealand | 13.68 | 2011 est. |
| 150 | Uruguay | 13.52 | 2011 est. |
| 151 | Iceland | 13.29 | 2011 est. |
| 152 | Thailand | 12.95 | 2011 est. |
| 153 | Faroe Islands | 12.95 | 2011 est. |
| 154 | Anguilla | 12.92 | 2011 est. |
| 155 | Armenia | 12.85 | 2011 est. |
| 156 | Aruba | 12.78 | 2011 est. |
| 157 | Barbados | 12.35 | 2011 est. |
| 158 | Australia | 12.33 | 2011 est. |
| 159 | China | 12.29 | 2011 est. |
| 160 | France | 12.29 | 2011 est. |
| 161 | United Kingdom | 12.29 | 2011 est. |
| 162 | Cayman Islands | 12.24 | 2011 est. |
| 163 | Albania | 12.15 | 2011 est. |
| 164 | Macedonia | 11.87 | 2011 est. |
| 165 | Luxembourg | 11.69 | 2011 est. |
| 166 | Montserrat | 11.67 | 2011 est. |
| 167 | Bermuda | 11.42 | 2011 est. |
| 168 | Isle of Man | 11.42 | 2011 est. |
| 169 | Cyprus | 11.41 | 2011 est. |
| 170 | Virgin Islands | 11.41 | 2011 est. |
| 171 | Puerto Rico | 11.35 | 2011 est. |
| 172 | Moldova | 11.16 | 2011 est. |
| 173 | Russia | 11.05 | 2011 est. |
| 174 | Montenegro | 11.00 | 2011 est. |
| 175 | Jersey | 10.90 | 2011 est. |
| 176 | Norway | 10.84 | 2011 est. |
| 177 | Palau | 10.74 | 2011 est. |
| 178 | Georgia | 10.73 | 2011 est. |
| 179 | Spain | 10.66 | 2011 est. |
| 180 | Saint Helena, Ascension, and Tristan da Cunha | 10.65 | 2011 est. |
| 181 | Slovakia | 10.48 | 2011 est. |
| 182 | Estonia | 10.45 | 2011 est. |
| 183 | Finland | 10.37 | 2011 est. |
| 184 | Malta | 10.35 | 2011 est. |
| 185 | Denmark | 10.29 | 2011 est. |
| 186 | Canada | 10.28 | 2011 est. |
| 187 | Netherlands | 10.23 | 2011 est. |
| 188 | Sweden | 10.18 | 2011 est. |
| 189 | Guernsey | 10.13 | 2011 est. |
| 190 | Belgium | 10.06 | 2011 est. |
| 191 | Poland | 10.01 | 2011 est. |
| 192 | Cuba | 9.99 | 2011 est. |
| 193 | Latvia | 9.96 | 2011 est. |
| 194 | Portugal | 9.94 | 2011 est. |
| 195 | Belarus | 9.76 | 2011 est. |
| 196 | Andorra | 9.66 | 2011 est. |
| 197 | Liechtenstein | 9.65 | 2011 est. |
| 198 | Ukraine | 9.62 | 2011 est. |
| 199 | Hungary | 9.60 | 2011 est. |
| 200 | Croatia | 9.60 | 2011 est. |
| 201 | Romania | 9.55 | 2011 est. |
| 202 | Switzerland | 9.53 | 2011 est. |
| 203 | Bulgaria | 9.32 | 2011 est. |
| 204 | Lithuania | 9.29 | 2011 est. |
| 205 | Greece | 9.21 | 2011 est. |
| 206 | Serbia | 9.19 | 2011 est. |
| 207 | Italy | 9.18 | 2011 est. |
| 208 | Macau | 9.03 | 2011 est. |
| 209 | San Marino | 9.02 | 2011 est. |
| 210 | Taiwan | 8.90 | 2011 est. |
| 211 | Bosnia and Herzegovina | 8.89 | 2011 est. |
| 212 | Slovenia | 8.85 | 2011 est. |
| 213 | Czech Republic | 8.70 | 2011 est. |
| 214 | Austria | 8.67 | 2011 est. |
| 215 | Korea, South | 8.55 | 2011 est. |
| 216 | Singapore | 8.50 | 2011 est. |
| 217 | Saint Pierre and Miquelon | 8.32 | 2011 est. |
| 218 | Germany | 8.30 | 2011 est. |
| 219 | Hong Kong | 7.49 | 2011 est. |
| 220 | Japan | 7.31 | 2011 est. |
| 221 | Monaco | 6.94 | 2011 est. |
