CIA - The World Factbook --  Birth rate   

This entry gives the average annual number of births during a year per 1,000 persons in the population at midyear; also known as crude birth rate. The birth rate is usually the dominant factor in determining the rate of population growth. It depends on both the level of fertility and the age structure of the population.

| Rank | country | (births/1,000 population) | Date of Information |
| 211 | Bosnia and Herzegovina | 8.92 | 2013 est. |
| 212 | Andorra | 8.88 | 2013 est. |
| 213 | San Marino | 8.78 | 2013 est. |
| 214 | Austria | 8.73 | 2013 est. |
| 215 | Slovenia | 8.66 | 2013 est. |
| 216 | Taiwan | 8.61 | 2013 est. |
| 217 | Czech Republic | 8.55 | 2013 est. |
| 218 | Germany | 8.37 | 2013 est. |
| 219 | Korea, South | 8.33 | 2013 est. |
| 220 | Japan | 8.23 | 2013 est. |
| 221 | Singapore | 7.91 | 2013 est. |
| 222 | Saint Pierre and Miquelon | 7.79 | 2013 est. |
| 223 | Hong Kong | 7.58 | 2013 est. |
| 224 | Monaco | 6.79 | 2013 est. |


