CIA - The World Factbook --  Median age   

| Rank | country | (years) | Date of Information |
| 160 | Philippines | 23.50 | 2014 est. |
| 161 | Tajikistan | 23.50 | 2014 est. |
| 162 | Bolivia | 23.40 | 2014 est. |
| 163 | Syria | 23.30 | 2014 est. |
| 164 | Samoa | 23.10 | 2014 est. |
| 165 | Botswana | 22.90 | 2014 est. |
| 166 | Nepal | 22.90 | 2014 est. |
| 167 | Djibouti | 22.80 | 2014 est. |
| 168 | Namibia | 22.80 | 2014 est. |
| 169 | Pakistan | 22.60 | 2014 est. |
| 170 | Marshall Islands | 22.50 | 2014 est. |
| 171 | West Bank | 22.40 | 2014 est. |
| 172 | Papua New Guinea | 22.40 | 2014 est. |
| 173 | Haiti | 22.20 | 2014 est. |
| 174 | Tonga | 22.00 | 2014 est. |
| 175 | Laos | 22.00 | 2014 est. |
| 176 | Honduras | 21.90 | 2014 est. |
| 177 | Jordan | 21.80 | 2014 est. |
| 178 | Belize | 21.80 | 2014 est. |
| 179 | Solomon Islands | 21.60 | 2014 est. |
| 180 | Iraq | 21.50 | 2014 est. |
| 181 | Vanuatu | 21.10 | 2014 est. |
| 182 | Guatemala | 21.00 | 2014 est. |
| 183 | Swaziland | 21.00 | 2014 est. |
| 184 | Western Sahara | 20.80 | 2014 est. |
| 185 | Ghana | 20.80 | 2014 est. |
| 186 | Cote d'Ivoire | 20.30 | 2014 est. |
| 187 | Gambia, The | 20.20 | 2014 est. |
| 188 | Zimbabwe | 20.20 | 2014 est. |
| 189 | Mauritania | 19.90 | 2014 est. |
| 190 | Guinea-Bissau | 19.80 | 2014 est. |
| 191 | Congo, Republic of the | 19.80 | 2014 est. |
| 192 | Togo | 19.60 | 2014 est. |
| 193 | Central African Republic | 19.40 | 2014 est. |
| 194 | Equatorial Guinea | 19.40 | 2014 est. |
| 195 | Comoros | 19.20 | 2014 est. |
| 196 | Madagascar | 19.20 | 2014 est. |
| 197 | Eritrea | 19.10 | 2014 est. |
| 198 | Kenya | 19.10 | 2014 est. |
| 199 | Sudan | 19.10 | 2014 est. |
| 200 | Sierra Leone | 19.00 | 2014 est. |
| 201 | Guinea | 18.70 | 2014 est. |
| 202 | Rwanda | 18.70 | 2014 est. |
| 203 | Gabon | 18.60 | 2014 est. |
| 204 | Yemen | 18.60 | 2014 est. |
| 205 | Timor-Leste | 18.50 | 2014 est. |
| 206 | Senegal | 18.40 | 2014 est. |
| 207 | Cameroon | 18.30 | 2014 est. |
| 208 | Nigeria | 18.20 | 2014 est. |
| 209 | Gaza Strip | 18.20 | 2014 est. |
| 210 | Afghanistan | 18.10 | 2014 est. |
| 211 | Angola | 17.90 | 2014 est. |
| 212 | Congo, Democratic Republic of the | 17.90 | 2014 est. |
| 213 | Liberia | 17.90 | 2014 est. |
| 214 | Sao Tome and Principe | 17.80 | 2014 est. |
| 215 | Benin | 17.70 | 2014 est. |
| 216 | Somalia | 17.70 | 2014 est. |
| 217 | Ethiopia | 17.60 | 2014 est. |
| 218 | Tanzania | 17.40 | 2014 est. |
| 219 | Chad | 17.20 | 2014 est. |
| 220 | Burundi | 17.00 | 2014 est. |
| 221 | Burkina Faso | 17.00 | 2014 est. |
| 222 | Mozambique | 16.90 | 2014 est. |
| 223 | South Sudan | 16.80 | 2014 est. |
| 224 | Zambia | 16.70 | 2014 est. |
| 225 | Malawi | 16.30 | 2014 est. |
| 226 | Mali | 16.00 | 2014 est. |
| 227 | Uganda | 15.50 | 2014 est. |
| 228 | Niger | 15.10 | 2014 est. |


