CIA - The World Factbook --  Physicians density   

| Rank | country | (physicians/1,000 population) | Date of Information |
| 187 | Mozambique | 0.03 | 2008 |
| 188 | Burundi | 0.03 | 2004 |
| 189 | Ethiopia | 0.03 | 2009 |
| 190 | Sierra Leone | 0.02 | 2010 |
| 191 | Niger | 0.02 | 2008 |
| 192 | Malawi | 0.02 | 2008 |
| 193 | Liberia | 0.01 | 2008 |
| 194 | Tanzania | 0.01 | 2006 |


