CIA - The World Factbook --  Dependency ratios   

| Rank | country | Dependency ratios | Date of Information |
| 212 | Turkmenistan | 48.20 | 2014 est. |
| 213 | Bhutan | 48.10 | 2014 est. |
| 214 | New Caledonia | 48.10 | 2014 est. |
| 215 | Saint Lucia | 48.00 | 2014 est. |
| 216 | Czech Republic | 47.70 | 2014 est. |
| 217 | Hungary | 47.40 | 2014 est. |
| 218 | Canada | 47.20 | 2014 est. |
| 219 | Saint Vincent and the Grenadines | 47.10 | 2014 est. |
| 220 | Dominican Republic | 47.00 | 2014 est. |
| 221 | Kyrgyzstan | 46.90 | 2014 est. |
| 222 | Montenegro | 46.80 | 2014 est. |
| 223 | Slovenia | 46.80 | 2014 est. |
| 224 | Luxembourg | 46.60 | 2014 est. |
| 225 | Ecuador | 46.50 | 2014 est. |
| 226 | Antigua and Barbuda | 46.40 | 2014 est. |
| 227 | Guernsey | 46.40 | 2014 est. |
| 228 | Jersey | 46.40 | 2014 est. |
| 229 | El Salvador | 46.20 | 2014 est. |
| 230 | Saudi Arabia | 46.10 | 2014 est. |
| 231 | Brazil | 45.80 | 2014 est. |
| 232 | Malta | 45.70 | 2014 est. |
| 233 | Malaysia | 45.50 | 2014 est. |
| 234 | Israel | 45.50 | 2014 est. |
| 235 | Mongolia | 45.40 | 2014 est. |
| 236 | South Africa | 45.20 | 2014 est. |
| 237 | Chile | 45.10 | 2014 est. |
| 238 | Lithuania | 44.90 | 2014 est. |
| 239 | Bangladesh | 44.90 | 2014 est. |
| 240 | Albania | 44.90 | 2014 est. |
| 241 | Korea, North | 44.90 | 2014 est. |
| 242 | Bosnia and Herzegovina | 44.80 | 2014 est. |
| 243 | Libya | 44.80 | 2014 est. |
| 244 | Serbia | 44.30 | 2014 est. |
| 245 | Aruba | 44.10 | 2014 est. |
| 246 | Armenia | 44.10 | 2014 est. |
| 247 | Fiji | 43.90 | 2014 est. |
| 248 | Tunisia | 43.90 | 2014 est. |
| 249 | Cabo Verde | 43.80 | 2014 est. |
| 250 | Peru | 43.60 | 2014 est. |
| 251 | India | 43.60 | 2014 est. |
| 252 | Costa Rica | 43.60 | 2014 est. |
| 253 | Romania | 43.60 | 2014 est. |
| 254 | Venezuela | 43.20 | 2014 est. |
| 255 | Panama | 43.20 | 2014 est. |
| 256 | Trinidad and Tobago | 43.10 | 2014 est. |
| 257 | Indonesia | 43.00 | 2014 est. |
