CIA - The World Factbook --  Infant mortality rate   

This entry gives the number of deaths of infants under one year old in a given year per 1,000 live births in the same year; included is the total death rate, and deaths by sex, male and female. This rate is often used as an indicator of the level of health in a country.

| Rank | country | (deaths/1,000 live births) | Date of Information |
| 175 | Faroe Islands | 5.82 | 2013 est. |
| 176 | Guam | 5.61 | 2013 est. |
| 177 | Northern Mariana Islands | 5.59 | 2013 est. |
| 178 | New Caledonia | 5.54 | 2013 est. |
| 179 | Hungary | 5.16 | 2013 est. |
| 180 | Greece | 4.85 | 2013 est. |
| 181 | French Polynesia | 4.83 | 2013 est. |
| 182 | Canada | 4.78 | 2013 est. |
| 183 | Cuba | 4.76 | 2013 est. |
| 184 | New Zealand | 4.65 | 2013 est. |
| 185 | San Marino | 4.58 | 2013 est. |
| 186 | Taiwan | 4.55 | 2013 est. |
| 187 | Wallis and Futuna | 4.55 | 2013 est. |
| 188 | Portugal | 4.54 | 2013 est. |
| 189 | United Kingdom | 4.50 | 2013 est. |
| 190 | Australia | 4.49 | 2013 est. |
| 191 | European Union | 4.43 | 2013 est. |
| 192 | Liechtenstein | 4.36 | 2013 est. |
| 193 | Luxembourg | 4.33 | 2013 est. |
| 194 | Belgium | 4.23 | 2013 est. |
| 195 | Isle of Man | 4.22 | 2013 est. |
| 196 | Austria | 4.21 | 2013 est. |
| 197 | Denmark | 4.14 | 2013 est. |
| 198 | Slovenia | 4.08 | 2013 est. |
| 199 | Israel | 4.03 | 2013 est. |
| 200 | Korea, South | 4.01 | 2013 est. |
| 201 | Jersey | 3.90 | 2013 est. |
| 202 | Switzerland | 3.80 | 2013 est. |
| 203 | Ireland | 3.78 | 2013 est. |
| 204 | Andorra | 3.73 | 2013 est. |
| 205 | Netherlands | 3.69 | 2013 est. |
| 206 | Belarus | 3.67 | 2013 est. |
| 207 | Czech Republic | 3.67 | 2013 est. |
| 208 | Malta | 3.62 | 2013 est. |
| 209 | Guernsey | 3.49 | 2013 est. |
| 210 | Germany | 3.48 | 2013 est. |
| 211 | Norway | 3.47 | 2013 est. |
| 212 | Anguilla | 3.42 | 2013 est. |
| 213 | Finland | 3.38 | 2013 est. |
| 214 | Spain | 3.35 | 2013 est. |
| 215 | France | 3.34 | 2013 est. |
| 216 | Italy | 3.33 | 2013 est. |
| 217 | Iceland | 3.17 | 2013 est. |
| 218 | Macau | 3.15 | 2013 est. |
| 219 | Hong Kong | 2.89 | 2013 est. |
| 220 | Sweden | 2.73 | 2013 est. |
| 221 | Singapore | 2.59 | 2013 est. |
| 222 | Bermuda | 2.47 | 2013 est. |
| 223 | Japan | 2.17 | 2013 est. |
| 224 | Monaco | 1.81 | 2013 est. |


