CIA - The World Factbook --  Exchange rates   

This entry provides the average annual price of a country's monetary unit for the time period specified, expressed in units of local currency per US dollar, as determined by international market forces or by official fiat. The International Organization for Standardization (ISO) 4217 alphabetic currency code for the national medium of exchange is presented in parenthesis. Closing daily exchange rates are not presented in The World Factbook, but are used to convert stock values - e.g., the market value of publicly traded shares - to US dollars as of the specified date.

| Rank | country | Exchange rates | Date of Information |
| 192 | Cote d'Ivoire | 447.81 | NA |
| 193 | Gabon | 447.81 | NA |
| 194 | Equatorial Guinea | 447.81 | NA |
| 195 | Congo, Republic of the | 447.81 | NA |
| 196 | Central African Republic | 447.81 | NA |
| 197 | Niger | 447.81 | NA |
| 198 | Mali | 447.81 | NA |
| 199 | Burkina Faso | 447.81 | NA |
| 200 | Cameroon | 447.81 | NA |
| 201 | Armenia | 401.76 | NA |
| 202 | Comoros | 382.90 | NA |
| 203 | Armenia | 373.66 | NA |
| 204 | Armenia | 372.50 | NA |
| 205 | Comoros | 371.46 | NA |
| 206 | Armenia | 363.28 | NA |
| 207 | Comoros | 353.90 | NA |
| 208 | Armenia | 303.93 | NA |
| 209 | Mauritania | 296.60 | NA |
| 210 | Mauritania | 281.12 | NA |
| 211 | Mauritania | 275.89 | NA |
| 212 | Mauritania | 262.40 | NA |
| 213 | Malawi | 249.11 | NA |
| 214 | Mauritania | 238.20 | NA |
| 215 | Zimbabwe | 234.25 | NA |
| 216 | Zimbabwe | 234.25 | NA |
| 217 | Hungary | 225.10 | NA |
| 218 | Yemen | 219.59 | NA |
| 219 | Yemen | 214.35 | NA |
| 220 | Yemen | 213.80 | NA |
| 221 | Hungary | 207.94 | NA |
| 222 | Guyana | 204.36 | NA |
| 223 | Guyana | 204.02 | NA |
| 224 | Guyana | 203.95 | NA |
| 225 | Guyana | 203.86 | NA |
| 226 | Guyana | 203.64 | NA |
| 227 | Yemen | 202.85 | NA |
| 228 | Hungary | 202.34 | NA |
| 229 | Hungary | 201.05 | NA |
| 230 | Yemen | 199.76 | NA |
| 231 | Djibouti | 177.72 | NA |
| 232 | Djibouti | 177.72 | NA |
| 233 | Djibouti | 177.72 | NA |
| 234 | Hungary | 171.80 | NA |
| 235 | Malawi | 156.93 | NA |
| 236 | Nigeria | 156.81 | NA |
| 237 | Korea, North | 156.10 | NA |
| 238 | Korea, North | 155.50 | NA |
| 239 | Nigeria | 154.74 | NA |
| 240 | Malawi | 150.49 | NA |
| 241 | Nigeria | 150.30 | NA |
| 242 | Kazakhstan | 149.11 | NA |
| 243 | Nigeria | 148.90 | NA |
| 244 | Kazakhstan | 147.50 | NA |
| 245 | Kazakhstan | 147.36 | NA |
| 246 | Kazakhstan | 146.62 | NA |
| 247 | Korea, North | 145.00 | NA |
| 248 | Malawi | 142.41 | NA |
| 249 | Malawi | 141.14 | NA |
| 250 | Korea, North | 140.00 | NA |
| 251 | Sri Lanka | 127.60 | NA |
| 252 | Iceland | 125.08 | NA |
| 253 | Iceland | 123.64 | NA |
| 254 | Iceland | 122.24 | NA |
| 255 | Kazakhstan | 120.25 | NA |
| 256 | Nigeria | 117.80 | NA |
| 257 | Iceland | 115.95 | NA |
| 258 | Sri Lanka | 114.95 | NA |
| 259 | Sri Lanka | 113.06 | NA |
| 260 | Sri Lanka | 110.57 | NA |
| 261 | Sri Lanka | 108.33 | NA |
| 262 | Albania | 108.19 | NA |
| 263 | Albania | 103.94 | NA |
| 264 | Japan | 103.58 | NA |
| 265 | Albania | 100.90 | NA |
| 266 | Vanuatu | 96.91 | NA |
| 267 | Angola | 95.47 | NA |
| 268 | Albania | 94.98 | NA |
| 269 | Angola | 93.94 | NA |
| 270 | Japan | 93.57 | NA |
| 271 | Pakistan | 93.40 | NA |
| 272 | Vanuatu | 92.64 | NA |
| 273 | Angola | 91.91 | NA |
| 274 | Wallis and Futuna | 90.01 | NA |
| 275 | French Polynesia | 90.01 | NA |
| 276 | New Caledonia | 90.01 | NA |
| 277 | Vanuatu | 89.47 | NA |
| 278 | Kenya | 88.81 | NA |
| 279 | Jamaica | 88.75 | NA |
| 280 | Serbia | 87.99 | NA |
| 281 | Jamaica | 87.89 | NA |
| 282 | Japan | 87.78 | NA |
| 283 | Wallis and Futuna | 87.59 | NA |
| 284 | French Polynesia | 87.59 | NA |
| 285 | Jamaica | 87.20 | NA |
| 286 | Pakistan | 86.34 | NA |
| 287 | Jamaica | 85.89 | NA |
| 288 | Cabo Verde | 85.82 | NA |
| 289 | New Caledonia | 85.74 | NA |
| 290 | Iceland | 85.62 | NA |
| 291 | Nepal | 85.20 | NA |
| 292 | Pakistan | 85.19 | NA |
| 293 | Kenya | 84.53 | NA |
| 294 | Cabo Verde | 83.26 | NA |
| 295 | Bangladesh | 81.86 | NA |
| 296 | Pakistan | 81.71 | NA |
| 297 | Japan | 79.81 | NA |
| 298 | Japan | 79.79 | NA |
| 299 | Albania | 79.55 | NA |
| 300 | Cabo Verde | 79.38 | NA |
| 301 | Angola | 79.33 | NA |
| 302 | Cabo Verde | 79.32 | NA |
| 303 | Kenya | 79.23 | NA |
| 304 | Serbia | 77.73 | NA |
| 305 | Algeria | 77.54 | NA |
| 306 | Nepal | 77.44 | NA |
| 307 | Kenya | 77.35 | NA |
| 308 | Angola | 75.02 | NA |
| 309 | Algeria | 74.39 | NA |
| 310 | Bangladesh | 74.15 | NA |
| 311 | Nepal | 74.02 | NA |
| 312 | Cabo Verde | 73.84 | NA |
| 313 | Liberia | 73.52 | NA |
| 314 | Nepal | 73.16 | NA |
| 315 | Serbia | 73.10 | NA |
| 316 | Algeria | 72.94 | NA |
| 317 | Algeria | 72.65 | NA |
| 318 | Jamaica | 72.24 | NA |
| 319 | Liberia | 72.23 | NA |
| 320 | Liberia | 71.40 | NA |
| 321 | Pakistan | 70.64 | NA |
| 322 | Bangladesh | 69.65 | NA |
| 323 | Bangladesh | 69.04 | NA |
| 324 | Bangladesh | 68.55 | NA |
| 325 | Kenya | 68.36 | NA |
| 326 | Serbia | 67.63 | NA |
| 327 | Nepal | 65.21 | NA |
| 328 | Syria | 64.39 | NA |
| 329 | Algeria | 63.25 | NA |
| 330 | Serbia | 62.90 | NA |
| 331 | Bhutan | 53.44 | NA |
| 332 | India | 53.44 | NA |
| 333 | Afghanistan | 50.92 | NA |
| 334 | India | 48.41 | NA |
| 335 | Syria | 48.37 | NA |
| 336 | Macedonia | 47.89 | NA |
| 337 | Philippines | 47.68 | NA |
| 338 | Kyrgyzstan | 47.01 | NA |
| 339 | Afghanistan | 46.75 | NA |
| 340 | Syria | 46.71 | NA |
| 341 | Bhutan | 46.68 | NA |
| 342 | India | 46.67 | NA |
| 343 | Bhutan | 46.67 | NA |
| 344 | Syria | 46.53 | NA |
| 345 | Macedonia | 46.49 | NA |
| 346 | Afghanistan | 46.45 | NA |
| 347 | Kyrgyzstan | 46.14 | NA |
| 348 | Kyrgyzstan | 45.96 | NA |
| 349 | Bhutan | 45.73 | NA |
| 350 | India | 45.73 | NA |
| 351 | Philippines | 45.11 | NA |
| 352 | Philippines | 44.44 | NA |
| 353 | Macedonia | 44.23 | NA |
| 354 | Macedonia | 44.10 | NA |
| 355 | Bhutan | 43.51 | NA |
| 356 | India | 43.32 | NA |
| 357 | Philippines | 43.31 | NA |
| 358 | Kyrgyzstan | 42.91 | NA |
| 359 | Philippines | 42.23 | NA |
| 360 | Haiti | 42.02 | NA |
| 361 | Haiti | 41.95 | NA |
| 362 | Macedonia | 41.41 | NA |
| 363 | Haiti | 40.52 | NA |
| 364 | Haiti | 39.80 | NA |
| 365 | Dominican Republic | 39.34 | NA |
| 366 | Haiti | 39.22 | NA |
| 367 | Dominican Republic | 38.23 | NA |
| 368 | Dominican Republic | 37.31 | NA |
| 369 | Kyrgyzstan | 36.11 | NA |
| 370 | Dominican Republic | 36.03 | NA |
| 371 | Dominican Republic | 34.78 | NA |
| 372 | Thailand | 34.29 | NA |
| 373 | Mozambique | 33.96 | NA |
| 374 | Thailand | 33.37 | NA |
| 375 | Taiwan | 33.06 | NA |
| 376 | Gambia, The | 32.08 | NA |
| 377 | Mauritius | 31.96 | NA |
| 378 | Russia | 31.74 | NA |
| 379 | Thailand | 31.69 | NA |
| 380 | Taiwan | 31.65 | NA |
| 381 | Taiwan | 31.53 | NA |
| 382 | Thailand | 31.08 | NA |
| 383 | Russia | 30.84 | NA |
| 384 | Mauritius | 30.78 | NA |
| 385 | Thailand | 30.49 | NA |
| 386 | Russia | 30.37 | NA |
| 387 | Mauritius | 30.05 | NA |
| 388 | Taiwan | 29.62 | NA |
| 389 | Taiwan | 29.47 | NA |
| 390 | Gambia, The | 29.46 | NA |
| 391 | Russia | 29.38 | NA |
| 392 | Mozambique | 29.08 | NA |
| 393 | Mauritius | 28.71 | NA |
| 394 | Mozambique | 28.38 | NA |
| 395 | Gambia, The | 28.01 | NA |
| 396 | Mauritius | 27.97 | NA |
| 397 | Gambia, The | 26.64 | NA |
| 398 | Mozambique | 26.28 | NA |
| 399 | Russia | 24.85 | NA |
| 400 | Mozambique | 24.13 | NA |
| 401 | Nicaragua | 23.55 | NA |
| 402 | Gambia, The | 22.75 | NA |
| 403 | Uruguay | 22.57 | NA |
| 404 | Nicaragua | 22.42 | NA |
| 405 | Nicaragua | 21.36 | NA |
