CIA - The World Factbook --  Maternal mortality rate   

The Maternal mortality rate (MMR) is the annual number of female deaths per 100,000 live births from any cause related to or aggravated by pregnancy or its management (excluding accidental or incidental causes).

| Rank | country | (deaths/100,000 live births) | Date of Information |
| 134 | Grenada | 24.00 | 2010 |
| 135 | Hungary | 21.00 | 2010 |
| 136 | United States | 21.00 | 2010 |
| 137 | Iran | 21.00 | 2010 |
| 138 | Bahrain | 20.00 | 2010 |
| 139 | Turkey | 20.00 | 2010 |
| 140 | Puerto Rico | 20.00 | 2010 |
| 141 | Luxembourg | 20.00 | 2010 |
| 142 | Croatia | 17.00 | 2010 |
| 143 | Korea, South | 16.00 | 2010 |
| 144 | New Zealand | 15.00 | 2010 |
| 145 | Kuwait | 14.00 | 2010 |
| 146 | United Arab Emirates | 12.00 | 2010 |
| 147 | Canada | 12.00 | 2010 |
| 148 | United Kingdom | 12.00 | 2010 |
| 149 | Serbia | 12.00 | 2010 |
| 150 | Slovenia | 12.00 | 2010 |
| 151 | Denmark | 12.00 | 2010 |
| 152 | Bulgaria | 11.00 | 2010 |
| 153 | Macedonia | 10.00 | 2010 |
| 154 | Cyprus | 10.00 | 2010 |
| 155 | Kiribati | 9.00 | 2008 |
| 156 | Belgium | 8.00 | 2010 |
| 157 | Bosnia and Herzegovina | 8.00 | 2010 |
| 158 | France | 8.00 | 2010 |
| 159 | Switzerland | 8.00 | 2010 |
| 160 | Montenegro | 8.00 | 2010 |
| 161 | Malta | 8.00 | 2010 |
| 162 | Portugal | 8.00 | 2010 |
| 163 | Lithuania | 8.00 | 2010 |
| 164 | Australia | 7.00 | 2010 |
| 165 | Germany | 7.00 | 2010 |
| 166 | Qatar | 7.00 | 2010 |
| 167 | Norway | 7.00 | 2010 |
| 168 | Israel | 7.00 | 2010 |
| 169 | Ireland | 6.00 | 2010 |
| 170 | Spain | 6.00 | 2010 |
| 171 | Netherlands | 6.00 | 2010 |
| 172 | Slovakia | 6.00 | 2010 |
| 173 | Czech Republic | 5.00 | 2010 |
| 174 | Finland | 5.00 | 2010 |
| 175 | Poland | 5.00 | 2010 |
| 176 | Japan | 5.00 | 2010 |
| 177 | Iceland | 5.00 | 2010 |
| 178 | Austria | 4.00 | 2010 |
| 179 | Sweden | 4.00 | 2010 |
| 180 | Italy | 4.00 | 2010 |
| 181 | Belarus | 4.00 | 2010 |
| 182 | Singapore | 3.00 | 2010 |
| 183 | Greece | 3.00 | 2010 |
| 184 | Estonia | 2.00 | 2010 |


