CIA - The World Factbook -- Field Listing - Environment - international agreements

| Country | Environment - international agreements |
| **Benin** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Bhutan** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Endangered Species, Hazardous Wastes |
| | *signed, but not ratified:* Law of the Sea |
| **Bolivia** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Environmental Modification, Marine Life Conservation, Ozone Layer Protection |
| **Bosnia and Herzegovina** | *party to:* Air Pollution, Biodiversity, Climate Change, Hazardous Wastes, Law of the Sea, Marine Life Conservation, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Botswana** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Brazil** | *party to:* Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Brunei** | *party to:* Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* none of the selected agreements |
| **Bulgaria** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulfur 85, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Air Pollution-Sulfur 94 |
| **Burkina Faso** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Marine Life Conservation, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* Law of the Sea |
| **Burma** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Law of the Sea, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94 |
| | *signed, but not ratified:* none of the selected agreements |
| **Burundi** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Ozone Layer Protection |
| | *signed, but not ratified:* Law of the Sea |
| **Cambodia** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Law of the Sea |
| **Cameroon** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Tropical Timber 83, Tropical Timber 94 |
| | *signed, but not ratified:* none of the selected agreements |
| **Canada** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulfur 85, Air Pollution-Sulfur 94, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Air Pollution-Volatile Organic Compounds, Marine Life Conservation |
| **Cape Verde** | *party to:* Biodiversity, Climate Change, Desertification, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |
| **Central African Republic** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Ozone Layer Protection, Tropical Timber 94 |
| | *signed, but not ratified:* Law of the Sea |
| **Chad** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* Law of the Sea, Marine Dumping |
| **Chile** | *party to:* Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **China** | *party to:* Antarctic-Environmental Protocol, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Colombia** | *party to:* Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Law of the Sea |
| **Comoros** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Congo, Democratic Republic of the** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Environmental Modification |
| **Congo, Republic of the** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Ozone Layer Protection, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Law of the Sea |
| **Cook Islands** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Law of the Sea |
| | *signed, but not ratified:* none of the selected agreements |
| **Costa Rica** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Wetlands, Whaling |
| | *signed, but not ratified:* Marine Life Conservation |
| **Cote d'Ivoire** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Croatia** | *party to:* Air Pollution, Air Pollution-Sulfur 94, Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Climate Change-Kyoto Protocol |
| **Cuba** | *party to:* Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Marine Life Conservation |
| **Cyprus** | *party to:* Air Pollution, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **Czech Republic** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 85, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **Denmark** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulfur 85, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Law of the Sea |
| **Djibouti** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* none of the selected agreements |
| **Dominica** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Dominican Republic** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* Law of the Sea |
| **East Timor** | NA |
| **Ecuador** | *party to:* Antarctic-Environmental Protocol, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Egypt** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol |
| **El Salvador** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* Law of the Sea |
| **Equatorial Guinea** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ship Pollution |
| | *signed, but not ratified:* none of the selected agreements |
| **Eritrea** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species |
| | *signed, but not ratified:* none of the selected agreements |
| **Estonia** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 85, Air Pollution-Volatile Organic Compounds, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Endangered Species, Hazardous Wastes, Ship Pollution, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Ethiopia** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Ozone Layer Protection |
| | *signed, but not ratified:* Environmental Modification, Law of the Sea |
| **European Union** | *Hazardous Wastes, Biodiversity, Air Pollution, Antarctic-Marine Living Resources, Tropical Timber 82, Tropical Timber 94, Ozone Layer Protection, Air Pollution-Nitrogen Oxides, Air Pollution-Sulphur 94, Law of the Sea, Desertification, Climate Change; has signed, but not yet ratified:* Air Pollution-Volatile Organic Compounds, Air Pollution-Persistent Organic Pollutants |
| **Fiji** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Law of the Sea, Marine Life Conservation, Ozone Layer Protection, Tropical Timber 83, Tropical Timber 94 |
| | *signed, but not ratified:* none of the selected agreements |
| **Finland** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 85, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **France** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 85, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **Gabon** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Gambia, The** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Georgia** | *party to:* Air Pollution, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Germany** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 85, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **Ghana** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Marine Life Conservation |
| **Greece** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 94, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Air Pollution-Volatile Organic Compounds |
| **Grenada** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Law of the Sea, Ozone Layer Protection, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Guatemala** | *party to:* Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Guinea** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Wetlands, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Guinea-Bissau** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Law of the Sea, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Guyana** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94 |
| | *signed, but not ratified:* none of the selected agreements |
| **Haiti** | *party to:* Biodiversity, Climate Change, Desertification, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection |
| | *signed, but not ratified:* Hazardous Wastes |
| **Holy See (Vatican City)** | *party to:* none of the selected agreements |
| | *signed, but not ratified:* Air Pollution, Environmental Modification |
| **Honduras** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Hong Kong** | *party to:* Marine Dumping (associate member) |
| **Hungary** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 85, Air Pollution-Volatile Organic Compounds, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulfur 94 |
| **Iceland** | *party to:* Air Pollution, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Kyoto Protocol, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Transboundary Air Pollution, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Environmental Modification, Marine Life Conservation |
| **India** | *party to:* Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Indonesia** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol, Marine Life Conservation |
| **Iran** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Marine Dumping, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* Environmental Modification, Law of the Sea, Marine Life Conservation |
| **Iraq** | *party to:* Law of the Sea |
| | *signed, but not ratified:* Environmental Modification |
| **Ireland** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 94, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Marine Life Conservation |
| **Israel** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol, Marine Life Conservation |
| **Italy** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 85, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **Jamaica** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Japan** | *party to:* Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| **Jordan** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Kazakhstan** | *party to:* Air Pollution, Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol |
| **Kenya** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Kiribati** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |
| **Korea, North** | *party to:* Antarctic Treaty, Biodiversity, Climate Change, Environmental Modification, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* Law of the Sea |
| **Korea, South** | *party to:* Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Kuwait** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection |
| | *signed, but not ratified:* Marine Dumping |
