CIA - The World Factbook --  Heliports   

This entry gives the total number of heliports with hard-surface runways, helipads, or landing areas that support routine sustained helicopter operations exclusively and have support facilities including one or more of the following facilities: lighting, fuel, passenger handling, or maintenance. It includes former airports used exclusively for helicopter operations but excludes heliports limited to day operations and natural clearings that could support helicopter landings and takeoffs.

| Rank | country | Heliports | Date of Information |
| 83 | Chile | 1.00 | 2013 |
| 84 | Northern Mariana Islands | 1.00 | 2013 |
| 85 | Dominican Republic | 1.00 | 2013 |
| 86 | Estonia | 1.00 | 2012 |
| 87 | Eritrea | 1.00 | 2013 |
| 88 | Czech Republic | 1.00 | 2013 |
| 89 | French Polynesia | 1.00 | 2013 |
| 90 | France | 1.00 | 2013 |
| 91 | Guatemala | 1.00 | 2013 |
| 92 | Gaza Strip | 1.00 | 2013 |
| 93 | Croatia | 1.00 | 2013 |
| 94 | Cote d'Ivoire | 1.00 | 2013 |
| 95 | Jordan | 1.00 | 2012 |
| 96 | Lebanon | 1.00 | 2013 |
| 97 | Latvia | 1.00 | 2013 |
| 98 | Slovakia | 1.00 | 2013 |
| 99 | Luxembourg | 1.00 | 2013 |
| 100 | Mongolia | 1.00 | 2013 |
| 101 | Montenegro | 1.00 | 2012 |
| 102 | Monaco | 1.00 | 2012 |
| 103 | Morocco | 1.00 | 2013 |
| 104 | Mexico | 1.00 | 2013 |
| 105 | Niger | 1.00 | 2013 |
| 106 | Netherlands | 1.00 | 2013 |
| 107 | Norway | 1.00 | 2013 |
| 108 | South Sudan | 1.00 | 2013 |
| 109 | Qatar | 1.00 | 2013 |
| 110 | Seychelles | 1.00 | 2013 |
| 111 | South Africa | 1.00 | 2013 |
| 112 | Svalbard | 1.00 | 2013 |
| 113 | Turkmenistan | 1.00 | 2013 |
| 114 | Vietnam | 1.00 | 2013 |
| 115 | Albania | 1.00 | 2013 |


