CIA - The World Factbook --  HIV/AIDS - people living with HIV/AIDS   

This entry gives an estimate of all people (adults and children) alive at yearend with HIV infection, whether or not they have developed symptoms of AIDS.

| Rank | country | HIV/AIDS - people living with HIV/AIDS | Date of Information |
| 39 | Burkina Faso | 110,000 | 2009 est. |
| 40 | Argentina | 110,000 | 2009 est. |
| 41 | Malaysia | 100,000 | 2009 est. |
| 42 | Pakistan | 98,000 | 2009 est. |
| 43 | Iran | 92,000 | 2009 est. |
| 44 | United Kingdom | 85,000 | 2009 est. |
| 45 | Guinea | 79,000 | 2009 est. |
| 46 | Congo, Republic of the | 77,000 | 2009 est. |
| 47 | Mali | 76,000 | 2009 est. |
| 48 | Peru | 75,000 | 2009 est. |
| 49 | Canada | 68,000 | 2009 est. |
| 50 | Germany | 67,000 | 2009 est. |
| 51 | Nepal | 64,000 | 2009 est. |
| 52 | Cambodia | 63,000 | 2009 est. |
| 53 | Guatemala | 62,000 | 2009 est. |
| 54 | Niger | 61,000 | 2009 est. |
| 55 | Benin | 60,000 | 2009 est. |
| 56 | Senegal | 59,000 | 2009 est. |
| 57 | Dominican Republic | 57,000 | 2009 est. |
| 58 | Sierra Leone | 49,000 | 2009 est. |
| 59 | Gabon | 46,000 | 2009 est. |
| 60 | Portugal | 42,000 | 2009 est. |
| 61 | Chile | 40,000 | 2009 est. |
| 62 | Honduras | 39,000 | 2009 est. |
| 63 | Ecuador | 37,000 | 2009 est. |
| 64 | Liberia | 37,000 | 2009 est. |
| 65 | Papua New Guinea | 34,000 | 2009 est. |
| 66 | El Salvador | 34,000 | 2009 est. |
| 67 | Somalia | 34,000 | 2009 est. |
| 68 | Jamaica | 32,000 | 2009 est. |
| 69 | Uzbekistan | 28,000 | 2009 est. |
| 70 | Poland | 27,000 | 2009 est. |
| 71 | Morocco | 26,000 | 2009 est. |
| 72 | Eritrea | 25,000 | 2009 est. |
| 73 | Madagascar | 24,000 | 2009 est. |
| 74 | Netherlands | 22,000 | 2009 est. |
| 75 | Guinea-Bissau | 22,000 | 2009 est. |
| 76 | Australia | 20,000 | 2009 est. |
| 77 | Panama | 20,000 | 2009 est. |
| 78 | Equatorial Guinea | 20,000 | 2009 est. |
| 79 | Gambia, The | 18,000 | 2009 est. |
| 80 | Switzerland | 18,000 | 2009 est. |
| 81 | Algeria | 18,000 | 2009 est. |
| 82 | Belarus | 17,000 | 2009 est. |
| 83 | Romania | 16,000 | 2009 est. |
| 84 | Trinidad and Tobago | 15,000 | 2009 est. |
| 85 | Austria | 15,000 | 2009 est. |
| 86 | Djibouti | 14,000 | 2009 est. |
| 87 | Mauritania | 14,000 | 2009 est. |
| 88 | Belgium | 14,000 | 2009 est. |
| 89 | Paraguay | 13,000 | 2009 est. |
| 90 | Kazakhstan | 13,000 | 2009 est. |
| 91 | Yemen | 12,000 | 2001 est. |
| 92 | Moldova | 12,000 | 2009 est. |
| 93 | Bolivia | 12,000 | 2009 est. |
| 94 | Egypt | 11,000 | 2009 est. |
| 95 | Libya | 10,000 | 2001 est. |
| 96 | Uruguay | 9,900 | 2009 est. |
| 97 | Estonia | 9,900 | 2009 est. |
| 98 | Costa Rica | 9,800 | 2009 est. |
| 99 | Kyrgyzstan | 9,800 | 2009 est. |
| 100 | Korea, South | 9,500 | 2009 est. |
| 101 | Tajikistan | 9,100 | 2009 est. |
| 102 | Mauritius | 8,800 | 2009 est. |
| 103 | Greece | 8,800 | 2009 est. |
| 104 | Philippines | 8,700 | 2009 est. |
| 105 | Latvia | 8,600 | 2009 est. |
| 106 | Laos | 8,500 | 2009 est. |
| 107 | Sweden | 8,100 | 2009 est. |
| 108 | Japan | 8,100 | 2009 est. |
| 109 | Israel | 7,500 | 2009 est. |
| 110 | Puerto Rico | 7,397 | NA |
| 111 | Cuba | 7,100 | 2009 est. |
| 112 | Nicaragua | 6,900 | 2009 est. |
| 113 | Ireland | 6,900 | 2009 est. |
| 114 | Bahamas, The | 6,600 | 2009 est. |
| 115 | Serbia | 6,400 | 2009 est. |
| 116 | Bangladesh | 6,300 | 2009 est. |
| 117 | Guyana | 5,900 | 2009 est. |
| 118 | Denmark | 5,300 | 2009 est. |
| 119 | Belize | 4,800 | 2009 est. |
| 120 | Turkey | 4,600 | 2009 est. |
| 121 | Norway | 4,000 | 2009 est. |
| 122 | Bulgaria | 3,800 | 2009 est. |
| 123 | Suriname | 3,700 | 2009 est. |
| 124 | Azerbaijan | 3,600 | 2009 est. |
| 125 | Lebanon | 3,600 | 2009 est. |
| 126 | Georgia | 3,500 | 2009 est. |
| 127 | Singapore | 3,400 | 2009 est. |
| 128 | Hungary | 3,000 | 2009 est. |
| 129 | Sri Lanka | 2,800 | 2009 est. |
| 130 | Hong Kong | 2,600 | 2003 est. |
| 131 | Finland | 2,600 | 2009 est. |
| 132 | New Zealand | 2,500 | 2009 est. |
| 133 | Tunisia | 2,400 | 2009 est. |
| 134 | Barbados | 2,100 | 2009 est. |
| 135 | Czech Republic | 2,000 | 2009 est. |
| 136 | Armenia | 1,900 | 2009 est. |
| 137 | Lithuania | 1,200 | 2009 est. |
| 138 | Oman | 1,100 | 2009 est. |
| 139 | Cyprus | 1,000 | 2007 est. |
| 140 | Luxembourg | 1,000 | 2009 est. |
| 141 | Fiji | 1,000 | 2009 est. |
| 142 | Iceland | 1,000 | 2009 est. |
| 143 | Croatia | 1,000 | 2009 est. |
| 144 | Bhutan | 1,000 | 2009 est. |
| 145 | Slovenia | 1,000 | 2009 est. |
| 146 | Bosnia and Herzegovina | 900 | 2007 est. |
| 147 |
| Cabo Verde |
| 775 | NA | 148 | Bahrain |
| 600 | 2007 est. | 149 | Jordan |
| 600 | 2007 est. | 150 | Syria |
| 500 | 2003 est. | 151 | Iraq |
| 500 | 2003 est. | 152 | Mongolia |
| 500 | 2009 est. | 153 | Malta |
| 500 | 2009 est. | 154 | Slovakia |
| 500 | 2009 est. | 155 | Comoros |
| 500 | 2009 est. | 156 | Turkmenistan |
| 200 | 2007 est. | 157 | Qatar |
| 200 | 2009 est. | 158 | Macedonia |
| 200 | 2007 est. | 159 | Brunei |
| 200 | 2003 est. | 160 | Bermuda |
| 163 | 2005 | 161 | Greenland |
| 100 | NA | 162 | Maldives |
| 100 | 2009 est. | 163 | Svalbard |
| 0 |
| 2001 |


