Field Listing :: Crude oil - imports :: The World Factbook - Central Intelligence Agency

This entry is the total amount of crude oil imported, in barrels per day (bbl/day).

| Country | Crude oil - imports |
| **Nauru** | 0 bbl/day (2015 est.) |
| **Nepal** | 0 bbl/day (2015 est.) |
| **Netherlands** | 1.094 million bbl/day (2017 est.) |
| **New Caledonia** | 0 bbl/day (2015 est.) |
| **New Zealand** | 108,900 bbl/day (2017 est.) |
| **Nicaragua** | 16,180 bbl/day (2015 est.) |
| **Niger** | 0 bbl/day (2015 est.) |
| **Nigeria** | 0 bbl/day (2015 est.) |
| **Niue** | 0 bbl/day (2015 est.) |
| **North Macedonia** | 0 bbl/day (2015 est.) |
| **Norway** | 36,550 bbl/day (2017 est.) |
| **Oman** | 0 bbl/day (2015 est.) |
| **Pakistan** | 168,200 bbl/day (2015 est.) |
| **Panama** | 0 bbl/day (2015 est.) |
| **Papua New Guinea** | 22,220 bbl/day (2015 est.) |
| **Paraguay** | 0 bbl/day (2015 est.) |
| **Peru** | 86,060 bbl/day (2015 est.) |
| **Philippines** | 211,400 bbl/day (2015 est.) |
| **Poland** | 493,100 bbl/day (2017 est.) |
| **Portugal** | 285,200 bbl/day (2017 est.) |
| **Puerto Rico** | 0 bbl/day (2015 est.) |
| **Qatar** | 0 bbl/day (2015 est.) |
| **Romania** | 145,300 bbl/day (2015 est.) |
| **Russia** | 76,220 bbl/day (2015 est.) |
| **Rwanda** | 0 bbl/day (2015 est.) |
| **Saint Helena, Ascension, and Tristan da Cunha** | 0 bbl/day (2015 est.) |
| **Saint Kitts and Nevis** | 0 bbl/day (2015 est.) |
| **Saint Lucia** | 0 bbl/day (2015 est.) |
| **Saint Pierre and Miquelon** | 0 bbl/day (2015 est.) |
| **Saint Vincent and the Grenadines** | 0 bbl/day (2015 est.) |
| **Samoa** | 0 bbl/day (2015 est.) |
| **Sao Tome and Principe** | 0 bbl/day (2015 est.) |
| **Saudi Arabia** | 0 bbl/day (2015 est.) |
| **Senegal** | 17,880 bbl/day (2015 est.) |
| **Serbia** | 40,980 bbl/day (2015 est.) |
| **Seychelles** | 0 bbl/day (2015 est.) |
| **Sierra Leone** | 0 bbl/day (2015 est.) |
| **Singapore** | 783,300 bbl/day (2015 est.) |
| **Sint Maarten** | 0 bbl/day (2015 est.) |
| **Slovakia** | 111,200 bbl/day (2017 est.) |
| **Slovenia** | 0 bbl/day (2017 est.) |
| **Solomon Islands** | 0 bbl/day (2015 est.) |
| **Somalia** | 0 bbl/day (2015 est.) |
| **South Africa** | 404,000 bbl/day (2015 est.) |
| **South Sudan** | 0 bbl/day (2015 est.) |
| **Spain** | 1.325 million bbl/day (2017 est.) |
| **Sri Lanka** | 33,540 bbl/day (2015 est.) |
| **Sudan** | 9,440 bbl/day (2015 est.) |
| **Suriname** | 820 bbl/day (2015 est.) |
| **Svalbard** | 0 bbl/day (2012 est.) |
| **Sweden** | 400,200 bbl/day (2017 est.) |
| **Switzerland** | 57,400 bbl/day (2017 est.) |
| **Syria** | 87,660 bbl/day (2015 est.) |
| **Taiwan** | 846,400 bbl/day (2015 est.) |
| **Tajikistan** | 0 bbl/day (2015 est.) |
| **Tanzania** | 0 bbl/day (2015 est.) |
| **Thailand** | 875,400 bbl/day (2015 est.) |
| **Timor-Leste** | 0 bbl/day (2015 est.) |
| **Togo** | 0 bbl/day (2015 est.) |
| **Tonga** | 0 bbl/day (2015 est.) |
| **Trinidad and Tobago** | 80,860 bbl/day (2015 est.) |
| **Tunisia** | 17,580 bbl/day (2015 est.) |
| **Turkey** | 521,500 bbl/day (2017 est.) |
| **Turkmenistan** | 0 bbl/day (2015 est.) |
| **Turks and Caicos Islands** | 0 bbl/day (2015 est.) |
| **Tuvalu** | 0 bbl/day (2014 est.) |
| **Uganda** | 0 bbl/day (2015 est.) |
| **Ukraine** | 4,720 bbl/day (2015 est.) |
| **United Arab Emirates** | 0 bbl/day (2015 est.) |
