FIELD LISTING :: CRUDE OIL - IMPORTS

This entry is the total amount of crude oil imported, in barrels per day (bbl/day).

| Country | CRUDE OIL - IMPORTS(BBL/DAY) |
| **Puerto Rico** | 0 bbl/day (2014 est.) |
| **Qatar** | 0 bbl/day (2014 est.) |
| **Romania** | 145,500 bbl/day (2014 est.) |
| **Russia** | 15,110 bbl/day (2016 est.) |
| **Rwanda** | 0 bbl/day (2014 est.) |
| **Saint Helena, Ascension, and Tristan da Cunha** | 0 bbl/day (2014 est.) |
| **Saint Kitts and Nevis** | 0 bbl/day (2014 est.) |
| **Saint Lucia** | 0 bbl/day (2014 est.) |
| **Saint Pierre and Miquelon** | 0 bbl/day (2014 est.) |
| **Saint Vincent and the Grenadines** | 0 bbl/day (2014 est.) |
| **Samoa** | 0 bbl/day (2014 est.) |
| **Sao Tome and Principe** | 0 bbl/day (2014 est.) |
| **Saudi Arabia** | 0 bbl/day (2014 est.) |
| **Senegal** | 18,060 bbl/day (2014 est.) |
| **Serbia** | 45,790 bbl/day (2016 est.) |
| **Seychelles** | 0 bbl/day (2014 est.) |
| **Sierra Leone** | 0 bbl/day (2014 est.) |
| **Singapore** | 831,300 bbl/day (2014 est.) |
| **Slovakia** | 115,600 bbl/day (2016 est.) |
| **Slovenia** | 0 bbl/day (2016 est.) |
| **Solomon Islands** | 0 bbl/day (2014 est.) |
| **Somalia** | 0 bbl/day (2014 est.) |
| **South Africa** | 434,500 bbl/day (2014 est.) |
| **South Sudan** | 0 bbl/day (2014 est.) |
| **Spain** | 1.285 million bbl/day (2016 est.) |
| **Sri Lanka** | 36,480 bbl/day (2014 est.) |
| **Sudan** | 0 bbl/day (2014 est.) |
| **Suriname** | 0 bbl/day (2014 est.) |
| **Svalbard** | 0 bbl/day (2012 est.) |
| **Swaziland** | 0 bbl/day (2014 est.) |
| **Sweden** | 393,900 bbl/day (2016 est.) |
| **Switzerland** | 58,400 bbl/day (2016 est.) |
| **Syria** | 83,140 bbl/day (2014 est.) |
| **Taiwan** | 858,700 bbl/day (2016 est.) |
| **Tajikistan** | 0 bbl/day (2014 est.) |
| **Tanzania** | 0 bbl/day (2014 est.) |
| **Thailand** | 830,500 bbl/day (2014 est.) |
| **Timor-Leste** | 0 bbl/day (2014 est.) |
| **Togo** | 0 bbl/day (2014 est.) |
| **Tonga** | 0 bbl/day (2014 est.) |
| **Trinidad and Tobago** | 58,460 bbl/day (2014 est.) |
| **Tunisia** | 23,600 bbl/day (2014 est.) |
| **Turkey** | 506,300 bbl/day (2016 est.) |
| **Turkmenistan** | 0 bbl/day (2014 est.) |
| **Turks and Caicos Islands** | 0 bbl/day (2014 est.) |
| **Tuvalu** | 0 bbl/day (2014) |
| **Uganda** | 0 bbl/day (2014 est.) |
| **Ukraine** | 7,840 bbl/day (2014 est.) |
| **United Arab Emirates** | 0 bbl/day (2014 est.) |
| **United Kingdom** | 808,800 bbl/day (2016 est.) |
| **United States** | 7.85 million bbl/day (2016 est.) |
| **Uruguay** | 37,900 bbl/day (2014 est.) |
| **Uzbekistan** | 380 bbl/day (2014 est.) |
| **Vanuatu** | 0 bbl/day (2014 est.) |
| **Venezuela** | 0 bbl/day (2014 est.) |
| **Vietnam** | 0 bbl/day (2014 est.) |
| **Virgin Islands** | 0 bbl/day (2014 est.) |
| **West Bank** | 0 bbl/day (2014 est.) |
| **Western Sahara** | 0 bbl/day (2014 est.) |
| **World** | 47.38 million bbl/day (2013 est.) |
| **Yemen** | 0 bbl/day (2014 est.) |
| **Zambia** | 11,200 bbl/day (2014 est.) |
| **Zimbabwe** | 0 bbl/day (2014 est.) |
