CIA - The World Factbook --  Electricity - imports   

This entry is the total imported electricity in kilowatt-hours.

| Rank | country | (kWh) | Date of Information |
| 136 | Sao Tome and Principe | 0.00 | 2008 est. |
| 137 | Samoa | 0.00 | 2008 est. |
| 138 | Saint Vincent and the Grenadines | 0.00 | 2008 est. |
| 139 | Saint Pierre and Miquelon | 0.00 | 2008 est. |
| 140 | Saint Lucia | 0.00 | 2008 est. |
| 141 | Saint Kitts and Nevis | 0.00 | 2008 est. |
| 142 | Saint Helena, Ascension, and Tristan da Cunha | 0.00 | 2008 est. |
| 143 | Qatar | 0.00 | 2008 est. |
| 144 | Puerto Rico | 0.00 | 2008 est. |
| 145 | Philippines | 0.00 | 2008 est. |
| 146 | Peru | 0.00 | 2008 est. |
| 147 | Paraguay | 0.00 | 2008 est. |
| 148 | Papua New Guinea | 0.00 | 2008 est. |
| 149 | Haiti | 0.00 | 2008 est. |
| 150 | Guyana | 0.00 | 2008 est. |
| 151 | Guinea-Bissau | 0.00 | 2008 est. |
| 152 | Guinea | 0.00 | 2008 est. |
| 153 | Guernsey | 0.00 | 2002 |
| 154 | Grenada | 0.00 | 2008 est. |
| 155 | Greenland | 0.00 | 2008 |
| 156 | Gabon | 0.00 | 2008 est. |
| 157 | Montserrat | 0.00 | 2008 est. |
| 158 | Montenegro | 0.00 | 2005 |
| 159 | Micronesia, Federated States of | 0.00 | 2002 |
| 160 | Mauritius | 0.00 | 2008 est. |
| 161 | Mauritania | 0.00 | 2008 est. |
| 162 | Malta | 0.00 | 2009 est. |
| 163 | Mali | 0.00 | 2008 est. |
| 164 | Maldives | 0.00 | 2009 est. |
| 165 | Malaysia | 0.00 | 2008 est. |
| 166 | Malawi | 0.00 | 2008 est. |
| 167 | Madagascar | 0.00 | 2008 est. |
| 168 | Liberia | 0.00 | 2008 est. |
| 169 | Kyrgyzstan | 0.00 | 2008 est. |
| 170 | Kuwait | 0.00 | 2008 est. |
| 171 | Korea, South | 0.00 | 2009 |
| 172 | Korea, North | 0.00 | 2008 est. |
| 173 | Kiribati | 0.00 | 2008 est. |
| 174 | Japan | 0.00 | 2008 est. |
| 175 | Jamaica | 0.00 | 2008 est. |
| 176 | Israel | 0.00 | 2008 |
| 177 | Indonesia | 0.00 | 2008 est. |
| 178 | French Polynesia | 0.00 | 2008 est. |
| 179 | Fiji | 0.00 | 2008 est. |
| 180 | Faroe Islands | 0.00 | 2008 |
| 181 | Falkland Islands (Islas Malvinas) | 0.00 | 2008 est. |
| 182 | Ethiopia | 0.00 | 2008 est. |
| 183 | Eritrea | 0.00 | 2008 est. |
| 184 | Equatorial Guinea | 0.00 | 2008 est. |
| 185 | Cyprus | 0.00 | 2008 est. |
| 186 | Gibraltar | 0.00 | 2008 est. |
| 187 | Gambia, The | 0.00 | 2008 est. |
| 188 | Cuba | 0.00 | 2008 est. |
| 189 | Cote d'Ivoire | 0.00 | 2008 est. |
| 190 | Cook Islands | 0.00 | 2008 est. |
| 191 | Comoros | 0.00 | 2008 est. |
| 192 | Chad | 0.00 | 2008 est. |
| 193 | Central African Republic | 0.00 | 2008 est. |
| 194 | Cayman Islands | 0.00 | 2008 est. |
| 195 | Cape Verde | 0.00 | 2008 est. |
| 196 | Dominican Republic | 0.00 | 2008 est. |
| 197 | Dominica | 0.00 | 2008 est. |
| 198 | Djibouti | 0.00 | 2008 est. |
| 199 | Cameroon | 0.00 | 2008 est. |
| 200 | Burma | 0.00 | 2008 est. |
| 201 | Burkina Faso | 0.00 | 2008 est. |
| 202 | Brunei | 0.00 | 2008 est. |
| 203 | British Virgin Islands | 0.00 | 2008 est. |
| 204 | Bolivia | 0.00 | 2008 est. |
| 205 | Bhutan | 0.00 | 2009 est. |
| 206 | Bermuda | 0.00 | 2008 est. |
| 207 | Bangladesh | 0.00 | 2008 est. |
| 208 | Angola | 0.00 | 2008 est. |
| 209 | Aruba | 0.00 | 2008 est. |
| 210 | Bahamas, The | 0.00 | 2008 est. |
| 211 | Bahrain | 0.00 | 2008 est. |
| 212 | Australia | 0.00 | 2008 est. |
| 213 | Antigua and Barbuda | 0.00 | 2008 est. |
