CIA - The World Factbook 2000 -- Merchant marine

| Country | Merchant marine |
| **Cyprus** | *total:* 1,414 ships (1,000 GRT or over) totaling 23,497,776 GRT/37,331,506 DWT |
| | *ships by type:* barge carrier 2, bulk 442, cargo 495, chemical tanker 22, combination bulk 40, combination ore/oil 8, container 144, liquified gas 6, passenger 8, petroleum tanker 142, refrigerated cargo 41, roll-on/roll-off 45, short-sea passenger 13, specialized tanker 4, vehicle carrier 2 (1999 est.) |
| | *note:* a flag of convenience registry; includes ships from 37 countries among which are Greece 611, Germany 129, Russia 49, Latvia 278, Netherlands 20, Japan 28, Cuba 16, China 15, Hong Kong 13, and Poland 15 (1998 est.) |
| **Denmark** | *total:* 336 ships (1,000 GRT or over) totaling 5,190,227 GRT/6,815,128 DWT |
| | *ships by type:* bulk 12, cargo 132, chemical tanker 22, container 70, liquified gas 26, livestock carrier 6, petroleum tanker 24, rail car carrier 1, refrigerated cargo 13, roll-on/roll-off 19, short-sea passenger 8, specialized tanker 3 (1999 est.) |
| | *note:* Denmark has created its own internal register, called the Danish International Ship register (DIS); DIS ships do not have to meet Danish manning regulations, and they amount to a flag of convenience within the Danish register (1998 est.) |
| **Djibouti** | *total:* 1 ship (1,000 GRT or over) totaling 1,369 GRT/3,030 DWT |
| | *ships by type:* cargo 1 (1999 est.) |
| **Dominica** | none (1999 est.) |
| **Dominican Republic** | *total:* 1 ship (1,000 GRT or over) totaling 1,587 GRT/1,165 DWT |
| | *ships by type:* cargo 1 (1999 est.) |
| **Ecuador** | *total:* 29 ships (1,000 GRT or over) totaling 233,151 GRT/388,750 DWT |
| | *ships by type:* chemical tanker 2, liquified gas 1, passenger 4, petroleum tanker 22 (1999 est.) |
| **Egypt** | *total:* 180 ships (1,000 GRT or over) totaling 1,348,148 GRT/2,014,483 DWT |
| | *ships by type:* bulk 25, cargo 63, container 1, liquified gas 1, passenger 57, petroleum tanker 14, roll-on/roll-off 16, short-sea passenger 3 (1999 est.) |
| **El Salvador** | none (1999 est.) |
| **Equatorial Guinea** | *total:* 11 ships (1,000 GRT or over) totaling 25,907 GRT/26,812 DWT |
| | *ships by type:* cargo 8, passenger 2, passenger/cargo 1 (1999 est.) |
| **Eritrea** | *total:* 5 ships (1,000 GRT or over) totaling 16,069 GRT/19,549 DWT |
| | *ships by type:* bulk 1, cargo 1, liquified gas 1, petroleum tanker 1, roll-on/roll-off 1 (1999 est.) |
| **Estonia** | *total:* 50 ships (1,000 GRT or over) totaling 306,264 GRT/293,083 DWT |
| | *ships by type:* bulk 3, cargo 20, combination bulk 1, container 5, petroleum tanker 2, roll-on/roll-off 13, short-sea passenger 6 (1999 est.) |
| **Ethiopia** | *total:* 12 ships (1,000 GRT or over) totaling 84,915 GRT/112,634 DWT |
| | *ships by type:* cargo 7, container 1, petroleum tanker 1, roll-on/roll-off 3 (1999 est.) |
| **Falkland Islands (Islas Malvinas)** | none (1999 est.) |
| **Faroe Islands** | *total:* 6 ships (1,000 GRT or over) totaling 22,853 GRT/13,481 DWT |
| | *ships by type:* cargo 2, petroleum tanker 1, refrigerated cargo 1, roll-on/roll-off 1, short-sea passenger 1 (1999 est.) |
| **Fiji** | *total:* 6 ships (1,000 GRT or over) totaling 11,870 GRT/14,787 DWT |
| | *ships by type:* chemical tanker 2, passenger 1, petroleum tanker 1, roll-on/roll-off 1, specialized tanker 1 (1999 est.) |
| **Finland** | *total:* 101 ships (1,000 GRT or over) totaling 1,185,966 GRT/1,153,089 DWT |
| | *ships by type:* bulk 9, cargo 23, chemical tanker 6, passenger 1, petroleum tanker 11, rail car carrier 1, roll-on/roll-off 38, short-sea passenger 12 (1999 est.) |
| **France** | *total:* 55 ships (1,000 GRT or over) totaling 1,155,286 GRT/1,693,030 DWT |
| | *ships by type:* bulk 3, cargo 5, chemical tanker 6, combination bulk 1, container 5, liquified gas 4, multi-functional large load carrier 1, passenger 3, petroleum tanker 16, roll-on/roll-off 6, short-sea passenger 4, specialized tanker 1 (1999 est.) |
| | *note:* France also maintains a captive register for French-owned ships in Iles Kerguelen (French Southern and Antarctic Lands) (1998 est.) |
| **French Guiana** | none (1999 est.) |
| **French Polynesia** | *total:* 4 ships (1,000 GRT or over) totaling 5,240 GRT/7,765 DWT |
| | *ships by type:* cargo 1, passenger/cargo 2, refrigerated cargo 1 (1999 est.) |
| **French Southern and Antarctic Lands** | *total:* 72 ships (1,000 GRT or over) totaling 2,892,911 GRT/5,165,713 DWT |
| | *ships by type:* bulk 7, cargo 5, chemical tanker 10, container 9, liquified gas 6, petroleum tanker 24, refrigerated cargo 1, roll-on/roll-off 10 |
| | *note:* a subset of the French register allowing French-owned ships to operate under more liberal taxation and manning regulations than permissible under the main French register (1999 est.) |
| **Gabon** | *total:* 1 ship (1,000 GRT or over) totaling 2,419 GRT/3,205 DWT |
| | *ships by type:* cargo 1 (1999 est.) |
| **Gambia, The** | none (1999 est.) |
| **Georgia** | *total:* 17 ships (1,000 GRT or over) totaling 103,080 GRT/158,803 DWT |
