CIA - The World Factbook -- Field Listing - Merchant marine

| Country | Merchant marine |
| **Costa Rica** | *total:* 2 ships (1000 GRT or over) 2,308 GRT/743 DWT |
| | *by type:* passenger/cargo 2 (2006) |
| **Croatia** | *total:* 72 ships (1000 GRT or over) 1,079,286 GRT/1,724,698 DWT |
| | *by type:* bulk carrier 22, cargo 11, chemical tanker 3, passenger/cargo 27, petroleum tanker 5, refrigerated cargo 1, roll on/roll off 3 |
| | *registered in other countries:* 36 (Belize 1, Cyprus 2, Liberia 7, Malta 10, Marshall Islands 2, Panama 5, Saint Vincent and the Grenadines 9) (2006) |
| **Cuba** | *total:* 11 ships (1000 GRT or over) 33,932 GRT/48,791 DWT |
| | *by type:* bulk carrier 2, cargo 2, chemical tanker 1, passenger 1, petroleum tanker 3, refrigerated cargo 2 |
| | *foreign-owned:* 1 (Spain 1) |
| | *registered in other countries:* 17 (Bahamas 1, Cyprus 2, Netherlands Antilles 1, Panama 11, Spain 1, unknown 1) (2006) |
| **Cyprus** | *total:* 884 ships (1000 GRT or over) 19,477,944 GRT/31,157,473 DWT |
| | *by type:* bulk carrier 354, cargo 210, chemical tanker 44, container 145, liquefied gas 8, passenger 7, passenger/cargo 23, petroleum tanker 64, refrigerated cargo 15, roll on/roll off 9, vehicle carrier 5 |
| | *foreign-owned:* 777 (Belgium 1, Canada 2, China 11, Croatia 2, Cuba 2, Denmark 1, Estonia 6, Germany 214, Greece 337, Greenland 1, Hong Kong 1, India 5, Iran 2, Ireland 3, Israel 3, Italy 2, Japan 17, South Korea 1, Latvia 4, Netherlands 18, Norway 16, Philippines 1, Poland 20, Portugal 2, Russia 53, Singapore 1, Slovakia 1, Slovenia 4, Spain 7, Sweden 3, Switzerland 4, Syria 3, UAE 11, UK 6, Ukraine 4, US 7, unknown 1) |
| | *registered in other countries:* 87 (Bahamas 13, Belize 2, Cambodia 12, Georgia 1, Gibraltar 1, Greece 1, Isle of Man 1, Liberia 3, Malta 15, Marshall Islands 15, Norway 2, Panama 14, Portugal 1, Russia 2, Saint Vincent and the Grenadines 1, Sierra Leone 1, Turkey 2) (2006) |
| **Czech Republic** | *registered in other countries:* 1 (Saint Vincent and the Grenadines 1) (2006) |
| **Denmark** | *total:* 293 ships (1000 GRT or over) 7,986,735 GRT/9,936,431 DWT |
| | *by type:* bulk carrier 7, cargo 63, chemical tanker 48, container 86, liquefied gas 4, livestock carrier 2, passenger 1, passenger/cargo 40, petroleum tanker 23, refrigerated cargo 7, roll on/roll off 8, specialized tanker 4 |
| | *foreign-owned:* 25 (Canada 1, Germany 13, Greece 5, Greenland 1, Norway 3, Sweden 1, UK 1) |
| | *registered in other countries:* 409 (Antigua and Barbuda 14, Bahamas 59, Belgium 4, Cayman Islands 5, Cyprus 1, Egypt 1, Estonia 2, France 1, French Southern and Antarctic Lands 2, Gibraltar 1, Hong Kong 6, Isle of Man 53, North Korea 1, Liberia 8, Lithuania 10, Malta 6, Marshall Islands 1, Mexico 2, Netherlands 9, Netherlands Antilles 1, Norway 32, Panama 34, Portugal 4, Saint Vincent and the Grenadines 14, Singapore 52, South Africa 1, Spain 1, Sweden 4, UK 46, US 24, Vanuatu 6, Venezuela 3, Vietnam 1) (2006) |
| **Djibouti** | *total:* 1 ship (1000 GRT or over) 1,369 GRT/3,030 DWT |
| | *by type:* cargo 1 (2006) |
| **Dominica** | *total:* 48 ships (1000 GRT or over) 634,668 GRT/1,100,558 DWT |
| | *by type:* bulk carrier 6, cargo 24, chemical tanker 4, container 2, petroleum tanker 6, refrigerated cargo 4, roll on/roll off 1, vehicle carrier 1 |
| | *foreign-owned:* 45 (Estonia 11, Germany 1, Greece 5, Latvia 1, Norway 1, NZ 4, Russia 2, Saudi Arabia 3, Singapore 9, Syria 1, Turkey 3, UAE 2, Ukraine 2) (2006) |
| **Dominican Republic** | *total:* 1 ship (1000 GRT or over) 1,587 GRT/1,165 DWT |
| | *by type:* cargo 1 (2006) |
| **Ecuador** | *total:* 31 ships (1000 GRT or over) 184,819 GRT/300,339 DWT |
| | *by type:* chemical tanker 1, liquefied gas 1, passenger 7, petroleum tanker 21, specialized tanker 1 |
| | *foreign-owned:* 2 (Norway 1, Paraguay 1) |
| | *registered in other countries:* 1 (Georgia 1) (2006) |
| **Egypt** | *total:* 76 ships (1000 GRT or over) 987,524 GRT/1,467,139 DWT |
| | *by type:* bulk carrier 14, cargo 33, container 2, passenger/cargo 5, petroleum tanker 13, roll on/roll off 9 |
| | *foreign-owned:* 9 (Denmark 1, Greece 6, Lebanon 2) |
