CIA - The World Factbook 2002 -- Field Listing - Merchant marine

| Country | Merchant marine |
| | *ships by type:* bulk 8, cargo 105, chemical tanker 26, container 72, liquefied gas 20, livestock carrier 5, petroleum tanker 25, railcar carrier 1, refrigerated cargo 13, roll on/roll off 16, short-sea passenger 7, specialized tanker 3 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Germany 1, Greenland 1, Indonesia 1, Netherlands 1, Norway 9, United Kingdom 1 (2002 est.) |
| **Dominica** | none (2002 est.) |
| **Dominican Republic** | *total:* 1 ship (1,000 GRT or over) totaling 1,587 GRT/1,165 DWT |
| | *ships by type:* cargo 1 (2002 est.) |
| **East Timor** | *total:* NA |
| | *ships by type:* NA |
| **Ecuador** | *total:* 33 ships (1,000 GRT or over) totaling 239,876 GRT/393,680 DWT |
| | *ships by type:* cargo 2, chemical tanker 3, liquefied gas 1, passenger 3, petroleum tanker 23, specialized tanker 1 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Chile 1, Greece 1 (2002 est.) |
| **Egypt** | *total:* 175 ships (1,000 GRT or over) totaling 1,331,186 GRT/1,987,964 DWT |
| | *ships by type:* bulk 23, cargo 58, container 2, liquefied gas 1, passenger 61, petroleum tanker 14, roll on/roll off 13, short-sea passenger 3 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience:, Denmark 1, Germany 1, Greece 6, Lebanon 3, Monaco 1, Ukraine 1 (2002 est.) |
| **El Salvador** | none (2002 est.) |
| **Equatorial Guinea** | *total:* 6 ships (1,000 GRT or over) totaling 14,413 GRT/16,251 DWT |
| | *ships by type:* bulk 1, cargo 3, passenger 1, passenger/cargo 1 (2002 est.) |
| **Eritrea** | *total:* 6 ships (1,000 GRT or over) totaling 19,100 GRT/23,399 DWT |
| | *ships by type:* bulk 1, cargo 2, liquefied gas 1, petroleum tanker 1, roll on/roll off 1 (2002 est.) |
| **Estonia** | *total:* 37 ships (1,000 GRT or over) totaling 245,958 GRT/193,042 DWT |
| | *ships by type:* bulk 2, cargo 13, container 5, petroleum tanker 2, roll on/roll off 9, short-sea passenger 6 |
| | *note:* includes a foreign-owned ship registered here as a flag of convenience: Liberia 1 (2002 est.) |
| **Ethiopia** | *total:* 9 ships (1,000 GRT or over) totaling 81,933 GRT/101,287 DWT |
| | *ships by type:* cargo 5, container 1, petroleum tanker 1, roll on/roll off 2 (2002 est.) |
| **Falkland Islands (Islas Malvinas)** | none (2002 est.) |
| **Faroe Islands** | *total:* 7 ships (1,000 GRT or over) totaling 100,951 GRT/139,396 DWT |
| | *ships by type:* cargo 2, petroleum tanker 2, refrigerated cargo 1, roll on/roll off 1, short-sea passenger 1 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Denmark 3, Norway 1, United Kingdom 1 (2002 est.) |
| **Fiji** | *total:* 6 ships (1,000 GRT or over) totaling 11,870 GRT/14,787 DWT |
| | *ships by type:* chemical tanker 2, passenger 1, petroleum tanker 1, roll on/roll off 1, specialized tanker 1, includes some foreign-owned ships registered here as a flag of convenience: Australia 1, Singapore 4 (2002 est.) |
| **Finland** | *total:* 98 ships (1,000 GRT or over) totaling 1,172,404 GRT/1,144,139 DWT |
| | *ships by type:* bulk 9, cargo 26, chemical tanker 5, passenger 1, petroleum tanker 11, roll on/roll off 36, short-sea passenger 10 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Germany 1, Sweden 1 (2002 est.) |
| **France** | *total:* 49 ships (1,000 GRT or over) totaling 1,263,691 GRT/1,769,932 DWT |
| | *ships by type:* bulk 3, cargo 4, chemical tanker 9, combination bulk 1, container 3, liquefied gas 3, passenger 3, petroleum tanker 15, roll on/roll off 4, short-sea passenger 4 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: French Polynesia 2, Greece 1, Japan 1, Norway 1, Sweden 9 (2002 est.) |
| **French Guiana** | none (2002 est.) |
| **French Polynesia** | *total:* 4 ships (1,000 GRT or over) totaling 5,240 GRT/7,765 DWT |
| | *ships by type:* cargo 1, passenger/cargo 2, refrigerated cargo 1 (2002 est.) |
| **French Southern and Antarctic Lands** | *total:* 71 ships (1,000 GRT or over) totaling 2,815,472 GRT/4,806,161 DWT |
| | *ships by type:* bulk 5, cargo 5, chemical tanker 13, container 11, liquefied gas 7, petroleum tanker 19, roll on/roll off 11 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Belgium 2, France 62, Japan 3, Monaco 1, Norway 5, Sweden 1 (2002 est.) |
| **Gambia, The** | none (2002 est.) |
| **Georgia** | *total:* 64 ships (1,000 GRT or over) totaling 210,620 GRT/288,565 DWT |
| | *ships by type:* bulk 5, cargo 46, container 5, petroleum tanker 7, roll on/roll off 1 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Belize 1, Bulgaria 1, Cyprus 1, Ecuador 1, Egypt 4, Gibraltar 1, Greece 5, Jordan 1, Latvia 1, Liberia 1, Malta 1, Panama 9, Romania 8, Russia 4, Saint Kitts and Nevis 3, Saint Vincent and the Grenadines 3, Saudi Arabia 2, Syria 5, Turkey 2, Ukraine 7, United Arab Emirates 11, United Kingdom 1, United States 1 (2002 est.) |
| **Germany** | *total:* 388 ships (1,000 GRT or over) totaling 5,758,942 GRT/7,132,525 DWT |
| | *ships by type:* cargo 132, chemical tanker 10, container 219, liquefied gas 3, passenger 3, petroleum tanker 7, railcar carrier 2, refrigerated cargo 1, roll on/roll off 4, short-sea passenger 7 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Chile 1, Finland 5, Iceland 1, Netherlands 3, Switzerland 1 (2002 est.) |
| **Ghana** | *total:* 7 ships (1,000 GRT or over) totaling 16,450 GRT/22,097 DWT |
| | *ships by type:* petroleum tanker 2, refrigerated cargo 5 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Brazil 1, Saint Vincent and the Grenadines 1, Spain 1 (2002 est.) |
| **Gibraltar** | *total:* 75 ships (1,000 GRT or over) totaling 900,400 GRT/1,277,611 DWT |
| | *ships by type:* bulk 2, cargo 35, chemical tanker 6, container 10, multi-functional large-load carrier 3, passenger 3, petroleum tanker 14, roll on/roll off 2 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Belgium 1, Cyprus 1, France 2, Germany 55, Greece 6, Ireland 1, Monaco 2, Norway 3, United Kingdom 13 (2002 est.) |
| **Greece** | *total:* 802 ships (1,000 GRT or over) totaling 27,998,523 GRT/49,458,125 DWT |
| | *ships by type:* bulk 294, cargo 54, chemical tanker 25, combination bulk 7, combination ore/oil 5, container 45, liquefied gas 7, multi-functional large-load carrier 1, passenger 13, petroleum tanker 265, refrigerated cargo 3, roll on/roll off 23, short-sea passenger 54, specialized tanker 4, vehicle carrier 2 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Ireland 1, Japan 1, Liberia 1, Norway 1, Panama 2, Russia 1, Saudi Arabia 1, United Kingdom 1 (2002 est.) |
| **Greenland** | *total:* 2 ships (1,000 GRT or over) totaling 3,289 GRT/1,500 DWT |
| | *ships by type:* cargo 1, passenger 1, includes a foreign-owned ship registered here as a flag of convenience: Denmark 1 (2002 est.) |
| **Grenada** | none (2002 est.) |
| **Guadeloupe** | *total:* 1 ship (1,000 GRT or over) totaling 1,240 GRT/109 DWT |
| | *ships by type:* passenger 1 |
| | *note:* includes a foreign-owned ship registered here as a flag of convenience: France 1 (2002 est.) |
| **Guam** | none (2002 est.) |
| **Guatemala** | none (2002 est.) |
| **Guernsey** | none (2002 est.) |
| **Guinea** | none (2002 est.) |
| **Guinea-Bissau** | none (2002 est.) |
| **Guyana** | *total:* 2 ships (1,000 GRT or over) totaling 2,929 GRT/4,507 DWT |
| | *ships by type:* cargo 2 (2002 est.) |
| **Haiti** | none (2002 est.) |
| **Honduras** | *total:* 284 ships (1,000 GRT or over) totaling 749,243 GRT/846,942 DWT |
| | *ships by type:* bulk 20, cargo 166, chemical tanker 5, container 6, livestock carrier 1, passenger 3, passenger/cargo 3, petroleum tanker 54, refrigerated cargo 12, roll on/roll off 8, short-sea passenger 4, specialized tanker 1, vehicle carrier 1 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Argentina 1, Bahrain 1, Belize 1, British Virgin Islands 1, Bulgaria 1, China 8, Costa Rica 1, Cyprus 1, Egypt 6, El Salvador 1, Germany 1, Greece 18, Hong Kong 3, Indonesia 2, Italy 1, Japan 7, Lebanon 4, Liberia 4, Maldives 2, Marshall Islands 1, Mexico 1, Nigeria 1, Norway 1, Panama 14, Philippines 1, Romania 2, Russia 1, Saint Kitts and Nevis 3, Saint Vincent and the Grenadines 1, Singapore 24, South Korea 12, Spain 1, Syria 1, Taiwan 4, Tanzania 1, Trinidad and Tobago 1, Turkey 2, Turks and Caicos Islands 1, United Arab Emirates 6, United Kingdom 1, United States 5, Vanuatu 1, Vietnam 1, Virgin Islands (UK) 1 (2002 est.) |
| **Hong Kong** | *total:* 433 ships (1,000 GRT or over) totaling 13,539,257 GRT/22,682,757 DWT |
| | *ships by type:* barge carrier 1, bulk 264, cargo 38, chemical tanker 10, combination bulk 2, container 73, liquefied gas 8, multi-functional large-load carrier 1, petroleum tanker 32, refrigerated cargo 1, short-sea passenger 1, vehicle carrier 2 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Belgium 5, Belize 1, British Virgin Islands 1, China 115, Denmark 2, Germany 19, Greece 2, India 8, Japan 8, Liberia 1, Malaysia 7, Norway 1, Panama 2, Philippines 5, Singapore 7, South Korea 2, Taiwan 1, United Kingdom 27, Virgin Islands (UK) 1 (2002 est.) |
| **Iceland** | *total:* 1 ship (1,000 GRT or over) totaling 1,816 GRT/2,500 DWT |
| | *ships by type:* chemical tanker 1 (2002 est.) |
| **India** | *total:* 319 ships (1,000 GRT or over) totaling 6,325,284 GRT/10,581,459 DWT |
| | *ships by type:* bulk 115, cargo 80, chemical tanker 16, combination bulk 1, combination ore/oil 3, container 13, liquefied gas 9, passenger/cargo 5, petroleum tanker 74, short-sea passenger 2, specialized tanker 1 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: China 1, United Arab Emirates 10, United Kingdom 1 (2002 est.) |
| **Indonesia** | *total:* 668 ships (1,000 GRT or over) totaling 2,969,281 GRT/4,043,526 DWT |
| | *ships by type:* bulk 41, cargo 392, chemical tanker 12, container 32, liquefied gas 3, livestock carrier 1, passenger 8, passenger/cargo 14, petroleum tanker 126, refrigerated cargo 1, roll on/roll off 15, short-sea passenger 8, specialized tanker 9, vehicle carrier 6 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Greece 1, Hong Kong 2, India 1, Japan 2, Malaysia 1, Monaco 3, Panama 1, Philippines 1, Singapore 11, South Korea 1, Switzerland 1, UK 2, US 1 (2002 est.) |
| **Iran** | *total:* 147 ships (1,000 GRT or over) totaling 4,136,971 GRT/7,166,703 DWT |
| | *ships by type:* bulk 48, cargo 36, chemical tanker 4, container 10, liquefied gas 1, multi-functional large-load carrier 6, petroleum tanker 30, refrigerated cargo 2, roll on/roll off 9, short-sea passenger 1 (2002 est.) |
| **Iraq** | *total:* 25 ships (1,000 GRT or over) totaling 186,709 GRT/278,575 DWT |
| | *ships by type:* cargo 14, passenger 1, passenger/cargo 1, petroleum tanker 8, roll on/roll off 1 (2002 est.) |
| **Ireland** | *total:* 26 ships (1,000 GRT or over) totaling 110,741 GRT/127,342 DWT |
| | *ships by type:* bulk 4, cargo 20, container 1, short-sea passenger 1 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Germany 2 (2002 est.) |
| **Israel** | *total:* 16 ships (1,000 GRT or over) totaling 595,319 GRT/704,544 DWT |
| | *ships by type:* container 15, roll on/roll off 1 (2002 est.) |
| **Italy** | *total:* 467 ships (1,000 GRT or over) totaling 8,499,248 GRT/10,383,988 DWT |
| | *ships by type:* bulk 45, cargo 41, chemical tanker 91, combination ore/oil 4, container 24, liquefied gas 37, multi-functional large-load carrier 1, passenger 15, petroleum tanker 80, refrigerated cargo 4, roll on/roll off 70, short-sea passenger 27, specialized tanker 12, vehicle carrier 16 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: Croatia 1, Denmark 4, France 1, Greece 3, Man, Isle of 1, Monaco 7, Netherlands 6, Norway 1, Panama 2, Spain 1, Switzerland 1, Taiwan 15, Turkey 1, United Kingdom 6, United States 12 (2002 est.) |
| **Jamaica** | *total:* 1 ships (1,000 GRT or over) totaling 21,954 GRT/25,250 DWT |
| | *ships by type:* petroleum tanker 1, includes some foreign-owned ships registered here as a flag of convenience: Latvia 2, United States 2 (2002 est.) |
| **Japan** | *total:* 615 ships (1,000 GRT or over) totaling 10,995,839 GRT/14,405,159 DWT |
| | *ships by type:* bulk 133, cargo 48, chemical tanker 17, combination bulk 24, combination ore/oil 3, container 19, liquefied gas 50, passenger 9, passenger/cargo 2, petroleum tanker 189, refrigerated cargo 13, roll on/roll off 48, short-sea passenger 6, vehicle carrier 54 |
| | *note:* includes some foreign-owned ships registered here as a flag of convenience: China 1, Panama 1, Singapore 1 (2002 est.) |
