CIA - The World Factbook --  NATURAL GAS - IMPORTS

Natural gas - imports compares the total natural gas imported in cubic meters (cu m).

| Rank | Country | (CU M) | Date of Information |
| 163 | Bangladesh | 0 | 2013 est. |
| 164 | Belize | 0 | 2013 est. |
| 165 | Bolivia | 0 | 2013 est. |
| 166 | Burma | 0 | 2013 est. |
| 167 | Benin | 0 | 2013 est. |
| 168 | Solomon Islands | 0 | 2013 est. |
| 169 | Bhutan | 0 | 2013 est. |
| 170 | Brunei | 0 | 2014 est. |
| 171 | Burundi | 0 | 2013 est. |
| 172 | Cambodia | 0 | 2013 est. |
| 173 | Curacao | 0 | 2009 est. |
| 174 | Chad | 0 | 2013 est. |
| 175 | Sri Lanka | 0 | 2013 est. |
| 176 | Congo, Republic of the | 0 | 2013 est. |
| 177 | Congo, Democratic Republic of the | 0 | 2013 est. |
| 178 | Cayman Islands | 0 | 2013 est. |
| 179 | Cameroon | 0 | 2013 est. |
| 180 | Comoros | 0 | 2013 est. |
| 181 | Colombia | 0 | 2013 est. |
| 182 | Costa Rica | 0 | 2013 est. |
| 183 | Central African Republic | 0 | 2013 est. |
| 184 | Cuba | 0 | 2013 est. |
| 185 | Cabo Verde | 0 | 2013 est. |
| 186 | Cook Islands | 0 | 2013 est. |
| 187 | Cyprus | 0 | 2013 est. |
| 188 | Djibouti | 0 | 2013 est. |
| 189 | Dominica | 0 | 2013 est. |
| 190 | Ecuador | 0 | 2013 est. |
| 191 | Equatorial Guinea | 0 | 2013 est. |
| 192 | Eritrea | 0 | 2013 est. |
| 193 | El Salvador | 0 | 2013 est. |
| 194 | Ethiopia | 0 | 2013 est. |
| 195 | Fiji | 0 | 2013 est. |
| 196 | Falkland Islands (Islas Malvinas) | 0 | 2013 est. |
| 197 | Faroe Islands | 0 | 2013 est. |
| 198 | French Polynesia | 0 | 2013 est. |
| 199 | Gambia, The | 0 | 2013 est. |
| 200 | Gabon | 0 | 2013 est. |
| 201 | Gibraltar | 0 | 2013 est. |
| 202 | Grenada | 0 | 2013 est. |
| 203 | Greenland | 0 | 2013 est. |
| 204 | Guam | 0 | 2014 est. |
| 205 | Guatemala | 0 | 2013 est. |
| 206 | Guinea | 0 | 2013 est. |
| 207 | Guyana | 0 | 2013 est. |
| 208 | Haiti | 0 | 2013 est. |
| 209 | Honduras | 0 | 2013 est. |
| 210 | Iceland | 0 | 2014 est. |
| 211 | Indonesia | 0 | 2013 est. |
| 212 | Cote d'Ivoire | 0 | 2013 est. |
| 213 | Iraq | 0 | 2013 est. |
| 214 | Jamaica | 0 | 2013 est. |


