CIA - The World Factbook -- Field Listing - Military branches

| Country | Military branches |
| **Indonesia** | *Indonesian Armed Forces (Tentara Nasional Indonesia, TNI):* Army (TNI-AD), Navy (TNI-AL, includes marines, naval air arm), Air Force (TNI-Angkatan Udara (TNI-AU)), National Air Defense Command (Kommando Pertahanan Udara Nasional, Kohanudnas) |
| | *note:* the TNI is directly subordinate to the president but the government is making efforts to incorporate it into the Department of Defense (2007) |
| **Iran** | Islamic Republic of Iran Regular Forces (Artesh): Ground Forces, Navy, Air Force of the Military of the Islamic Republic of Iran (Niru-ye Hava'i-ye Artesh-e Jomhuri-ye Eslami-ye Iran; includes air defense); Islamic Revolutionary Guard Corps (Sepah-e Pasdaran-e Enqelab-e Eslami, IRGC): Ground Forces, Navy, Air Force, Qods Force (special operations), and Basij Force (Popular Mobilization Army); Law Enforcement Forces (2007) |
| **Iraq** | *Iraqi Armed Forces:* Iraqi Army (includes Iraqi Special Operations Force, Iraqi Intervention Force), Iraqi Navy (former Iraqi Coastal Defense Force), Iraqi Air Force (former Iraqi Army Air Corps) (2005) |
| **Ireland** | *Irish Defense Forces (Oglaigh na h-Eireann):* Army (includes Naval Service and Air Corps) (2006) |
| **Israel** | Israel Defense Forces (IDF), Israel Naval Forces (INF), Israel Air Force (IAF) (2007) |
| **Italy** | Army (Esercito Italiano, EI), Navy (Marina Militare Italiana, MMI), Air Force (Aeronautica Militare Italiana, AMI), Carabinieri Corps (Corpo dei Carabinieri, CC) (2005) |
| **Jamaica** | *Jamaica Defense Force:* Ground Forces, Coast Guard, Air Wing (2007) |
| **Japan** | *Japanese Defense Agency (JDA):* Ground Self-Defense Force (Rikujou Jietai, GSDF), Maritime Self-Defense Force (Kaijou Jietai, MSDF), Air Self-Defense Force (Nihon Koku-Jieitai, ASDF) (2006) |
| **Jordan** | *Jordanian Armed Forces (JAF):* Royal Jordanian Land Force, Royal Jordanian Navy, Royal Jordanian Air Force (Al-Quwwat al-Jawwiya al-Malakiya al-Urduniya), Special Operations Command (Socom); Public Security Directorate (normally falls under Ministry of Interior, but comes under JAF in wartime or crisis situations) (2006) |
| **Kazakhstan** | Ground Forces, Naval Force, Air and Air Defense Forces, Republican Guard |
| **Kenya** | Kenyan Army, Kenyan Navy, Kenyan Air Force (2007) |
| **Kiribati** | no regular military forces; Police Force (carries out law enforcement functions and paramilitary duties; small police posts are on all islands) (2007) |
| **Korea, North** | *North Korean People's Army:* Ground Forces, Navy, Air Force; civil security forces (2005) |
| **Korea, South** | Army, Navy, Republic of Korea Air Force (Han-guk Kong Goon), Marine Corps, National Maritime Police (coast guard) (2006) |
| **Kuwait** | Land Forces, Kuwaiti Navy, Kuwaiti Air Force (Al-Quwwat al-Jawwiya al-Kuwaitiya), National Guard (2007) |
| **Kyrgyzstan** | Army, Air Force, National Guard (2005) |
| **Laos** | Lao People's Army (LPA; includes Riverine Force), Air Force |
| **Latvia** | *Latvian Republic Defense Force:* Ground Forces, Navy, Air Force (Latvijas Gaisa Spelki), Border Guard, Latvian Home Guard (Latvijas Zemessardze) (2007) |
| **Lebanon** | *Lebanese Armed Forces (LAF):* Army, Navy, and Air Force (2007) |
| **Lesotho** | *Lesotho Defense Force (LDF):* Army and Air Wing |
| **Liberia** | *Armed Forces of Liberia (AFL):* Army, Navy, Air Force |
| **Libya** | Armed Peoples on Duty (APOD, Army), Libyan Arab Navy, Libyan Arab Air Force (Al-Quwwat al-Jawwiya al-Jamahiriya al-Arabia al-Libyya, LAAF) (2007) |
| **Lithuania** | Ground Forces, Naval Force, Lithuanian Military Air Forces, National Defense Volunteer Forces (2005) |
| **Luxembourg** | Army |
| **Macau** | no regular military forces |
| **Macedonia** | *Army of the Republic of Macedonia (ARM):* Joint Operational Command, with subordinate Air Wing (Makedonsko Voeno Vozduhoplovstvo, MVV), Special Operations Regiment (2007) |
| **Madagascar** | *People's Armed Forces:* Intervention Force, Development Force, and Aeronaval Force (navy and air); National Gendarmerie |
| **Malawi** | *Malawi Armed Forces:* Army (includes Air Wing and Naval Detachment) (2007) |
| **Malaysia** | *Malaysian Armed Forces (Angkatan Tentera Malaysia, ATM):* Malaysian Army (Tentera Darat Malaysia), Royal Malaysian Navy (Tentera Laut Diraja Malaysia, TLDM), Royal Malaysian Air Force (Tentera Udara Diraja Malaysia, TUDM) (2006) |
| **Maldives** | *Maldives National Defense Force (MNDF):* Quick Reaction Force, Security Protection Group, Coast Guard (2007) |
| **Mali** | *Malian Armed Forces:* Army, Republic of Mali Air Force (Force Aerienne de la Republique du Mali, FARM), National Guard (2007) |
| **Malta** | Armed Forces of Malta (AFM; includes air and maritime elements) (2005) |
| **Marshall Islands** | no regular military forces; under the 1983 Compact of Free Association, the US has full authority and responsibility for security and defense of the Marshall Islands; Marshall Islands Police (2006) |
| **Mauritania** | *Mauritanian Armed Forces:* Army, Mauritanian Navy (Marine Mauritanienne; includes naval infantry), Air Force (Force Aerienne Islamique de Mauritanie, FAIM) (2007) |
| **Mauritius** | no regular military forces; National Police Force, Special Mobile Force, National Coast Guard (2007) |
| **Mexico** | Secretariat of National Defense (Secretaria de Defensa Nacional, Sedena): Army (Ejercito), Mexican Air Force (Fuerza Aerea Mexicana, FAM); Secretariat of the Navy (Secretaria de Marina, Semar): Mexican Navy (Armada de Mexico, ARM, includes Naval Air Force (FAN) and Marines) (2007) |
| **Micronesia, Federated States of** | no regular military forces (2007) |
| **Moldova** | *National Army:* Ground Forces, Rapid Reaction Forces, Air and Air Defense Forces (2006) |
| **Mongolia** | *Mongolian Armed Forces:* Mongolian People's Army (MPA), Mongolian People's Air Force (Agaaryn Dovtolgoonoos Khamgaalakh Tsergiyn Komandial, MPAF); there is no navy (2007) |
| **Montserrat** | no regular military forces; Royal Montserrat Police Force (2005) |
| **Morocco** | *Royal Armed Forces (Forces Armees Royales, FAR):* Royal Moroccan Army (includes Air Defense), Navy (includes Marines), Royal Moroccan Air Force (Force Aerienne Royale Marocaine) (2007) |
| **Mozambique** | *Mozambique Armed Defense Forces (FADM):* Mozambique Army, Mozambique Navy (Marinha Mocambique, MM), Mozambique Air Force (Forca Aerea de Mocambique, FAM) (2006) |
| **Namibia** | *Namibian Defense Force:* Army, Navy, Air Wing (2006) |
| **Nauru** | no regular military forces; Nauru Police Force (2007) |
| **Nepal** | Royal Nepalese Army (includes Royal Nepalese Army Air Service); Nepalese Police Force |
| **Netherlands** | Royal Netherlands Army, Royal Netherlands Navy (includes Naval Air Service and Marine Corps), Royal Netherlands Air Force (Koninklijke Luchtmacht, KLu), Royal Military Police, Defense Interservice Command (DICO) (2006) |
| **Netherlands Antilles** | no regular military forces; National Guard, Police Force (2005) |
| **New Caledonia** | no regular indigenous military forces; French Armed Forces (includes Army, Navy, Air Force, Gendarmerie); Police Force |
| **New Zealand** | *New Zealand Defense Force (NZDF):* New Zealand Army, Royal New Zealand Navy, Royal New Zealand Air Force (2006) |
| **Nicaragua** | National Army of Nicaragua (ENN; includes Navy, Air Force) (2007) |
| **Niger** | *Nigerien Armed Forces (Forces Armees Nigeriennes, FAN):* Army, Niger Air Force (2007) |
| **Nigeria** | *Nigerian Armed Forces:* Army, Navy, Air Force (2007) |
| **Niue** | no regular indigenous military forces; Police Force |
| **Norway** | Norwegian Army (Haeren), Royal Norwegian Navy (Kongelige Norske Sjoeforsvaret, RNoN; includes Coastal Rangers and Coast Guard (Kystvakt)), Royal Norwegian Air Force (Kongelige Norske Luftforsvaret, RNoAF), Home Guard (Heimevernet, HV) (2006) |
