CIA - The World Factbook -- Field Listing :: Military branches   

This entry lists the service branches subordinate to defense ministries or the equivalent (typically ground, naval, air, and marine forces).

| Country | Military branches |
| **Ecuador** | Army, Navy (includes Naval Infantry, Naval Aviation, Coast Guard), Air Force (Fuerza Aerea Ecuatoriana, FAE) (2007) |
| **Egypt** | Army, Navy, Air Force, Air Defense Command |
| **El Salvador** | Salvadoran Army (ES), Salvadoran Navy (FNES), Salvadoran Air Force (Fuerza Aerea Salvadorena, FAS) (2008) |
| **Equatorial Guinea** | National Guard (Guardia Nacional de Guinea Ecuatoria, GNGE (Army), with Coast Guard (Navy) and Air Wing) (2009) |
| **Eritrea** | *Eritrean Armed Forces:* Ground Forces, Navy, Air Force (2008) |
| **Estonia** | *Estonian Defense Forces:* Land Force, Navy, Air Force (Eesti Ohuvagi), Volunteer Defense League (Kaitseliit, KL) (2009) |
| **Ethiopia** | *Ethiopian National Defense Force (ENDF):* Ground Forces, Ethiopian Air Force (ETAF) (2008) |
| | *note:* Ethiopia is landlocked and has no navy; following the secession of Eritrea, Ethiopian naval facilities remained in Eritrean possession |
| **Falkland Islands (Islas Malvinas)** | no regular military forces |
| **Faroe Islands** | no regular military forces |
| **Fiji** | *Republic of Fiji Military Forces (RFMF):* Land Forces, Naval Forces (2009) |
| **Finland** | *Finnish Defense Forces (FDF):* Army, Navy (includes Coastal Defense Forces), Air Force (Suomen Ilmavoimat) (2007) |
| **France** | Army (Armee de Terre; includes Marines, Foreign Legion, Army Light Aviation), Navy (Marine Nationale, includes Naval Air, Maritime Gendarmerie (Coast Guard)), Air Force (Armee de l'Air, includes Air Defense), National Gendarmerie (2009) |
| **French Polynesia** | no regular military forces (2009) |
| **Gabon** | Army, Navy, Air Force, National Gendarmerie, National Police |
| **Gambia, The** | *Office of the Chief of Defense:* Gambian National Army (National Guard, GNA), Gambian Navy (GN) (2009) |
| **Gaza Strip** | Palestinian Authority security forces have operated only in the West Bank, not in the Gaza Strip, since Hamas seized power in June 2007; law and order and other security functions are performed by Hamas security organizations (2008) |
| **Georgia** | *Georgian Armed Forces:* Land Forces, Air and Air Defense Forces |
| | *note:* naval forces have been incorporated into the coast guard (2009) |
| **Germany** | *Federal Armed Forces (Bundeswehr):* Army (Heer), Navy (Deutsche Marine, includes naval air arm), Air Force (Luftwaffe), Joint Support Services (Streitkraeftbasis), Central Medical Service (Zentraler Sanitaetsdienst) (2009) |
| **Ghana** | Ghanaian Army, Ghanaian Navy, Ghanaian Air Force (2008) |
| **Gibraltar** | Royal Gibraltar Regiment (2009) |
| **Greece** | Hellenic Army (Ellinikos Stratos, ES), Hellenic Navy (Ellinikos Polemiko Navtiko, EPN), Hellenic Air Force (Elliniki Polimiki Aeroporia, EPA) (2009) |
| **Greenland** | no regular military forces |
| **Grenada** | no regular military forces; Royal Grenada Police Force (includes Coast Guard) (2008) |
| **Guatemala** | Army, Navy (includes Marines), Air Force |
| **Guinea** | *National Armed Forces:* Army, Navy (Armee de Mer or Marine Guineenne, includes Marines), Air Force (2009) |
| **Guinea-Bissau** | *People's Revolutionary Armed Force (FARP):* Army, Navy, Air Force; paramilitary force |
| **Guyana** | *Guyana Defense Force:* Army (includes Coast Guard, Air Corps) (2008) |
| **Haiti** | no regular military forces - small Coast Guard; the regular Haitian Armed Forces (FAdH) - Army, Navy, and Air Force - have been demobilized but still exist on paper until or unless they are constitutionally abolished (2009) |
| **Holy See (Vatican City)** | Pontifical Swiss Guard Corps (Corpo della Guardia Svizzera Pontificia) (2009) |
| **Honduras** | Army, Navy (includes Naval Infantry), Honduran Air Force (Fuerza Aerea Hondurena, FAH) (2008) |
| **Hong Kong** | no regular indigenous military forces; Hong Kong garrison of China's People's Liberation Army (PLA) includes elements of the PLA Ground Forces, PLA Navy, and PLA Air Force; these forces are under the direct leadership of the Central Military Commission in Beijing and under administrative control of the adjacent Guangzhou Military Region (2009) |
| **Hungary** | Ground Forces, Hungarian Air Force (Magyar Legiero, ML) (2009) |
| **Iceland** | no regular military forces; Icelandic National Police (2008) |
| **India** | Army, Navy (includes naval air arm), Air Force (Bharatiya Vayu Sena), Coast Guard (2009) |
| **Indonesia** | *Indonesian Armed Forces (Tentara Nasional Indonesia, TNI):* Army (TNI-Angkatan Darat (TNI-AD)), Navy (TNI-Angkatan Laut (TNI-AL); includes marines, naval air arm), Air Force (TNI-Angkatan Udara (TNI-AU)), National Air Defense Command (Kommando Pertahanan Udara Nasional (Kohanudnas)) (2009) |
| **Iran** | Islamic Republic of Iran Regular Forces (Artesh): Ground Forces, Navy, Air Force of the Military of the Islamic Republic of Iran (Niru-ye Hava'i-ye Artesh-e Jomhuri-ye Eslami-ye Iran, IRIAF; Islamic Revolutionary Guard Corps (Sepah-e Pasdaran-e Enqelab-e Eslami, IRGC): Ground Forces, Navy, Air Force, Qods Force (special operations), Basij Force (Popular Mobilization Army); Law Enforcement Forces (2008) |
| **Iraq** | *Iraqi Armed Forces:* Iraqi Army (includes Iraqi Special Operations Force, Iraqi Intervention Force), Iraqi Navy (former Iraqi Coastal Defense Force), Iraqi Air Force (former Iraqi Army Air Corps) (2005) |
| **Ireland** | *Irish Defense Forces (Oglaigh na h-Eireann):* Army (includes Naval Service and Air Corps (Aer-Chor na h-Eireann)) (2009) |
| **Israel** | Israel Defense Forces (IDF), Israel Naval Forces (INF), Israel Air Force (IAF) (2009) |
| **Italy** | Italian Army (Esercito Italiano, EI), Italian Navy (Marina Militare Italiana, MMI), Italian Air Force (Aeronautica Militare Italiana, AMI), Carabinieri Corps (Arma dei Carabinieri, CC) (2009) |
| **Jamaica** | *Jamaica Defense Force:* Ground Forces, Coast Guard, Air Wing (2009) |
| **Japan** | *Japanese Ministry of Defense (MOD):* Ground Self-Defense Force (Rikujou Jietai, GSDF), Maritime Self-Defense Force (Kaijou Jietai, MSDF), Air Self-Defense Force (Koku Jieitai, ASDF) (2009) |
| **Jordan** | *Jordanian Armed Forces (JAF):* Royal Jordanian Land Force (RJLF), Royal Jordanian Navy, Royal Jordanian Air Force (Al-Quwwat al-Jawwiya al-Malakiya al-Urduniya, RJAF), Special Operations Command (Socom); Public Security Directorate (normally falls under Ministry of Interior, but comes under JAF in wartime or crisis) (2008) |
| **Kazakhstan** | *Kazakh Armed Forces:* Ground Forces, Navy, Air Mobile Forces, Air Defense Forces (2009) |
| **Kenya** | *Kenyan Armed Forces:* Kenyan Army, Kenyan Navy, Kenyan Air Force (2008) |
| **Kiribati** | no regular military forces (constitutionally prohibited); Police Force (2009) |
| **Korea, North** | *North Korean People's Army:* Ground Forces, Navy, Air Force; civil security forces (2005) |
| **Korea, South** | Republic of Korea Army, Navy (includes Marine Corps), Air Force (2009) |
| **Kuwait** | Kuwaiti Land Forces (KLF), Kuwaiti Navy, Kuwaiti Air Force (Al-Quwwat al-Jawwiya al-Kuwaitiya), Kuwaiti National Guard (KNG) (2008) |
| **Kyrgyzstan** | Ground Forces, Air Force (includes Air Defense Forces), National Guard (2009) |
| **Laos** | *Lao People's Armed Forces (LPAF):* Lao People's Army (LPA; includes Riverine Force), Air Force (2009) |
| **Latvia** | *National Armed Forces (Nacionalo Brunoto Speku):* Ground Forces, Navy (Latvijas Juras Speki; includes Coast Guard (Latvijas Kara Flotes)), Latvian Air Force (Latvijas Gaisa Speki), Border Guard, Latvian Home Guard (Latvijas Zemessardze) (2009) |
| **Lebanon** | *Lebanese Armed Forces (LAF):* Army (includes Navy), Air Force (Al Quwwat al Jawwiya al Lubnaniya) (2009) |
| **Lesotho** | *Lesotho Defense Force (LDF):* Army (includes Air Wing) (2008) |
| **Liberia** | *Armed Forces of Liberia (AFL):* Army, Navy, Air Force |
| **Libya** | Armed Peoples on Duty (APOD, Army), Libyan Arab Navy, Libyan Arab Air Force (Al-Quwwat al-Jawwiya al-Jamahiriya al-Arabia al-Libyya, LAAF), Libyan Coast Guard (2008) |
| **Liechtenstein** | no regular military forces (constitutionally prohibited); Principality of Liechtenstein National Police (Landespolizei, LP) (2008) |
| **Lithuania** | Ground Forces, Naval Forces, Air Forces (Karines Oro Pajegos, KOP), National Defense Volunteer Forces (2009) |
| **Luxembourg** | Army (2009) |
| **Macau** | no regular military forces; defense is the responsibility of China (2009) |
| **Macedonia** | *Army of the Republic of Macedonia (ARM):* Joint Operational Command, with subordinate Air Wing (Makedonsko Voeno Vozduhoplovstvo, MVV), Special Operations Regiment (2009) |
| **Madagascar** | *People's Armed Forces:* Intervention Force, Development Force, and Aeronaval Force (navy and air); National Gendarmerie |
| **Malawi** | *Malawi Armed Forces:* Army (includes Air Wing and Naval Detachment) (2009) |
| **Malaysia** | *Malaysian Armed Forces (Angkatan Tentera Malaysia, ATM):* Malaysian Army (Tentera Darat Malaysia), Royal Malaysian Navy (Tentera Laut Diraja Malaysia, TLDM), Royal Malaysian Air Force (Tentera Udara Diraja Malaysia, TUDM) (2009) |
| **Maldives** | *Maldives National Defense Force (MNDF):* Rapid Reaction Force, Security Protection Group, Coast Guard (2009) |
| **Mali** | *Malian Armed Forces:* Army, Republic of Mali Air Force (Force Aerienne de la Republique du Mali, FARM), National Guard (2008) |
| **Malta** | Armed Forces of Malta (AFM; includes air and maritime elements) (2007) |
| **Marshall Islands** | no regular military forces; under the 1983 Compact of Free Association, the US has full authority and responsibility for security and defense of the Marshall Islands; Marshall Islands Police (2009) |
| **Mauritania** | *Mauritanian Armed Forces:* Army, Mauritanian Navy (Marine Mauritanienne; includes naval infantry), Islamic Air Force of Mauritania (Force Aerienne Islamique de Mauritanie, FAIM) (2008) |
| **Mauritius** | no regular military forces; Mauritius Police Force, Special Mobile Force, National Coast Guard (2009) |
| **Mexico** | Secretariat of National Defense (Secretaria de Defensa Nacional, Sedena): Army (Ejercito, includes Mexican Air Force (Fuerza Aerea Mexicana, FAM)); Secretariat of the Navy (Secretaria de Marina, Semar): Mexican Navy (Armada de Mexico, ARM, includes Naval Air Force (FAN) and naval infantry) (2009) |
| **Micronesia, Federated States of** | no regular military forces; defense is the responsibility of the US (2009) |
| **Moldova** | *National Army:* Land Forces, Rapid Reaction Forces, Air and Air Defense Forces (2009) |
| **Monaco** | no regular military forces; the Palace Guard performs ceremonial duties |
| **Mongolia** | *Mongolian Armed Forces:* Mongolian Army, Mongolian Air Force; there is no navy (2009) |
| **Montenegro** | *Armed Forces of the Republic of Montenegro:* Army, Navy, Air Force (2009) |
| **Montserrat** | no regular military forces; Royal Montserrat Police Force (2008) |
| **Morocco** | *Royal Armed Forces (Forces Armees Royales, FAR):* Royal Moroccan Army (includes Air Defense), Navy (includes Marines), Royal Moroccan Air Force (Al Quwwat al Jawyiya al Malakiya Marakishiya; Force Aerienne Royale Marocaine) (2008) |
| **Mozambique** | *Mozambique Armed Defense Forces (FADM):* Mozambique Army, Mozambique Navy (Marinha Mocambique, MM), Mozambique Air Force (Forca Aerea de Mocambique, FAM) (2006) |
| **Namibia** | *Namibian Defense Force:* Army, Navy, Air Wing (2008) |
| **Nauru** | no regular military forces; Nauru Police Force (2009) |
| **Nepal** | Nepal Army (2009) |
| **Netherlands** | Royal Netherlands Army, Royal Netherlands Navy (includes Naval Air Service and Marine Corps), Royal Netherlands Air Force (Koninklijke Luchtmacht, KLu), Royal Military Police (2009) |
| **Netherlands Antilles** | no regular military forces; National Guard (2008) |
| **New Caledonia** | no regular military forces; French police and gendarmerie (2009) |
| **New Zealand** | *New Zealand Defense Force (NZDF):* New Zealand Army, Royal New Zealand Navy, Royal New Zealand Air Force (2009) |
| **Nicaragua** | National Army of Nicaragua (ENN; includes Navy, Air Force) (2008) |
| **Niger** | *Nigerien Armed Forces (Forces Armees Nigeriennes, FAN):* Army, Niger Air Force (Force Aerienne du Niger) (2009) |
| **Nigeria** | *Nigerian Armed Forces:* Army, Navy, Air Force (2008) |
| **Niue** | no regular indigenous military forces; Police Force |
| **Norway** | Norwegian Army (Haeren), Royal Norwegian Navy (Kongelige Norske Sjoeforsvaret, RNoN; includes Coastal Rangers and Coast Guard (Kystvakt)), Royal Norwegian Air Force (Kongelige Norske Luftforsvaret, RNoAF), Home Guard (Heimevernet, HV) (2007) |
| **Oman** | *Sultan's Armed Forces (SAF):* Royal Army of Oman, Royal Navy of Oman, Royal Air Force of Oman (al-Quwwat al-Jawwiya al-Sultanat) (2009) |
| **Pakistan** | Army (includes National Guard), Navy (includes Marines and Maritime Security Agency), Pakistan Air Force (Pakistan Fiza'ya) (2008) |
| **Palau** | no regular military forces; Palau National Police (2009) |
| **Panama** | *no regular military forces; Panamanian public forces include:* Panamanian National Police (PNP), National Air-Naval Service (SENAN), National Border Service (SENAFRONT) (2009) |
| **Papua New Guinea** | Papua New Guinea Defense Force (PNGDF; includes Maritime Operations Element, Air Operations Element) (2009) |
| **Paraguay** | Army, National Navy (Armada Nacional, includes Naval Aviation, Marine Corps, General Naval Prefecture), Air Force (Fuerza Aerea Paraguay, FAP) (2008) |
| **Peru** | Army of Peru (Ejercito Peruano), Navy of Peru (Marina de Guerra del Peru, MGP (includes naval air, naval infantry, and Coast Guard)), Air Force of Peru (Fuerza Aerea del Peru, FAP) (2008) |
| **Philippines** | *Armed Forces of the Philippines (AFP):* Army, Navy (includes Marine Corps and Coast Guard), Air Force (2009) |
| **Poland** | *Polish Armed Forces:* Land Forces, Navy, Air and Air Defense Aviation Forces, Special Forces (2008) |
| **Portugal** | Portuguese Army (Exercito Portugues), Portuguese Navy (Marinha Portuguesa; includes Marine Corps), Portuguese Air Force (Forca Aerea Portuguesa, FAP) (2009) |
| **Puerto Rico** | no regular indigenous military forces; paramilitary National Guard, Police Force |
| **Qatar** | Qatari Amiri Land Force (QALF), Qatari Amiri Navy (QAN), Qatari Amiri Air Force (QAAF) (2009) |
| **Romania** | Land Forces, Naval Forces, Romanian Air Force (Fortele Aeriene Romane, FAR), Special Operations (2009) |
| **Russia** | *Ground Forces (Sukhoputnyye Voyskia, SV), Navy (Voyenno-Morskoy Flot, VMF), Air Forces (Voyenno-Vozdushniye Sily, VVS); Airborne Troops (VDV), Strategic Rocket Forces (Raketnyye Voyska Strategicheskogo Naznacheniya, RVSN), and Space Troops (Kosmicheskiye Voyska, KV) are independent "combat arms," not subordinate to any of the three branches; Russian Ground Forces include the following combat arms:* motorized-rifle troops, tank troops, missile and artillery troops, air defense of ground troops (2009) |
| **Rwanda** | *Rwandan Defense Forces:* Army, Air Force |
| **Saint Kitts and Nevis** | Royal Saint Kitts and Nevis Defense Force (includes Coast Guard), Royal Saint Kitts and Nevis Police Force (2009) |
| **Saint Lucia** | no regular military forces; Royal Saint Lucia Police Force (includes Special Service Unit and Coast Guard) (2008) |
| **Saint Vincent and the Grenadines** | no regular military forces; Royal Saint Vincent and the Grenadines Police Force, Coast Guard (2009) |
| **Samoa** | no regular military forces; Samoa Police Force (2008) |
| **San Marino** | no regular military forces; Voluntary Military Force (Corpi Militari Voluntar) performs ceremonial duties and limited police support functions (2008) |
| **Sao Tome and Principe** | *Armed Forces of Sao Tome and Principe (FASTP):* Army, Coast Guard of Sao Tome e Principe (Guarda Costeira de Sao Tome e Principe, GCSTP), Presidential Guard (2007) |
| **Saudi Arabia** | *Ministry of Defense and Aviation Forces:* Royal Saudi Land Forces, Royal Saudi Naval Forces (includes Marine Forces and Special Forces), Royal Saudi Air Force (Al-Quwwat al-Jawwiya al-Malakiya as-Sa'udiya), Royal Saudi Air Defense Forces, Royal Saudi Strategic Rocket Forces, Saudi Arabian National Guard (SANG) |
| **Senegal** | Army, Senegalese Navy (Marine Senegalaise), Senegalese Air Force (Armee de l'Air du Senegal) (2008) |
| **Serbia** | *Serbian Armed Forces (Vojska Srbije, VS):* Land Forces Command (includes Riverine Component, consisting of a river flotilla on the Danube), Joint Operations Command, Air and Air Defense Forces Command (2009) |
| **Seychelles** | *Seychelles Defense Force:* Army, Coast Guard (includes Naval Wing, Air Wing), National Guard (2005) |
| **Sierra Leone** | *Republic of Sierra Leone Armed Forces (RSLAF):* Army (includes Maritime Wing and Air Wing) (2008) |
| **Singapore** | *Singapore Armed Forces:* Army, Navy, Air Force (includes Air Defense) (2009) |
| **Slovakia** | *Armed Forces of the Slovak Republic (Ozbrojene Sily Slovenskej Republiky):* Land Forces (Pozemne Sily), Air Forces (Vzdusne Sily) (2009) |
| **Slovenia** | Slovenian Army (includes air and naval forces) |
| **Solomon Islands** | no regular military forces; Solomon Islands Police Force (2009) |
| **Somalia** | no national-level armed forces (2008) |
| **South Africa** | *South African National Defense Force (SANDF):* South African Army, South African Navy (SAN), South African Air Force (SAAF), Joint Operations Command, Military Intelligence, South African Military Health Services (2009) |
| **Spain** | *Spanish Armed Forces:* Army (Ejercito de Tierra), Spanish Navy (Armada Espanola, AE; includes Marine Corps), Spanish Air Force (Ejercito del Aire Espanola, EdA) (2009) |
| **Sri Lanka** | Sri Lanka Army, Sri Lanka Navy, Sri Lanka Air Force (2009) |
| **Sudan** | Sudanese Armed Forces (SAF): Land Forces, Navy (includes Marines), Sudanese Air Force (Sikakh al-Jawwiya as-Sudaniya), Popular Defense Forces; Sudan People's Liberation Army (SPLA): Land Forces (2009) |
| **Suriname** | National Army (Nationaal Leger, NL; includes Naval Wing, Air Wing) (2007) |
| **Svalbard** | no regular military forces |
| **Swaziland** | *Umbutfo Swaziland Defense Force (USDF):* Ground Force (includes air wing) (2008) |
| **Sweden** | *Swedish Armed Forces (Forsvarsmakten):* Army (Armen), Royal Swedish Navy (Marinen), Swedish Air Force (Svenska Flygvapnet) (2008) |
| **Switzerland** | *Swiss Armed Forces:* Land Forces, Swiss Air Force (Schweizer Luftwaffe) (2009) |
| **Syria** | *Syrian Armed Forces:* Syrian Arab Army, Syrian Arab Navy, Syrian Arab Air and Air Defense Forces (includes Air Defense Command) (2008) |
| **Taiwan** | Army, Navy (includes Marine Corps), Air Force, Coast Guard Administration, Armed Forces Reserve Command, Combined Service Forces Command, Armed Forces Police Command |
| **Tajikistan** | Ground Forces, Air and Air Defense Forces, Mobile Forces (2008) |
| **Tanzania** | *Tanzanian People's Defense Force (Jeshi la Wananchi la Tanzania, JWTZ):* Army, Naval Wing (includes Coast Guard), Air Defense Command (includes Air Wing), National Service (2007) |
| **Thailand** | Royal Thai Army (Kongthap Bok Thai, RTA), Royal Thai Navy (Kongthap Ruea Thai, RTN, includes Royal Thai Marine Corps), Royal Thai Air Force (Kongtap Agard Thai, RTAF) (2009) |
| **Timor-Leste** | *Timor-Leste Defense Force (Forcas de Defesa de Timor-L'este, Falintil (F-FDTL)):* Army, Navy (Armada) (2009) |
| **Togo** | *Togolese Armed Forces (Forces Armees Togolaise, FAT):* Ground Forces, Togolese Navy (Marine du Togo), Togolese Air Force (Force Aerienne Togolaise, FAT), National Gendarmerie (2009) |
| **Tonga** | *Tonga Defense Services (TDS):* Land Force (Royal Guard), Naval Force (includes Royal Marines, Air Wing) (2009) |
| **Trinidad and Tobago** | *Trinidad and Tobago Defense Force (TTDF):* Trinidad and Tobago Army, Coast Guard, Air Guard, Trinidad and Tobago Police Service (2008) |
| **Tunisia** | Army, Navy, Republic of Tunisia Air Force (Al-Quwwat al-Jawwiya al-Jamahiriyah At'tunisia) (2008) |
| **Turkey** | *Turkish Armed Forces (TSK):* Turkish Land Forces (Turk Kara Kuvvetleri), Turkish Naval Forces (Turk Deniz Kuvvetleri; includes naval air and naval infantry), Turkish Air Force (Turk Hava Kuvvetleri) (2009) |
| **Turkmenistan** | Army, Navy, Air and Air Defense Forces (2009) |
| **Tuvalu** | no regular military forces; Tuvalu Police Force (2008) |
